Timestep,Hydro|Reservoir_RoGonDor_0_0,Hydro|Reservoir_RoGonDor_0_1,Hydro|Reservoir_Harad_0_0,Hydro|Reservoir_Harad_0_1,Hydro|Reservoir_DolAmroth_0_0,Hydro|Reservoir_DolAmroth_0_1,Biomass|w/o CCS_RoGonDor_0,Biomass|w/o CCS_Harad_0,Biomass|w/o CCS_DolAmroth_0,Coal|Hard coal|w/o CCS_RoGonDor_0,Coal|Hard coal|w/o CCS_Harad_0,Coal|Hard coal|w/o CCS_DolAmroth_0,Coal|Lignite|w/o CCS_RoGonDor_0,Gas|CCGT|w/o CCS_RoGonDor_0,Gas|CCGT|w/o CCS_Harad_0,Gas|CCGT|w/o CCS_DolAmroth_0,Gas|OCGT|w/o CCS_RoGonDor_0,Gas|OCGT|w/o CCS_Harad_0,Nuclear_RoGonDor_0,Nuclear_Harad_0,Nuclear_DolAmroth_0,Oil|w/o CCS_RoGonDor_0,Oil|w/o CCS_Harad_0,Solar|PV|Rooftop|Commercial_RoGonDor_0,Solar|PV|Rooftop|Commercial_Harad_0,Solar|PV|Utility|Average_RoGonDor_0,Solar|PV|Utility|Average_Harad_0,Solar|PV|Utility|Average_DolAmroth_0,Solar|PV|Utility|Inf_RoGonDor_0,Solar|PV|Utility|Inf_Harad_0,Solar|PV|Utility|Inf_DolAmroth_0,Solar|PV|Utility|Opt_RoGonDor_0,Solar|PV|Utility|Opt_Harad_0,Solar|PV|Utility|Opt_DolAmroth_0,Wind|Onshore|Avg_RoGonDor_0,Wind|Onshore|Avg_Harad_0,Wind|Onshore|Avg_DolAmroth_0,Wind|Onshore|Opt_RoGonDor_0,Wind|Onshore|Opt_DolAmroth_0,Wind|Offshore|Deep_RoGonDor_0,Wind|Offshore|Shallow_RoGonDor_0,Wind|Offshore|Transitional_RoGonDor_0,Hydro|Run of River_RoGonDor_0,Hydro|Run of River_Harad_0,Hydro|Run of River_DolAmroth_0,Hydro|Pumped Storage_RoGonDor_0,Hydro|Pumped Storage_Harad_0,Hydro|Pumped Storage_DolAmroth_0,Battery|Lithium-Ion_RoGonDor_0,Battery|Lithium-Ion_Harad_0,Battery|Lithium-Ion_DolAmroth_0,SlackUnit_RoGonDor,SlackUnit_DolAmroth,SlackUnit_Harad
0,0,0,36000,0,0,0,62228.938290169622633,2814.8496863584377934,2202.7200000000002547,98675.729275205449085,10700.231703475554241,71.540352000000595467,32038.70455682280226,0,15396.438576825439668,0,0,0,0,240000,25888.92386631217596,51914.257641406147741,23.69761826676840144,5993.2662219811827526,1078.0011487620699882,1811.2023690703063039,922.94705640241409128,295.75282499999951824,826.1549382793617724,760.07404644904374891,148.09620932354607703,2840.8577977915501833,425.40508329738639759,287.57282012722089348,40574.574816980697506,923.97805445138192226,1489.1792000000000371,30434.348967884001468,9236.0134966666682885,86230.080828027799726,106097.15701986539352,14051.940449770081614,18546.99269503015239,4998.3719412570608256,7056.8701644381717415,0,0,0,0,0,0,0,0,0
1,0,0,36000,0,0,0,5004.1446913711697562,2814.8496863584377934,2202.7200000000002547,98675.729275205449085,10700.231703475554241,71.540352000000595467,32038.70455682280226,0,27378.101355343536852,0,0,0,0,240000,27436.524202592732763,51914.257641406147741,23.69761826676840144,114102.21567982659326,74401.761184792834683,77951.377162381293601,63700.197866687180067,10252.943099999998594,55274.151265998487361,52458.98647844826337,5134.091305873454985,140184.63722230677377,29360.717704833212338,9969.3646607464706904,39966.538087551060016,765.25597996073179274,1340.5072000000000116,33437.544336473154544,8313.9373633333343605,79963.111467755967169,103170.15822427955572,12826.843046782812962,18546.99269503015239,4998.3719412570608256,7056.8701644381717415,0,0,0,0,0,0,0,0,0
2,0,0,36000,0,0,0,0,2814.8496863584377934,2202.7200000000002547,98675.729275205449085,10700.231703475554241,71.540352000000595467,32038.70455682280226,0,5368.2174701037547493,0,0,0,0,240000,10196.55476471208749,51914.257641406147741,23.69761826676840144,101640.50967195635894,77333.334425636276137,80538.246272274147486,66210.108822136186063,9011.8606500000005326,61138.842956159918685,54525.971971170976758,4512.6277364114212105,151338.21139249327825,30517.586749124602647,8762.6083764847680868,40216.729468910634751,1526.291625868001347,856.59360000000003765,94850.762441856393707,5312.6648900000009235,49517.521811602186062,67106.43255905478145,17639.262735049454932,18546.99269503015239,4998.3719412570608256,7056.8701644381717415,0,0,0,-55982.7726978505234,0,0,0,0,0
3,0,0,36000,0,0,0,0,2814.8496863584377934,2202.7200000000002547,98675.729275205449085,10700.231703475554241,71.540352000000595467,32038.70455682280226,0,34187.624144114124647,0,0,0,0,240000,2914.9400919018662535,51914.257641406147741,23.69761826676840144,2628.9239809158634671,2364.0396203270506703,3175.6659860556246713,2024.0084264336014712,192.27509999999946899,2633.4540476941297129,1666.8304688276718935,96.280444514116751975,6222.8098443983226389,932.90667895709032109,186.95710767003998853,62779.115226710498973,1214.4495795710001858,2152.4671999999995933,121813.1288368235837,13349.780946666669479,38704.48874237905693,36301.532696838461561,28007.517197977311298,18546.99269503015239,4998.3719412570608256,7056.8701644381717415,0,0,0,11599.844934522043332,0,0,0,0,0
4,0,0,36000,0,0,0,0,2814.8496863584377934,2202.7200000000002547,0,10700.231703475554241,71.540352000000595467,0,0,1207.1648008090960502,0,0,0,0,240000,0,51914.257641406147741,23.69761826676840144,6010.0707613962513278,1042.9122443643334464,1406.5456972150930142,892.90515796523118297,230.8119750000000181,535.50841916021386169,735.33365950077802609,115.57752174972846149,2235.3944237804948898,411.55816085646597458,224.42812023818777334,50543.188818926770182,937.57690862364870554,2166.0671999999999571,164816.01534110546345,13434.129280000001017,26352.928217716103973,50834.736454086021695,62499.122576719440985,18546.99269503015239,4998.3719412570608256,7056.8701644381717415,0,0,0,-22802.648161093064118,0,-502.61373387618709785,0,0,0
5,0,0,36000,0,0,0,0,2814.8496863584377934,2202.7200000000002547,98675.729275205449085,10700.231703475554241,71.540352000000595467,0,0,1952.6587500840578286,0,0,0,0,240000,311.22992373229180885,51914.257641406147741,23.69761826676840144,122236.66631614715152,70489.563525789024425,50946.999110949152964,60350.710421717005374,9690.7407750000002125,34124.388666399623617,49700.585053178721864,4852.5723272960403847,96938.306579898737255,27816.870768384651456,9422.7118668726288888,31928.920053625774017,589.9964483272558482,2822.7487999999998465,156561.69639369600918,17506.923286666667991,25737.181872569573898,84011.833062137447996,56609.304129306976392,18546.99269503015239,4998.3719412570608256,7056.8701644381717415,0,0,0,-79827.79727575990546,0,0,0,0,0
6,0,0,36000,0,0,0,0,2814.8496863584377934,2202.7200000000002547,98675.729275205449085,10700.231703475554241,71.540352000000595467,0,0,16377.515930623336317,0,0,0,0,240000,0,51914.257641406147741,23.69761826676840144,99652.736211419323809,67533.51699348911643,53495.710153566258668,57819.846286082458391,7384.418775000000096,44032.081025218038121,47616.344000303201028,3697.6973208459739908,115957.49127173640591,26650.343976879768888,7180.1786918760662957,22579.017891885436256,2032.6754411627407535,3316.50879999999961,165350.20415320823668,20569.263953333331301,44265.939003177161794,103723.61025030612655,38672.270440294363652,18546.99269503015239,4998.3719412570608256,7056.8701644381717415,0,0,0,-45041.55014918341476,0,-2260.3002098043903061,0,0,0
7,0,0,36000,0,0,0,0,2814.8496863584377934,2202.7200000000002547,98675.729275205449085,10700.231703475554241,71.540352000000595467,32038.70455682280226,0,35428.679666390999046,0,0,0,0,240000,4495.772553168641025,51914.257641406147741,23.69761826676840144,2431.5709255595816103,1725.5535381789363782,3123.9935636409863946,1477.35886975249241,154.92397499999998445,3249.6881456471755882,1216.6484809726373442,77.577123501139254813,7724.8495857359885122,680.94477217030078009,150.63904933475831172,43194.965754415708943,1764.1183913873960591,2058.0144000000000233,103711.06128138692293,12763.976810000001933,48250.136417767615058,70334.301766248841886,23024.205492457833316,18546.99269503015239,4998.3719412570608256,7056.8701644381717415,0,0,0,28932.334420459388639,0,0,0,0,0
8,0,0,36000,0,0,0,0,2814.8496863584377934,2202.7200000000002547,98675.729275205449085,10700.231703475554241,71.540352000000595467,32038.70455682280226,0,1852.1064455033447302,0,0,0,0,240000,11152.045431445072609,51914.257641406147741,23.69761826676840144,6328.4369161576705665,828.53424464245756553,1764.7923894919254053,709.36217748885940182,173.3987250000000131,771.93972757453730082,584.18061675552803536,86.828228518311220796,2791.489778130898685,326.95946545290178165,168.60282012425244602,25464.025615814611228,2344.2924029768905712,672.16800000000000637,75569.747693288576556,4168.8419499999999971,43523.19734699883702,53424.416530437454639,21873.264560612300556,18546.99269503015239,4998.3719412570608256,7056.8701644381717415,0,0,0,29808.233794995947392,0,0,0,0,0
9,0,0,36000,0,0,0,0,2814.8496863584377934,2202.7200000000002547,98675.729275205449085,10700.231703475554241,71.540352000000595467,31010.381359309816617,0,10934.403137543125922,0,0,0,0,240000,21131.967586851871602,51914.257641406147741,23.69761826676840144,120728.32702332489134,64824.32649834217591,73485.586656866842532,55500.331695953616872,8493.2977499999997235,55627.584851062732923,45706.155514314748871,4252.9609021696005584,143735.64477009046823,25581.232492555325734,8258.3880175876038265,12045.706819427250593,1685.2762989219781957,443,61276.894428641258855,2747.5229166666667879,46112.3661282645553,32018.049576521021663,35932.410545478909626,18546.99269503015239,4998.3719412570608256,7056.8701644381717415,0,0,0,-9159.1642499660811154,0,0,0,0,0
