,DolAmroth-0,DolAmroth-1,DolAmroth-2,DolAmroth-3
2030-07-02 00:00:00,56510.93735285183,56510.93735285183,59450.66893385592,59450.66893385592
2030-07-02 06:00:00,80499.42649984431,80499.42649984431,84552.49834897232,84552.49834897232
2030-07-02 12:00:00,58755.63979351052,58755.63979351052,60758.04053403458,60758.04053403458
2030-07-02 18:00:00,40174.51910055429,40174.51910055429,40997.83140717901,40997.83140717901
2030-07-03 00:00:00,36868.57743832612,36868.57743832612,37773.53087953805,37773.53087953805
2030-07-03 06:00:00,64364.6690053014,64364.6690053014,66712.05749599394,66712.05749599394
2030-07-03 12:00:00,59990.49710715323,59990.49710715323,61992.8978476773,61992.8978476773
2030-07-03 18:00:00,40982.72212080615,40982.72212080615,41806.03442743086,41806.03442743086
2030-07-04 00:00:00,37622.06223030201,37622.06223030201,38527.01567151395,38527.01567151395
2030-07-04 06:00:00,65084.87919900951,65084.87919900951,67432.26768970206,67432.26768970206
2030-07-04 12:00:00,59996.41259129346,59996.41259129346,61998.81333181754,61998.81333181754
2030-07-04 18:00:00,41211.20769559793,41211.20769559793,42034.52000222264,42034.52000222264
2030-07-05 00:00:00,37670.86497443094,37670.86497443094,38575.81841564286,38575.81841564286
2030-07-05 06:00:00,64494.809656314974,64494.809656314974,66842.19814700753,66842.19814700753
2030-07-05 12:00:00,58608.49212559501,58608.49212559501,60610.89286611908,60610.89286611908
2030-07-05 18:00:00,39867.65336094094,39867.65336094094,40690.96566756565,40690.96566756565
2030-07-06 00:00:00,34190.341995210365,34190.341995210365,35095.2954364223,35095.2954364223
2030-07-06 06:00:00,56815.77181072044,56815.77181072044,59163.16030141298,59163.16030141298
2030-07-06 12:00:00,51776.84738265049,51776.84738265049,53779.24812317457,53779.24812317457
2030-07-06 18:00:00,35802.236887659055,35802.236887659055,36625.54919428377,36625.54919428377
2030-07-07 00:00:00,31319.11388211732,31319.11388211732,32224.067323329247,32224.067323329247
2030-07-07 06:00:00,52022.750788568446,52022.750788568446,54370.139279261,54370.139279261
2030-07-07 12:00:00,48268.965289305364,48268.965289305364,50271.36602982944,50271.36602982944
2030-07-07 18:00:00,35832.5537438622,35832.5537438622,36655.8660504869,36655.8660504869
2030-07-08 00:00:00,35050.30550165512,35050.30550165512,35955.258942867054,35955.258942867054
2030-07-08 06:00:00,63850.76132088048,63850.76132088048,66198.14981157302,66198.14981157302
2030-07-08 12:00:00,59443.31482445752,59443.31482445752,61445.71556498159,61445.71556498159
2030-07-08 18:00:00,40647.01839602096,40647.01839602096,41470.33070264568,41470.33070264568
2030-07-09 00:00:00,36820.514129708,36820.514129708,37725.46757091992,37725.46757091992
2030-07-09 06:00:00,63758.33188123402,63758.33188123402,66105.72037192657,66105.72037192657
2030-07-09 12:00:00,59444.793695490014,59444.793695490014,61447.19443601408,61447.19443601408
2030-07-09 18:00:00,40632.229685672384,40632.229685672384,41455.5419922971,41455.5419922971
2030-07-10 00:00:00,37070.44333450667,37070.44333450667,37975.3967757186,37975.3967757186
2030-07-10 06:00:00,64640.478453203126,64640.478453203126,66987.86694389567,66987.86694389567
2030-07-10 12:00:00,59747.96225752628,59747.96225752628,61750.36299805035,61750.36299805035
2030-07-10 18:00:00,40590.82129671068,40590.82129671068,41414.133603335395,41414.133603335395
2030-07-11 00:00:00,37345.51334688891,37345.51334688891,38250.46678810084,38250.46678810084
2030-07-11 06:00:00,64465.23223563428,64465.23223563428,66812.62072632682,66812.62072632682
2030-07-11 12:00:00,59342.75159412978,59342.75159412978,61345.15233465385,61345.15233465385
2030-07-11 18:00:00,40277.30063744164,40277.30063744164,41100.61294406634,41100.61294406634
2030-07-12 00:00:00,36844.91550177382,36844.91550177382,37749.86894298576,37749.86894298576
2030-07-12 06:00:00,62932.382408581885,62932.382408581885,65279.77089927443,65279.77089927443
2030-07-12 12:00:00,57202.08577197752,57202.08577197752,59204.48651250159,59204.48651250159
2030-07-12 18:00:00,38982.54904690903,38982.54904690903,39805.861353533735,39805.861353533735
2030-07-13 00:00:00,33877.56077145596,33877.56077145596,34782.51421266789,34782.51421266789
2030-07-13 06:00:00,56006.08991943799,56006.08991943799,58353.47841013053,58353.47841013053
2030-07-13 12:00:00,50700.96870520792,50700.96870520792,52703.369445731994,52703.369445731994
2030-07-13 18:00:00,35072.4140322321,35072.4140322321,35895.72633885682,35895.72633885682
2030-07-14 00:00:00,30777.847083563593,30777.847083563593,31682.80052477552,31682.80052477552
2030-07-14 06:00:00,50998.632597315845,50998.632597315845,53346.02108800839,53346.02108800839
2030-07-14 12:00:00,47193.826047369424,47193.826047369424,49196.22678789349,49196.22678789349
2030-07-14 18:00:00,35363.012190472014,35363.012190472014,36186.32449709673,36186.32449709673
2030-07-15 00:00:00,35024.42525855302,35024.42525855302,35929.37869976495,35929.37869976495
2030-07-15 06:00:00,63410.057752657915,63410.057752657915,65757.44624335045,65757.44624335045
2030-07-15 12:00:00,59089.12521173601,59089.12521173601,61091.52595226009,61091.52595226009
2030-07-15 18:00:00,40069.519257126056,40069.519257126056,40892.83156375076,40892.83156375076
2030-07-16 00:00:00,36457.45129078952,36457.45129078952,37362.40473200145,37362.40473200145
2030-07-16 06:00:00,63010.02313788285,63010.02313788285,65357.41162857538,65357.41162857538
2030-07-16 12:00:00,58294.97146632102,58294.97146632102,60297.37220684509,60297.37220684509
2030-07-16 18:00:00,40012.58272230293,40012.58272230293,40835.89502892765,40835.89502892765
2030-07-17 00:00:00,37955.54764853408,37955.54764853408,38860.50108974601,38860.50108974601
2030-07-17 06:00:00,63118.72015890215,63118.72015890215,65466.10864959469,65466.10864959469
2030-07-17 12:00:00,58343.03477493615,58343.03477493615,60345.435515460216,60345.435515460216
2030-07-17 18:00:00,40403.00467535833,40403.00467535833,41226.31698198304,41226.31698198304
2030-07-18 00:00:00,37171.00656483964,37171.00656483964,38075.960006051566,38075.960006051566
