,Harad-0,Harad-1,Harad-2,Harad-3
2030-07-02 00:00:00,339129.9626128268,339129.9626128268,345326.7258769,345326.7258769
2030-07-02 06:00:00,577553.1842326135,577553.1842326135,593854.3404449325,593854.3404449325
2030-07-02 12:00:00,533866.8749903486,533866.8749903486,544587.6911302515,544587.6911302515
2030-07-02 18:00:00,395958.30713592935,395958.30713592935,399528.38344102405,399528.38344102405
2030-07-03 00:00:00,304952.0112718503,304952.0112718503,307398.5432161882,307398.5432161882
2030-07-03 06:00:00,505517.04662027454,505517.04662027454,514313.96716700506,514313.96716700506
2030-07-03 12:00:00,534764.4373223431,534764.4373223431,545485.253462246,545485.253462246
2030-07-03 18:00:00,397930.17780700873,397930.17780700873,401500.2541121034,401500.2541121034
2030-07-04 00:00:00,307444.89843370556,307444.89843370556,309891.43037804344,309891.43037804344
2030-07-04 06:00:00,513817.9612694916,513817.9612694916,522614.8818162221,522614.8818162221
2030-07-04 12:00:00,541225.6565752984,541225.6565752984,551946.4727152013,551946.4727152013
2030-07-04 18:00:00,399805.2224047564,399805.2224047564,403375.2987098511,403375.2987098511
2030-07-05 00:00:00,307784.55815178127,307784.55815178127,310231.0900961192,310231.0900961192
2030-07-05 06:00:00,512803.59288054367,512803.59288054367,521600.51342727407,521600.51342727407
2030-07-05 12:00:00,546386.6399843402,546386.6399843402,557107.4561242431,557107.4561242431
2030-07-05 18:00:00,405505.6653660493,405505.6653660493,409075.741671144,409075.741671144
2030-07-06 00:00:00,303298.2834136012,303298.2834136012,305744.81535793905,305744.81535793905
2030-07-06 06:00:00,449520.8377090704,449520.8377090704,458317.7582558009,458317.7582558009
2030-07-06 12:00:00,461631.5503259201,461631.5503259201,472352.366465823,472352.366465823
2030-07-06 18:00:00,363555.38479757885,363555.38479757885,367125.4611026736,367125.4611026736
2030-07-07 00:00:00,278950.36823628045,278950.36823628045,281396.9001806184,281396.9001806184
2030-07-07 06:00:00,385023.91431450605,385023.91431450605,393820.83486123657,393820.83486123657
2030-07-07 12:00:00,411689.2763902376,411689.2763902376,422410.0925301404,422410.0925301404
2030-07-07 18:00:00,342544.12685105024,342544.12685105024,346114.20315614494,346114.20315614494
2030-07-08 00:00:00,279734.1983549801,279734.1983549801,282180.730299318,282180.730299318
2030-07-08 06:00:00,497503.5363479262,497503.5363479262,506300.45689465664,506300.45689465664
2030-07-08 12:00:00,538035.0069156758,538035.0069156758,548755.8230555787,548755.8230555787
2030-07-08 18:00:00,401986.1144408973,401986.1144408973,405556.190745992,405556.190745992
2030-07-09 00:00:00,312896.3600631232,312896.3600631232,315342.8920074611,315342.8920074611
2030-07-09 06:00:00,526660.479841692,526660.479841692,535457.4003884224,535457.4003884224
2030-07-09 12:00:00,561024.2832205783,561024.2832205783,571745.0993604813,571745.0993604813
2030-07-09 18:00:00,418778.52204267384,418778.52204267384,422348.59834776854,422348.59834776854
2030-07-10 00:00:00,321618.3912858571,321618.3912858571,324064.923230195,324064.923230195
2030-07-10 06:00:00,532720.562504534,532720.562504534,541517.4830512644,541517.4830512644
2030-07-10 12:00:00,565341.4965605873,565341.4965605873,576062.3127004904,576062.3127004904
2030-07-10 18:00:00,419788.2796661557,419788.2796661557,423358.3559712504,423358.3559712504
2030-07-11 00:00:00,321540.0082739912,321540.0082739912,323986.54021832906,323986.54021832906
2030-07-11 06:00:00,528501.7121597596,528501.7121597596,537298.63270649,537298.63270649
2030-07-11 12:00:00,563199.0275695443,563199.0275695443,573919.8437094472,573919.8437094472
2030-07-11 18:00:00,420774.9834626468,420774.9834626468,424345.05976774154,424345.05976774154
2030-07-12 00:00:00,322091.76320073794,322091.76320073794,324538.2951450758,324538.2951450758
2030-07-12 06:00:00,524697.8307013507,524697.8307013507,533494.751248081,533494.751248081
2030-07-12 12:00:00,555858.6890461677,555858.6890461677,566579.5051860706,566579.5051860706
2030-07-12 18:00:00,412793.74854812416,412793.74854812416,416363.82485321886,416363.82485321886
2030-07-13 00:00:00,310040.7593562208,310040.7593562208,312487.29130055866,312487.29130055866
2030-07-13 06:00:00,449470.1192895744,449470.1192895744,458267.0398363049,458267.0398363049
2030-07-13 12:00:00,468121.9710929922,468121.9710929922,478842.7872328952,478842.7872328952
2030-07-13 18:00:00,367691.24136510224,367691.24136510224,371261.3176701969,371261.3176701969
2030-07-14 00:00:00,276688.01934466127,276688.01934466127,279134.55128899915,279134.55128899915
2030-07-14 06:00:00,385864.6105399104,385864.6105399104,394661.5310866408,394661.5310866408
2030-07-14 12:00:00,414481.8633033588,414481.8633033588,425202.6794432617,425202.6794432617
2030-07-14 18:00:00,345992.9793733035,345992.9793733035,349563.0556783982,349563.0556783982
2030-07-15 00:00:00,284109.81472348544,284109.81472348544,286556.34666782327,286556.34666782327
2030-07-15 06:00:00,502924.2595413798,502924.2595413798,511721.1800881103,511721.1800881103
2030-07-15 12:00:00,547376.4176243944,547376.4176243944,558097.2337642973,558097.2337642973
2030-07-15 18:00:00,411156.92682970053,411156.92682970053,414727.0031347953,414727.0031347953
2030-07-16 00:00:00,318327.84170917206,318327.84170917206,320774.37365350995,320774.37365350995
2030-07-16 06:00:00,527977.6218254699,527977.6218254699,536774.5423722003,536774.5423722003
2030-07-16 12:00:00,567342.5687460265,567342.5687460265,578063.3848859294,578063.3848859294
2030-07-16 18:00:00,418289.78090987017,418289.78090987017,421859.85721496487,421859.85721496487
2030-07-17 00:00:00,320842.2457761868,320842.2457761868,323288.7777205247,323288.7777205247
2030-07-17 06:00:00,528933.5871858925,528933.5871858925,537730.5077326229,537730.5077326229
2030-07-17 12:00:00,563906.0115980504,563906.0115980504,574626.8277379533,574626.8277379533
2030-07-17 18:00:00,418397.36543589126,418397.36543589126,421967.441740986,421967.441740986
2030-07-18 00:00:00,322926.3117388526,322926.3117388526,325372.84368319047,325372.84368319047
2030-07-18 06:00:00,528202.0124084442,528202.0124084442,536998.9329551746,536998.9329551746
2030-07-18 12:00:00,563566.3518800257,563566.3518800257,574287.1680199286,574287.1680199286
2030-07-18 18:00:00,417570.50150677154,417570.50150677154,421140.57781186624,421140.57781186624
2030-07-19 00:00:00,322532.8597576966,322532.8597576966,324979.39170203445,324979.39170203445
2030-07-19 06:00:00,528056.0048373741,528056.0048373741,536852.9253841045,536852.9253841045
2030-07-19 12:00:00,556273.6579324848,556273.6579324848,566994.4740723877,566994.4740723877
2030-07-19 18:00:00,412564.7471997322,412564.7471997322,416134.823504827,416134.823504827
2030-07-20 00:00:00,312134.046849676,312134.046849676,314580.5787940139,314580.5787940139
2030-07-20 06:00:00,452822.1457383744,452822.1457383744,461619.0662851048,461619.0662851048
2030-07-20 12:00:00,467713.14989389846,467713.14989389846,478433.96603380144,478433.96603380144
2030-07-20 18:00:00,370443.86831134657,370443.86831134657,374013.94461644127,374013.94461644127
2030-07-21 00:00:00,281360.2616208314,281360.2616208314,283806.79356516927,283806.79356516927
2030-07-21 06:00:00,387161.7725402624,387161.7725402624,395958.6930869928,395958.6930869928
2030-07-21 12:00:00,414046.9144336628,414046.9144336628,424767.7305735657,424767.7305735657
2030-07-21 18:00:00,352807.6906406305,352807.6906406305,356377.7669457252,356377.7669457252
2030-07-22 00:00:00,288098.12679804506,288098.12679804506,290544.65874238295,290544.65874238295
2030-07-22 06:00:00,509400.8480122964,509400.8480122964,518197.7685590268,518197.7685590268
2030-07-22 12:00:00,554443.1840671067,554443.1840671067,565164.0002070096,565164.0002070096
2030-07-22 18:00:00,418810.7974005482,418810.7974005482,422380.8737056429,422380.8737056429
2030-07-23 00:00:00,322202.4215703404,322202.4215703404,324648.9535146783,324648.9535146783
2030-07-23 06:00:00,531776.8925184127,531776.8925184127,540573.8130651431,540573.8130651431
2030-07-23 12:00:00,575279.2329282765,575279.2329282765,586000.0490681793,586000.0490681793
2030-07-23 18:00:00,432938.18259874935,432938.18259874935,436508.258903844,436508.258903844
2030-07-24 00:00:00,329193.87884482235,329193.87884482235,331640.41078916023,331640.41078916023
2030-07-24 06:00:00,538776.0344019589,538776.0344019589,547572.9549486893,547572.9549486893
