,RoGonDor-0,RoGonDor-1,RoGonDor-2,RoGonDor-3
2030-07-02 00:00:00,509102.8559661773,509102.8559661773,533868.205868263,533868.205868263
2030-07-02 06:00:00,800007.1175475075,800007.1175475075,844660.4053531699,844660.4053531699
2030-07-02 12:00:00,750715.387325059,750715.387325059,790783.4307799498,790783.4307799498
2030-07-02 18:00:00,480174.4295961624,480174.4295961624,496646.165662758,496646.165662758
2030-07-03 00:00:00,382569.0828970877,382569.0828970877,394496.11288542766,394496.11288542766
2030-07-03 06:00:00,696128.1156435284,696128.1156435284,730008.4785205907,730008.4785205907
2030-07-03 12:00:00,753360.4464083575,753360.4464083575,793428.489863248,793428.489863248
2030-07-03 18:00:00,498670.953467442,498670.953467442,516756.79152176314,516756.79152176314
2030-07-04 00:00:00,427853.3851069887,427853.3851069887,444099.2285219458,444099.2285219458
2030-07-04 06:00:00,717667.6832534344,717667.6832534344,753554.7675206419,753554.7675206419
2030-07-04 12:00:00,753709.3612504739,753709.3612504739,793777.4047053645,793777.4047053645
2030-07-04 18:00:00,501081.3808755568,501081.3808755568,519385.3408201112,519385.3408201112
2030-07-05 00:00:00,411343.5363632675,411343.5363632675,425800.7802783126,425800.7802783126
2030-07-05 06:00:00,703839.2071083279,703839.2071083279,738548.4331682762,738548.4331682762
2030-07-05 12:00:00,747910.763020982,747910.763020982,787978.8064758726,787978.8064758726
2030-07-05 18:00:00,510697.1999201457,510697.1999201457,530615.2618524258,530615.2618524258
2030-07-06 00:00:00,455710.0640537852,455710.0640537852,476667.3402977793,476667.3402977793
2030-07-06 06:00:00,641591.3067715392,641591.3067715392,675602.5427827414,675602.5427827414
2030-07-06 12:00:00,698039.7462738035,698039.7462738035,738107.7897286941,738107.7897286941
2030-07-06 18:00:00,447089.0593489032,447089.0593489032,463604.4197935455,463604.4197935455
2030-07-07 00:00:00,351822.7090165222,351822.7090165222,364622.226565795,364622.226565795
2030-07-07 06:00:00,602231.3609935377,602231.3609935377,636111.7238706001,636111.7238706001
2030-07-07 12:00:00,667334.6397550568,667334.6397550568,707402.6832099473,707402.6832099473
2030-07-07 18:00:00,518208.3543565597,518208.3543565597,542183.4834471769,542183.4834471769
2030-07-08 00:00:00,514316.6382120396,514316.6382120396,541337.7030045006,541337.7030045006
2030-07-08 06:00:00,719144.4802494589,719144.4802494589,755860.4276995528,755860.4276995528
2030-07-08 12:00:00,756462.176067789,756462.176067789,796530.2195226796,796530.2195226796
2030-07-08 18:00:00,534165.3790818129,534165.3790818129,555479.4211115852,555479.4211115852
2030-07-09 00:00:00,506956.43170126446,506956.43170126446,530923.7900304766,530923.7900304766
2030-07-09 06:00:00,707770.9130931359,707770.9130931359,742698.2610433176,742698.2610433176
2030-07-09 12:00:00,762651.7746789106,762651.7746789106,802719.8181338011,802719.8181338011
2030-07-09 18:00:00,488959.3130859023,488959.3130859023,505431.0491524979,505431.0491524979
2030-07-10 00:00:00,389296.6954202327,389296.6954202327,401223.7254085728,401223.7254085728
2030-07-10 06:00:00,699381.8696210323,699381.8696210323,733262.2324980946,733262.2324980946
2030-07-10 12:00:00,762257.5588850366,762257.5588850366,802325.6023399272,802325.6023399272
2030-07-10 18:00:00,488863.6065007479,488863.6065007479,505422.5913234368,505422.5913234368
2030-07-11 00:00:00,424890.5341590252,424890.5341590252,440394.7631471896,440394.7631471896
2030-07-11 06:00:00,694670.3373979132,694670.3373979132,728550.7002749755,728550.7002749755
2030-07-11 12:00:00,755639.6383558176,755639.6383558176,795707.6818107081,795707.6818107081
2030-07-11 18:00:00,485525.4109611389,485525.4109611389,501997.1470277345,501997.1470277345
2030-07-12 00:00:00,387097.8930498496,387097.8930498496,399024.9230381896,399024.9230381896
2030-07-12 06:00:00,692817.6857647009,692817.6857647009,726698.048641763,726698.048641763
2030-07-12 12:00:00,750524.5568233208,750524.5568233208,790592.6002782114,790592.6002782114
2030-07-12 18:00:00,480639.42313805193,480639.42313805193,497111.1592046475,497111.1592046475
2030-07-13 00:00:00,369464.16561282973,369464.16561282973,381391.19560116983,381391.19560116983
2030-07-13 06:00:00,639117.3199055537,639117.3199055537,672997.682782616,672997.682782616
2030-07-13 12:00:00,710484.3697308683,710484.3697308683,751686.6470149714,751686.6470149714
2030-07-13 18:00:00,450983.9098973143,450983.9098973143,467761.0166102363,467761.0166102363
2030-07-14 00:00:00,345806.02090770775,345806.02090770775,357733.05089604785,357733.05089604785
2030-07-14 06:00:00,607662.8251098827,607662.8251098827,642110.3049015512,642110.3049015512
2030-07-14 12:00:00,682704.7407640533,682704.7407640533,724168.7643164361,724168.7643164361
2030-07-14 18:00:00,504849.34090346703,504849.34090346703,527515.7386526852,527515.7386526852
2030-07-15 00:00:00,435463.48784554505,435463.48784554505,454457.6670774404,454457.6670774404
2030-07-15 06:00:00,787067.6127733092,787067.6127733092,831068.8313571915,831068.8313571915
2030-07-15 12:00:00,835161.0216854023,835161.0216854023,883386.8238350142,883386.8238350142
2030-07-15 18:00:00,606989.2924194314,606989.2924194314,635632.2299610389,635632.2299610389
2030-07-16 00:00:00,544055.6139142899,544055.6139142899,571731.0443774501,571731.0443774501
2030-07-16 06:00:00,749502.7145998138,749502.7145998138,788879.7491107524,788879.7491107524
2030-07-16 12:00:00,763493.4823242892,763493.4823242892,804041.3939376926,804041.3939376926
2030-07-16 18:00:00,554857.2549762488,554857.2549762488,578178.0183961665,578178.0183961665
2030-07-17 00:00:00,482628.6576974109,482628.6576974109,504022.1777218713,504022.1777218713
2030-07-17 06:00:00,737440.5978168962,737440.5978168962,775334.403474249,775334.403474249
2030-07-17 12:00:00,760926.5519664871,760926.5519664871,800994.5954213776,800994.5954213776
2030-07-17 18:00:00,537448.6407411158,537448.6407411158,558893.555905028,558893.555905028
2030-07-18 00:00:00,427084.8065668044,427084.8065668044,442807.15744520194,442807.15744520194
2030-07-18 06:00:00,715366.6987547355,715366.6987547355,750992.0367536633,750992.0367536633
2030-07-18 12:00:00,761266.7159784294,761266.7159784294,801334.7594333201,801334.7594333201
2030-07-18 18:00:00,487644.7076644581,487644.7076644581,504116.4437310537,504116.4437310537
