Timestep,RoGonDor,DolAmroth,Harad
0,533868.20586826303042,59450.66893385592266,345326.72587690001819
1,844660.40535316988826,84552.498348972309032,593854.34044493245892
2,790783.43077994976193,60758.040534034589655,544587.69113025150727
3,496646.16566275799414,40997.831407179008238,399528.38344102405244
4,394496.11288542771945,37773.530879538047884,307398.54321618820541
5,730008.47852059069555,66712.057495993940393,514313.96716700505931
6,793428.48986324807629,61992.89784767729725,545485.25346224603709
7,516756.79152176313801,41806.034427430859068,401500.25411210337188
8,444099.22852194588631,38527.015671513952839,309891.43037804344203
9,753554.76752064190805,67432.267689702057396,522614.88181622204138
10,793777.40470536448993,61998.81333181753871,551946.47271520132199
11,519385.34082011121791,42034.520002222641779,403375.29870985110756
12,425800.78027831262443,38575.81841564286151,310231.09009611920919
13,738548.43316827621311,66842.198147007526131,521600.51342727412703
14,787978.80647587263957,60610.892866119080281,557107.45612424309365
15,530615.26185242575593,40690.965667565644253,409075.74167114397278
16,476667.34029777930118,35095.295436422296916,305744.81535793904914
17,675602.54278274136595,59163.160301412979607,458317.75825580087258
18,738107.78972869412974,53779.248123174569628,472352.36646582302637
19,463604.41979354550131,36625.549194283768884,367125.46110267360928
20,364622.22656579501927,32224.067323329247301,281396.9001806183951
21,636111.72387060010806,54370.139279260998592,393820.83486123656621
22,707402.6832099474268,50271.366029829441686,422410.09253014042042
23,542183.48344717686996,36655.866050486903987,346114.20315614494029
24,541337.70300450059585,35955.258942867054429,282180.73029931797646
25,755860.42769955284894,66198.149811573020997,506300.45689465664327
26,796530.21952267957386,61445.715564981590433,548755.82305557874497
27,555479.42111158533953,41470.330702645675046,405556.19074599194573
28,530923.79003047663718,37725.467570919921855,315342.89200746110873
29,742698.26104331749957,66105.720371926567168,535457.40038842242211
30,802719.81813380110543,61447.194436014084204,571745.09936048125383
31,505431.04915249790065,41455.54199229709775,422348.59834776859498
32,401223.72540857282002,37975.396775718603749,324064.92323019501055
33,733262.23249809455592,66987.866943895671284,541517.48305126454215
34,802325.60233992722351,61750.362998050346505,576062.31270049035084
35,505422.59132343676174,41414.133603335394582,423358.35597125039203
36,440394.76314718957292,38250.466788100835402,323986.5402183290571
37,728550.70027497550473,66812.620726326815202,537298.63270648999605
38,795707.68181070825085,61345.152334653859725,573919.8437094471883
39,501997.14702773449244,41100.612944066349883,424345.05976774153532
40,399024.92303818964865,37749.868942985754984,324538.29514507582644
41,726698.04864176316187,65279.770899274430121,533494.75124808109831
42,790592.60027821140829,59204.486512501593097,566579.50518607057165
43,497111.15920464752708,39805.861353533735382,416363.82485321885906
44,381391.19560116989305,34782.514212667891115,312487.29130055865971
45,672997.68278261600062,58353.478410130526754,458267.03983630490256
46,751686.64701497135684,52703.369445731987071,478842.78723289514892
47,467761.01661023631459,35895.726338856817165,371261.31767019693507
48,357733.05089604784735,31682.800524775520898,279134.55128899915144
49,642110.30490155133884,53346.021088008390507,394661.53108664083993
50,724168.76431643625256,49196.226787893494475,425202.67944326170254
51,527515.73865268519148,36186.32449709672801,349563.05567839817377
52,454457.66707744041923,35929.378699764951307,286556.34666782326531
53,831068.83135719154961,65757.446243350452278,511721.18008811026812
54,883386.8238350142492,61091.52595226008998,558097.23376429732889
55,635632.22996103891637,40892.831563750762143,414727.00313479528995
56,571731.04437745013274,37362.404732001450611,320774.37365350994514
57,788879.74911075248383,65357.411628575384384,536774.54237220028881
58,804041.39393769274466,60297.372206845087931,578063.38488592940848
59,578178.01839616661891,40835.895028927647218,421859.85721496486804
60,504022.17772187129594,38860.501089746008802,323288.77772052469663
61,775334.40347424894571,65466.108649594694725,537730.5077326229075
62,800994.59542137768585,60345.435515460216266,574626.82773795328103
63,558893.55590502801351,41226.316981983036385,421967.44174098595977
64,442807.1574452019413,38075.960006051573146,325372.84368319046916
65,750992.03675366344396,66478.395872572233202,536998.93295517459046
66,801334.7594333201414,61724.482754948308866,574287.1680199286202
67,504116.44373105373234,41618.217806073669635,421140.57781186624197
68,400719.03819576103706,38078.917748117659357,324979.39170203451067
69,728767.8218886628747,65935.650202994569554,536852.92538410448469
70,794189.16217823070474,60071.844374120075372,566994.47407238767482
71,499058.94208507623989,40327.163393123977585,416134.8235048269853
72,435915.90435488952789,35127.830599176893884,314580.57879401388345
73,681074.26343001599889,58797.879155941132922,461619.06628510484006
