Timestep,Hydro|Reservoir_RoGonDor_0_0,Hydro|Reservoir_RoGonDor_0_1,Hydro|Reservoir_Harad_0_0,Hydro|Reservoir_Harad_0_1,Hydro|Reservoir_DolAmroth_0_0,Hydro|Reservoir_DolAmroth_0_1,Biomass|w/o CCS_RoGonDor_0,Biomass|w/o CCS_Harad_0,Biomass|w/o CCS_DolAmroth_0,Coal|Hard coal|w/o CCS_RoGonDor_0,Coal|Hard coal|w/o CCS_Harad_0,Coal|Hard coal|w/o CCS_DolAmroth_0,Coal|Lignite|w/o CCS_RoGonDor_0,Gas|CCGT|w/o CCS_RoGonDor_0,Gas|CCGT|w/o CCS_Harad_0,Gas|CCGT|w/o CCS_DolAmroth_0,Gas|OCGT|w/o CCS_RoGonDor_0,Gas|OCGT|w/o CCS_Harad_0,Nuclear_RoGonDor_0,Nuclear_Harad_0,Nuclear_DolAmroth_0,Oil|w/o CCS_RoGonDor_0,Oil|w/o CCS_Harad_0,Solar|PV|Rooftop|Commercial_RoGonDor_0,Solar|PV|Rooftop|Commercial_Harad_0,Solar|PV|Utility|Average_RoGonDor_0,Solar|PV|Utility|Average_Harad_0,Solar|PV|Utility|Average_DolAmroth_0,Solar|PV|Utility|Inf_RoGonDor_0,Solar|PV|Utility|Inf_Harad_0,Solar|PV|Utility|Inf_DolAmroth_0,Solar|PV|Utility|Opt_RoGonDor_0,Solar|PV|Utility|Opt_Harad_0,Solar|PV|Utility|Opt_DolAmroth_0,Wind|Onshore|Avg_RoGonDor_0,Wind|Onshore|Avg_Harad_0,Wind|Onshore|Avg_DolAmroth_0,Wind|Onshore|Opt_RoGonDor_0,Wind|Onshore|Opt_DolAmroth_0,Wind|Offshore|Deep_RoGonDor_0,Wind|Offshore|Shallow_RoGonDor_0,Wind|Offshore|Transitional_RoGonDor_0,Hydro|Run of River_RoGonDor_0,Hydro|Run of River_Harad_0,Hydro|Run of River_DolAmroth_0,Hydro|Pumped Storage_RoGonDor_0,Hydro|Pumped Storage_Harad_0,Hydro|Pumped Storage_DolAmroth_0,Battery|Lithium-Ion_RoGonDor_0,Battery|Lithium-Ion_Harad_0,Battery|Lithium-Ion_DolAmroth_0,SlackUnit_RoGonDor,SlackUnit_DolAmroth,SlackUnit_Harad
0,154884.29999999998836,154884.29999999998836,36000,36000,33145.436664772234508,33145.436664772234508,117441,2814.8496863584377934,2202.7200000000002547,98675.729275205449085,10700.231703475554241,71.540352000000595467,32038.70455682280226,502164.01366123405751,90000,12000,132000,150000,304699.09831679996569,240000,30000,51914.257641406147741,23.69761826676840144,6659.1846910902004311,1197.7790541800777646,2012.4470767447839989,1025.4967293360157328,328.61424999999900365,917.94993142151452048,844.52671827671554183,164.55134369282905027,3156.5086642128294443,472.67231477487382563,319.52535569691258388,40574.574816980697506,923.97805445138192226,1489.1792000000000371,30434.348967884001468,9236.0134966666682885,86230.080828027799726,106097.15701986539352,14051.940449770081614,18546.99269503015239,4998.3719412570608256,7056.8701644381717415,72903.240000000005239,35524.319999999999709,19812,856652.79662836692296,163476.71564937126823,23492.094562788221083,9000000,9000000,9000000
1,0,0,0,0,0,0,117441,2814.8496863584377934,2202.7200000000002547,98675.729275205449085,10700.231703475554241,71.540352000000595467,32038.70455682280226,502164.01366123405751,90000,12000,132000,150000,304699.09831679996569,240000,30000,51914.257641406147741,23.69761826676840144,126780.23964425179292,82668.623538658692269,86612.641291534775519,70777.997629652410978,11392.158999999999651,61415.723628887215455,58287.762753831404552,5704.5458954149498823,155760.70802478530095,32623.019672036902193,11077.071845273854706,39966.538087551060016,765.25597996073179274,1340.5072000000000116,33437.544336473154544,8313.9373633333343605,79963.111467755967169,103170.15822427955572,12826.843046782812962,18546.99269503015239,4998.3719412570608256,7056.8701644381717415,72903.240000000005239,35524.319999999999709,19812,856652.79662836692296,163476.71564937126823,23492.094562788221083,9000000,9000000,9000000
2,154884.29999999998836,154884.29999999998836,36000,36000,33145.436664772234508,33145.436664772234508,117441,2814.8496863584377934,2202.7200000000002547,98675.729275205449085,10700.231703475554241,71.540352000000595467,32038.70455682280226,502164.01366123405751,90000,12000,132000,150000,304699.09831679996569,240000,30000,51914.257641406147741,23.69761826676840144,112933.89963550707034,85925.927139595863991,89486.94030252682569,73566.787580151329166,10013.178499999999985,67932.047729066573083,60584.413301301086904,5014.0308182349135677,168153.56821388142998,33908.429721249558497,9736.2315294275213091,40216.729468910634751,1526.291625868001347,856.59360000000003765,94850.762441856393707,5312.6648900000009235,49517.521811602186062,67106.43255905478145,17639.262735049454932,18546.99269503015239,4998.3719412570608256,7056.8701644381717415,72903.240000000005239,35524.319999999999709,19812,856652.79662836692296,163476.71564937126823,23492.094562788221083,9000000,9000000,9000000
3,0,0,0,0,0,0,117441,2814.8496863584377934,2202.7200000000002547,98675.729275205449085,10700.231703475554241,71.540352000000595467,32038.70455682280226,502164.01366123405751,90000,12000,132000,150000,304699.09831679996569,240000,30000,51914.257641406147741,23.69761826676840144,2921.0266454620718832,2626.7106892522788257,3528.5177622840296863,2248.8982515928905741,213.63899999999998158,2926.0600529934758924,1852.0338542529686947,106.97827168235198769,6914.2331604425926344,1036.5629766189890688,207.7301196333777682,62779.115226710498973,1214.4495795710001858,2152.4671999999995933,121813.1288368235837,13349.780946666669479,38704.48874237905693,36301.532696838461561,28007.517197977311298,18546.99269503015239,4998.3719412570608256,7056.8701644381717415,72903.240000000005239,35524.319999999999709,19812,856652.79662836692296,163476.71564937126823,23492.094562788221083,9000000,9000000,9000000
4,154884.29999999998836,154884.29999999998836,36000,36000,33145.436664772234508,33145.436664772234508,117441,2814.8496863584377934,2202.7200000000002547,98675.729275205449085,10700.231703475554241,71.540352000000595467,32038.70455682280226,502164.01366123405751,90000,12000,132000,150000,304699.09831679996569,240000,30000,51914.257641406147741,23.69761826676840144,6677.8564015513948107,1158.7913826270339541,1562.8285524612094832,992.11684218358732323,256.4577499999999759,595.0093546224536567,817.03739944530923367,128.41946861080941744,2483.7715819783229563,457.28684539607331772,249.36457804243084979,50543.188818926770182,937.57690862364870554,2166.0671999999999571,164816.01534110546345,13434.129280000001017,26352.928217716103973,50834.736454086021695,62499.122576719440985,18546.99269503015239,4998.3719412570608256,7056.8701644381717415,72903.240000000005239,35524.319999999999709,19812,856652.79662836692296,163476.71564937126823,23492.094562788221083,9000000,9000000,9000000
5,0,0,0,0,0,0,117441,2814.8496863584377934,2202.7200000000002547,98675.729275205449085,10700.231703475554241,71.540352000000595467,32038.70455682280226,502164.01366123405751,90000,12000,132000,150000,304699.09831679996569,240000,30000,51914.257641406147741,23.69761826676840144,135818.51812905236147,78321.737250876700273,56607.776789943498443,67056.344913018896477,10767.489749999998821,37915.98740711069695,55222.872281309682876,5391.7470303289337608,107709.22953322083049,30907.63418709405596,10469.679852080700584,31928.920053625774017,589.9964483272558482,2822.7487999999998465,156561.69639369600918,17506.923286666667991,25737.181872569573898,84011.833062137447996,56609.304129306976392,18546.99269503015239,4998.3719412570608256,7056.8701644381717415,72903.240000000005239,35524.319999999999709,19812,856652.79662836692296,163476.71564937126823,23492.094562788221083,9000000,9000000,9000000
6,154884.29999999998836,154884.29999999998836,36000,36000,33145.436664772234508,33145.436664772234508,117441,2814.8496863584377934,2202.7200000000002547,98675.729275205449085,10700.231703475554241,71.540352000000595467,32038.70455682280226,502164.01366123405751,90000,12000,132000,150000,304699.09831679996569,240000,30000,51914.257641406147741,23.69761826676840144,110725.26245713258686,75037.241103876804118,59439.677948406955693,64244.273651202733163,8204.909750000000713,48924.534472464481951,52907.048889225770836,4108.5525787177484744,128841.65696859599848,29611.493307644188462,7977.9763243067400253,22579.017891885436256,2032.6754411627407535,3316.50879999999961,165350.20415320823668,20569.263953333331301,44265.939003177161794,103723.61025030612655,38672.270440294363652,18546.99269503015239,4998.3719412570608256,7056.8701644381717415,72903.240000000005239,35524.319999999999709,19812,856652.79662836692296,163476.71564937126823,23492.094562788221083,9000000,9000000,9000000
7,0,0,0,0,0,0,117441,2814.8496863584377934,2202.7200000000002547,98675.729275205449085,10700.231703475554241,71.540352000000595467,32038.70455682280226,502164.01366123405751,90000,12000,132000,150000,304699.09831679996569,240000,30000,51914.257641406147741,23.69761826676840144,2701.7454728439797691,1917.2817090877069859,3471.1039596010932655,1641.5098552805470717,172.13775000000001114,3610.7646062746430289,1351.8316455251529078,86.196803890154754413,8583.1662063733165269,756.60530241144533647,167.37672148306478448,43194.965754415708943,1764.1183913873960591,2058.0144000000000233,103711.06128138692293,12763.976810000001933,48250.136417767615058,70334.301766248841886,23024.205492457833316,18546.99269503015239,4998.3719412570608256,7056.8701644381717415,72903.240000000005239,35524.319999999999709,19812,856652.79662836692296,163476.71564937126823,23492.094562788221083,9000000,9000000,9000000
8,154884.29999999998836,154884.29999999998836,36000,36000,33145.436664772234508,33145.436664772234508,117441,2814.8496863584377934,2202.7200000000002547,98675.729275205449085,10700.231703475554241,71.540352000000595467,32038.70455682280226,502164.01366123405751,90000,12000,132000,150000,304699.09831679996569,240000,30000,51914.257641406147741,23.69761826676840144,7031.5965735085210326,920.59360515828234384,1960.880432768807168,788.1801972098405713,192.66524999999998613,857.71080841615082591,649.0895741728061239,96.475809464790245329,3101.6553090343186341,363.28829494766995367,187.3364668047249495,25464.025615814611228,2344.2924029768905712,672.16800000000000637,75569.747693288576556,4168.8419499999999971,43523.19734699883702,53424.416530437454639,21873.264560612300556,18546.99269503015239,4998.3719412570608256,7056.8701644381717415,72903.240000000005239,35524.319999999999709,19812,856652.79662836692296,163476.71564937126823,23492.094562788221083,9000000,9000000,9000000
9,0,0,0,0,0,0,117441,2814.8496863584377934,2202.7200000000002547,98675.729275205449085,10700.231703475554241,71.540352000000595467,32038.70455682280226,502164.01366123405751,90000,12000,132000,150000,304699.09831679996569,240000,30000,51914.257641406147741,23.69761826676840144,134142.58558147211443,72027.029442602433846,81650.651840963138966,61667.035217726253904,9436.9974999999994907,61808.427612291918194,50784.617238127502787,4725.5121135217787014,159706.27196676720632,28423.591658394805563,9175.9866862084491004,12045.706819427250593,1685.2762989219781957,443,61276.894428641258855,2747.5229166666667879,46112.3661282645553,32018.049576521021663,35932.410545478909626,18546.99269503015239,4998.3719412570608256,7056.8701644381717415,72903.240000000005239,35524.319999999999709,19812,856652.79662836692296,163476.71564937126823,23492.094562788221083,9000000,9000000,9000000
