,DolAmroth-0,DolAmroth-1,DolAmroth-2,DolAmroth-3
2030-07-02 00:00:00,6651995.02863327,6650119.318402263,6647541.84572071,6652572.516657498
2030-07-02 06:00:00,6674902.724312094,6671151.30385008,6665996.358486974,6676057.700360549
2030-07-02 12:00:00,6697810.419990918,6692183.289297896,6684450.871253237,6699542.8840636
2030-07-02 18:00:00,6720718.11566974,6713215.274745713,6702905.384019501,6723028.067766651
2030-07-03 00:00:00,6743625.811348565,6734247.26019353,6721359.896785764,6746513.2514697015
2030-07-03 06:00:00,6766533.507027389,6755279.245641345,6739814.4095520275,6769998.435172752
2030-07-03 12:00:00,6789441.202706212,6776311.231089163,6758268.92231829,6793483.618875803
2030-07-03 18:00:00,6812348.898385036,6797343.216536979,6776723.435084553,6816968.802578854
2030-07-04 00:00:00,6835256.594063859,6818375.201984796,6795177.947850818,6840453.986281904
2030-07-04 06:00:00,6858164.289742683,6839407.187432612,6813632.460617081,6863939.169984956
2030-07-04 12:00:00,6881071.985421507,6860439.172880429,6832086.973383345,6887424.353688007
2030-07-04 18:00:00,6903979.681100329,6881471.158328244,6850541.486149608,6910909.537391057
2030-07-05 00:00:00,6926887.376779154,6902503.143776062,6868995.998915872,6934394.721094109
2030-07-05 06:00:00,6949795.072457978,6923535.1292238785,6887450.511682135,6957879.90479716
2030-07-05 12:00:00,6972702.768136801,6944567.114671695,6905905.024448399,6981365.088500211
2030-07-05 18:00:00,6995610.463815625,6965599.100119512,6924359.537214662,7004850.272203262
2030-07-06 00:00:00,7018518.159494448,6986631.085567328,6942814.049980924,7028335.455906313
2030-07-06 06:00:00,7041425.855173272,7007663.071015145,6961268.562747189,7051820.639609364
2030-07-06 12:00:00,7064333.550852096,7028695.056462961,6979723.075513452,7075305.823312415
2030-07-06 18:00:00,7087241.246530919,7049727.041910778,6998177.588279716,7098791.007015466
2030-07-07 00:00:00,7110148.942209743,7070759.027358593,7016632.101045979,7122276.190718517
2030-07-07 06:00:00,7133056.6378885675,7091791.01280641,7035086.613812243,7145761.374421568
2030-07-07 12:00:00,7155964.33356739,7112822.998254227,7053541.126578505,7169246.558124619
2030-07-07 18:00:00,7178872.029246214,7133854.983702044,7071995.6393447695,7192731.74182767
2030-07-08 00:00:00,7201779.724925037,7154886.969149861,7090450.152111033,7216216.92553072
2030-07-08 06:00:00,7224687.420603861,7175918.954597677,7108904.664877296,7239702.109233771
2030-07-08 12:00:00,7247595.116282685,7196950.940045494,7127359.17764356,7263187.292936822
2030-07-08 18:00:00,7270502.811961507,7217982.92549331,7145813.690409823,7286672.476639873
2030-07-09 00:00:00,7297982.21596951,7247557.077001838,7167177.776984564,7305017.854038691
2030-07-09 06:00:00,7325461.619977513,7277131.228510365,7188541.863559305,7323363.231437509
2030-07-09 12:00:00,7352941.023985517,7306705.380018893,7209905.9501340445,7341708.608836327
2030-07-09 18:00:00,7380420.42799352,7336279.5315274205,7231270.036708785,7360053.986235144
2030-07-10 00:00:00,7407899.832001523,7365853.683035949,7252634.123283527,7378399.363633961
2030-07-10 06:00:00,7435379.236009526,7395427.834544477,7273998.209858268,7396744.741032781
2030-07-10 12:00:00,7462858.64001753,7425001.986053005,7295362.296433008,7415090.118431598
2030-07-10 18:00:00,7490338.044025533,7454576.137561533,7316726.383007749,7433435.495830415
2030-07-11 00:00:00,7517817.448033536,7484150.2890700605,7338090.46958249,7451780.873229234
2030-07-11 06:00:00,7545296.852041539,7513724.440578589,7359454.55615723,7470126.250628051
2030-07-11 12:00:00,7572776.256049539,7543298.592087117,7380818.642731971,7488471.628026869
2030-07-11 18:00:00,7600255.660057543,7572872.743595645,7402182.72930671,7506817.005425688
2030-07-12 00:00:00,7627735.064065546,7602446.895104171,7423546.8158814525,7525162.382824504
2030-07-12 06:00:00,7655214.468073549,7632021.0466126995,7444910.902456193,7543507.760223322
2030-07-12 12:00:00,7682693.872081552,7661595.198121227,7466274.989030934,7561853.13762214
2030-07-12 18:00:00,7710173.276089556,7691169.349629755,7487639.075605674,7580198.515020958
2030-07-13 00:00:00,7737652.680097559,7720743.501138283,7509003.162180414,7598543.892419776
2030-07-13 06:00:00,7765132.0841055615,7750317.65264681,7530367.248755155,7616889.269818594
2030-07-13 12:00:00,7792611.488113564,7779891.804155338,7551731.335329896,7635234.647217412
2030-07-13 18:00:00,7820090.892121566,7809465.955663865,7573095.421904637,7653580.024616228
2030-07-14 00:00:00,7847570.296129569,7839040.107172393,7594459.508479377,7671925.402015046
2030-07-14 06:00:00,7875049.700137572,7868614.258680923,7615823.595054118,7690270.779413866
2030-07-14 12:00:00,7902529.104145576,7898188.41018945,7637187.68162886,7708616.156812682
2030-07-14 18:00:00,7930008.508153579,7927762.561697978,7658551.7682036,7726961.534211501
2030-07-15 00:00:00,7957487.912161582,7957336.713206505,7679915.854778341,7745306.911610318
2030-07-15 06:00:00,7984967.316169586,7986910.864715033,7701279.941353082,7763652.289009136
2030-07-15 12:00:00,8012446.720177587,8016485.016223562,7722644.027927822,7781997.666407955
2030-07-15 18:00:00,8039926.12418559,8046059.16773209,7744008.114502563,7800343.043806771
2030-07-16 00:00:00,8067939.036293627,8073840.778016584,7768143.127935216,7820030.527519735
2030-07-16 06:00:00,8095951.948401664,8101622.388301078,7792278.1413678685,7839718.011232697
2030-07-16 12:00:00,8123964.860509701,8129403.998585574,7816413.154800521,7859405.494945661
2030-07-16 18:00:00,8151977.772617738,8157185.608870069,7840548.168233175,7879092.978658622
2030-07-17 00:00:00,8179990.684725774,8184967.219154563,7864683.181665826,7898780.462371587
2030-07-17 06:00:00,8208003.596833811,8212748.829439059,7888818.195098478,7918467.946084547
2030-07-17 12:00:00,8236016.508941846,8240530.439723555,7912953.208531133,7938155.429797511
2030-07-17 18:00:00,8264029.4210498845,8268312.050008049,7937088.221963784,7957842.913510473
2030-07-18 00:00:00,8292042.333157921,8296093.660292545,7961223.235396436,7977530.397223437
2030-07-18 06:00:00,8320055.245265959,8323875.27057704,7985358.24882909,7997217.8809364
2030-07-18 12:00:00,8348068.157373994,8351656.880861535,8009493.262261743,8016905.364649363
2030-07-18 18:00:00,8376081.06948203,8379438.491146032,8033628.275694395,8036592.848362325
2030-07-19 00:00:00,8404093.981590068,8407220.101430526,8057763.289127048,8056280.332075288
2030-07-19 06:00:00,8432106.893698102,8435001.71171502,8081898.302559699,8075967.815788251
2030-07-19 12:00:00,8460119.80580614,8462783.321999514,8106033.3159923535,8095655.299501214
2030-07-19 18:00:00,8488132.717914175,8490564.932284009,8130168.329425006,8115342.783214178
2030-07-20 00:00:00,8516145.630022211,8518346.542568505,8154303.342857658,8135030.266927139
2030-07-20 06:00:00,8544158.542130247,8546128.152852997,8178438.356290311,8154717.750640103
2030-07-20 12:00:00,8572171.454238283,8573909.763137491,8202573.369722963,8174405.2343530655
2030-07-20 18:00:00,8600184.366346318,8601691.373421986,8226708.383155618,8194092.718066029
2030-07-21 00:00:00,8628197.278454354,8629472.98370648,8250843.396588269,8213780.20177899
2030-07-21 06:00:00,8656210.190562388,8657254.593990974,8274978.410020921,8233467.685491955
2030-07-21 12:00:00,8684223.102670426,8685036.204275468,8299113.423453574,8253155.169204915
2030-07-21 18:00:00,8712236.014778461,8712817.81455996,8323248.436886227,8272842.652917879
2030-07-22 00:00:00,8740248.926886497,8740599.424844457,8347383.45031888,8292530.1366308415
2030-07-22 06:00:00,8768261.838994531,8768381.035128951,8371518.463751533,8312217.620343804
2030-07-22 12:00:00,8796274.751102569,8796162.645413445,8395653.477184186,8331905.104056768
2030-07-22 18:00:00,8824287.663210604,8823944.25569794,8419788.490616838,8351592.587769731
2030-07-23 00:00:00,8846543.03792229,8850345.049669651,8442281.491062734,8367354.55184364
2030-07-23 06:00:00,8868798.412633974,8876745.843641363,8464774.49150863,8383116.515917549
2030-07-23 12:00:00,8891053.787345659,8903146.637613075,8487267.491954524,8398878.479991458
2030-07-23 18:00:00,8913309.162057344,8929547.431584785,8509760.492400419,8414640.444065366
2030-07-24 00:00:00,8935564.536769027,8955948.225556498,8532253.492846314,8430402.408139277
2030-07-24 06:00:00,8957819.911480714,8982349.01952821,8554746.493292209,8446164.372213185
2030-07-24 12:00:00,8980075.286192399,9008749.813499922,8577239.493738102,8461926.336287096
2030-07-24 18:00:00,9002330.660904083,9035150.607471632,8599732.494183999,8477688.300361006
2030-07-25 00:00:00,9024586.035615768,9061551.401443344,8622225.494629893,8493450.264434915
2030-07-25 06:00:00,9046841.410327453,9087952.195415055,8644718.495075788,8509212.228508824
2030-07-25 12:00:00,9069096.785039138,9114352.989386767,8667211.495521683,8524974.192582734
2030-07-25 18:00:00,9091352.159750825,9140753.78335848,8689704.495967578,8540736.156656643
2030-07-26 00:00:00,9113607.53446251,9167154.577330193,8712197.496413473,8556498.120730553
2030-07-26 06:00:00,9135862.909174193,9193555.371301904,8734690.496859368,8572260.084804462
2030-07-26 12:00:00,9158118.283885876,9219956.165273616,8757183.497305265,8588022.048878372
2030-07-26 18:00:00,9180373.658597562,9246356.959245328,8779676.497751158,8603784.012952281
2030-07-27 00:00:00,9202629.033309247,9272757.75321704,8802169.498197053,8619545.97702619
2030-07-27 06:00:00,9224884.40802093,9299158.547188751,8824662.498642948,8635307.9411001
2030-07-27 12:00:00,9247139.782732615,9325559.341160463,8847155.499088842,8651069.90517401
2030-07-27 18:00:00,9269395.157444302,9351960.135132177,8869648.499534737,8666831.86924792
2030-07-28 00:00:00,9291650.532155987,9378360.929103887,8892141.499980632,8682593.833321827
2030-07-28 06:00:00,9313905.906867672,9404761.723075598,8914634.500426527,8698355.797395738
2030-07-28 12:00:00,9336161.281579357,9431162.51704731,8937127.500872422,8714117.761469647
2030-07-28 18:00:00,9358416.65629104,9457563.311019022,8959620.501318319,8729879.725543555
2030-07-29 00:00:00,9380672.031002726,9483964.104990732,8982113.501764212,8745641.689617466
2030-07-29 06:00:00,9402927.405714413,9510364.898962446,9004606.502210105,8761403.653691374
2030-07-29 12:00:00,9425182.780426096,9536765.692934157,9027099.502656,8777165.617765285
2030-07-29 18:00:00,9447438.15513778,9563166.48690587,9049592.503101896,8792927.581839195
2030-07-30 00:00:00,9470433.42739768,9590373.962755127,9073365.424740365,8816856.684907809
2030-07-30 06:00:00,9493428.699657578,9617581.438604385,9097138.346378831,8840785.787976423
2030-07-30 12:00:00,9516423.971917475,9644788.914453642,9120911.2680173,8864714.891045038
2030-07-30 18:00:00,9539419.244177377,9671996.390302898,9144684.189655768,8888643.994113652
2030-07-31 00:00:00,9562414.516437272,9699203.866152158,9168457.111294236,8912573.097182266
