,Harad-0,Harad-1,Harad-2,Harad-3
2030-07-02 00:00:00,6003719.326888201,6000467.059665104,5995998.016535697,6004720.625138793
2030-07-02 06:00:00,6007438.653776402,6000934.119330209,5991996.033071393,6009441.250277585
2030-07-02 12:00:00,6011157.980664602,6001401.178995313,5987994.04960709,6014161.875416379
2030-07-02 18:00:00,6014877.307552803,6001868.2386604175,5983992.066142785,6018882.500555173
2030-07-03 00:00:00,6018596.634441004,6002335.298325522,5979990.082678482,6023603.125693966
2030-07-03 06:00:00,6022315.961329205,6002802.357990625,5975988.099214179,6028323.750832759
2030-07-03 12:00:00,6026035.288217406,6003269.417655731,5971986.115749876,6033044.375971552
2030-07-03 18:00:00,6029754.615105608,6003736.477320834,5967984.132285573,6037765.001110345
2030-07-04 00:00:00,6033473.941993808,6004203.536985939,5963982.148821269,6042485.626249137
2030-07-04 06:00:00,6037193.268882008,6004670.596651044,5959980.165356966,6047206.251387931
2030-07-04 12:00:00,6040912.595770209,6005137.656316148,5955978.181892662,6051926.876526725
2030-07-04 18:00:00,6044631.92265841,6005604.7159812525,5951976.198428359,6056647.501665518
2030-07-05 00:00:00,6048351.249546611,6006071.775646357,5947974.214964056,6061368.126804311
2030-07-05 06:00:00,6052070.576434812,6006538.835311461,5943972.231499752,6066088.751943104
2030-07-05 12:00:00,6055789.903323012,6007005.894976566,5939970.248035449,6070809.377081897
2030-07-05 18:00:00,6059509.230211213,6007472.95464167,5935968.264571145,6075530.002220689
2030-07-06 00:00:00,6063228.557099414,6007940.014306774,5931966.281106842,6080250.627359483
2030-07-06 06:00:00,6066947.883987615,6008407.073971879,5927964.297642537,6084971.2524982765
2030-07-06 12:00:00,6070667.210875816,6008874.133636983,5923962.314178234,6089691.87763707
2030-07-06 18:00:00,6074386.537764017,6009341.193302088,5919960.3307139315,6094412.502775863
2030-07-07 00:00:00,6078105.864652216,6009808.252967192,5915958.347249628,6099133.127914656
2030-07-07 06:00:00,6081825.191540417,6010275.312632296,5911956.363785325,6103853.753053449
2030-07-07 12:00:00,6085544.518428619,6010742.372297401,5907954.380321021,6108574.378192241
2030-07-07 18:00:00,6089263.84531682,6011209.431962505,5903952.396856718,6113295.003331035
2030-07-08 00:00:00,6092983.172205021,6011676.491627608,5899950.413392414,6118015.6284698285
2030-07-08 06:00:00,6096702.4990932215,6012143.551292714,5895948.429928111,6122736.253608622
