Timestep,Hydro|Reservoir_RoGonDor_0,Hydro|Reservoir_Harad_0,Hydro|Reservoir_DolAmroth_0,Hydro|Pumped Storage_RoGonDor_0,Hydro|Pumped Storage_Harad_0,Hydro|Pumped Storage_DolAmroth_0,Battery|Lithium-Ion_RoGonDor_0,Battery|Lithium-Ion_Harad_0,Battery|Lithium-Ion_DolAmroth_0
0,34504968.863145537674,5995998.0165356965736,6647541.8457207102329,0,0,0,0,0,0
1,34591204.392957746983,5991996.0330713931471,6665996.3584869736806,0,0,0,36150.147239196048758,0,0
2,34677439.922769956291,5987994.0496070897207,6684450.8712532371283,0,0,0,70937.854549813448102,10529.143727940143435,0
3,34763675.452582165599,5983992.0661427862942,6702905.384019500576,0,0,0,60442.211210441048024,0,0
4,34849910.982394374907,5979990.0826784828678,6721359.8967857640237,0,0,0,83180.07622308768623,0,537.73601786443384754
5,34936146.512206584215,5975988.0992141794413,6739814.4095520274714,0,0,0,97389.434450250584632,17046.580419862049894,2771.8146703976753997
6,35022382.042018793523,5971986.1157498760149,6758268.9223182909191,0,0,0,97389.434450250584632,17046.580419862049894,6846.7865417491757398
7,35108617.571831002831,5967984.1322855725884,6776723.4350845543668,0,0,0,68867.69087556625891,0,6846.7865417491757398
8,35194853.10164321214,5963982.148821269162,6795177.9478508178145,0,0,0,38853.954578068165574,0,6846.7865417491757398
9,35281088.631455421448,5959980.1653569657356,6813632.4606170812622,0,0,0,59639.552339333589771,0,0
10,35367324.161267630756,5955978.1818926623091,6832086.9733833447099,0,0,0,93360.161922444734955,0,0
11,35453559.691079840064,5951976.1984283588827,6850541.4861496081576,0,0,0,32898.526849800189666,0,0
12,35539795.220892049372,5947974.2149640554562,6868995.9989158716053,0,0,0,2096.6035234957162174,0,0
13,35626030.75070425868,5943972.2314997520298,6887450.511682135053,0,0,0,24088.54061253214968,20331.83209865236131,0
14,35712266.280516467988,5939970.2480354486033,6905905.0244483985007,0,0,0,44436.427677039922855,30558.640580339011649,0
15,35798501.810328677297,5935968.2645711451769,6924359.5372146619484,0,0,0,0,0,0
16,35884737.340140886605,5931966.2811068417504,6942814.0499809253961,0,0,0,0,3953.9768918136596767,0
17,35970972.869953095913,5927964.297642538324,6961268.5627471888438,0,0,0,110138.74107717722654,78019.180799205380026,0
