Timestep,DolAmroth>Harad,RoGonDor>DolAmroth,RoGonDor>Harad
0,426,-12000,5196
1,426,8195.8553086502943188,5196
2,426,13200,5196
3,426,13200,5196
4,426,13200,5196
5,426,13200,5196
6,426,13200,5196
7,426,13200,5196
8,426,13200,5196
9,426,13200,5196
10,426,13200,5196
11,426,13139.375122659937915,5196
12,426,4783.3572846613897127,5196
13,426,12380.173533543871599,5196
14,426,4236.6866383808592218,5196
15,426,1873.363719139539171,5196
16,426,-595.01757884532707976,5196
17,426,2722.6707965070600039,5196
18,426,59.20410089117649477,5196
19,426,5957.7923634498984029,5196
20,426,4768.5550376716855681,5196
21,426,13200,5196
22,426,1246.4672305873027653,5196
23,426,6740.6538744964382204,5196
24,426,9764.2297753907332662,5196
25,426,13200,5196
26,426,13200,5196
27,426,11486.377711325607379,5196
28,426,-12000,5196
29,426,13200,5196
30,426,13200,5196
31,426,13200,5196
32,426,13200,5196
33,426,13200,5196
34,426,13200,5196
35,426,13200,5196
36,426,13200,5196
37,426,13200,5196
38,426,13200,5196
39,426,11963.198780333583272,5196
40,426,10272.002907852885983,5196
41,426,12194.891377037209168,5196
42,426,13200,5196
43,426,13200,5196
44,426,13200,5196
45,426,13200,5196
46,426,9337.2127095724426908,5196
47,426,13200,5196
48,426,13200,5196
49,426,13200,5196
50,426,13200,5196
51,426,13200,5196
52,426,13200,5196
53,426,13200,5196
54,426,2572.9432816074549919,5196
55,426,12239.807614495493908,5196
56,426,-12000,5196
57,426,-8727.0273023967602057,5196
58,426,-12000,5196
59,426,-12000,5196
60,426,-12000,5196
61,426,-12000,5196
62,426,13200,5196
63,426,-12000,5196
64,426,-12000,5196
65,426,13200,5196
66,426,13200,5196
67,426,13200,5196
68,426,13200,5196
69,426,13200,5196
70,426,13200,5196
71,426,13200,5196
72,426,13200,5196
73,426,13200,5196
74,426,13200,5196
75,426,13200,5196
76,426,13200,5196
77,426,13200,5196
78,426,13200,5196
79,426,13200,5196
80,426,13200,5196
81,426,13200,5196
82,426,13200,5196
83,426,13200,5196
84,426,-8364.9091382735277875,5196
85,426,13200,5196
