,DolAmroth>Harad,RoGonDor>DolAmroth,RoGonDor>Harad
2030-07-02 00:00:00,426.0,-12000.0,5196.0
2030-07-02 06:00:00,426.0,13200.0,5196.0
2030-07-02 12:00:00,426.0,13200.0,5196.0
2030-07-02 18:00:00,426.0,13200.0,5196.0
2030-07-03 00:00:00,426.0,13200.0,5196.0
2030-07-03 06:00:00,426.0,13200.0,5196.0
2030-07-03 12:00:00,426.0,13200.0,5196.0
2030-07-03 18:00:00,426.0,13200.0,5196.0
2030-07-04 00:00:00,426.0,13200.0,5196.0
2030-07-04 06:00:00,426.0,13200.0,5196.0
2030-07-04 12:00:00,426.0,13200.0,5196.0
2030-07-04 18:00:00,426.0,12316.062816035224,5196.0
2030-07-05 00:00:00,426.0,3878.4038434494646,5196.0
2030-07-05 06:00:00,426.0,10032.785042851327,5196.0
2030-07-05 12:00:00,426.0,2234.285897856789,5196.0
2030-07-05 18:00:00,426.0,1050.0514125148327,5196.0
2030-07-06 00:00:00,426.0,-1499.9710200572515,5196.0
2030-07-06 06:00:00,426.0,13200.0,5196.0
2030-07-06 12:00:00,426.0,-1943.1966396328933,5196.0
2030-07-06 18:00:00,426.0,5206.020408825185,5196.0
2030-07-07 00:00:00,426.0,-7710.706122542633,5196.0
2030-07-07 06:00:00,426.0,2423.785565813443,5196.0
2030-07-07 12:00:00,426.0,13200.0,5196.0
2030-07-07 18:00:00,426.0,5988.881919871732,5196.0
2030-07-08 00:00:00,426.0,3022.56201821168,5196.0
2030-07-08 06:00:00,426.0,8916.951461580698,5196.0
2030-07-08 12:00:00,426.0,13200.0,5196.0
2030-07-08 18:00:00,426.0,11903.303479890012,5196.0
2030-07-09 00:00:00,426.0,-12000.0,5196.0
2030-07-09 06:00:00,426.0,13200.0,5196.0
2030-07-09 12:00:00,426.0,13200.0,5196.0
2030-07-09 18:00:00,426.0,13200.0,5196.0
2030-07-10 00:00:00,426.0,13200.0,5196.0
2030-07-10 06:00:00,426.0,13200.0,5196.0
2030-07-10 12:00:00,426.0,13200.0,5196.0
2030-07-10 18:00:00,426.0,13200.0,5196.0
2030-07-11 00:00:00,426.0,13200.0,5196.0
2030-07-11 06:00:00,426.0,13200.0,5196.0
2030-07-11 12:00:00,426.0,13200.0,5196.0
2030-07-11 18:00:00,426.0,11139.886473708868,5196.0
2030-07-12 00:00:00,426.0,9367.049466640954,5196.0
2030-07-12 06:00:00,426.0,6210.449934038297,5196.0
2030-07-12 12:00:00,426.0,13200.0,5196.0
2030-07-12 18:00:00,426.0,13200.0,5196.0
2030-07-13 00:00:00,426.0,13200.0,5196.0
2030-07-13 06:00:00,426.0,13200.0,5196.0
2030-07-13 12:00:00,426.0,5817.700390402504,5196.0
2030-07-13 18:00:00,426.0,13200.0,5196.0
2030-07-14 00:00:00,426.0,8496.29882522047,5196.0
2030-07-14 06:00:00,426.0,13200.0,5196.0
2030-07-14 12:00:00,426.0,13200.0,5196.0
2030-07-14 18:00:00,426.0,13200.0,5196.0
2030-07-15 00:00:00,426.0,13200.0,5196.0
2030-07-15 06:00:00,426.0,13200.0,5196.0
2030-07-15 12:00:00,426.0,642.0828930833886,5196.0
2030-07-15 18:00:00,426.0,11416.495307870788,5196.0
2030-07-16 00:00:00,426.0,-12000.0,5196.0
2030-07-16 06:00:00,426.0,3636.274905083701,5196.0
2030-07-16 12:00:00,426.0,7883.785937276785,5196.0
2030-07-16 18:00:00,426.0,-12000.0,5196.0
2030-07-17 00:00:00,426.0,-5641.092727493684,5196.0
2030-07-17 06:00:00,426.0,13200.0,5196.0
2030-07-17 12:00:00,426.0,13200.0,5196.0
2030-07-17 18:00:00,426.0,13200.0,5196.0
2030-07-18 00:00:00,426.0,13200.0,5196.0
2030-07-18 06:00:00,426.0,13200.0,5196.0
2030-07-18 12:00:00,426.0,13200.0,5196.0
2030-07-18 18:00:00,426.0,13200.0,5196.0
2030-07-19 00:00:00,426.0,13200.0,5196.0
2030-07-19 06:00:00,426.0,13200.0,5196.0
2030-07-19 12:00:00,426.0,13200.0,5196.0
2030-07-19 18:00:00,426.0,13200.0,5196.0
2030-07-20 00:00:00,426.0,13200.0,5196.0
2030-07-20 06:00:00,426.0,13200.0,5196.0
2030-07-20 12:00:00,426.0,13200.0,5196.0
2030-07-20 18:00:00,426.0,13200.0,5196.0
2030-07-21 00:00:00,426.0,13200.0,5196.0
2030-07-21 06:00:00,426.0,13200.0,5196.0
2030-07-21 12:00:00,426.0,13200.0,5196.0
2030-07-21 18:00:00,426.0,13200.0,5196.0
2030-07-22 00:00:00,426.0,13200.0,5196.0
2030-07-22 06:00:00,426.0,13200.0,5196.0
2030-07-22 12:00:00,426.0,13200.0,5196.0
2030-07-22 18:00:00,426.0,13200.0,5196.0
2030-07-23 00:00:00,426.0,-12000.0,5196.0
2030-07-23 06:00:00,426.0,13200.0,5196.0
2030-07-23 12:00:00,426.0,13200.0,5196.0
2030-07-23 18:00:00,426.0,-12000.0,5196.0
2030-07-24 00:00:00,426.0,-12000.0,5196.0
2030-07-24 06:00:00,426.0,-1759.0998127515559,5196.0
2030-07-24 12:00:00,426.0,-3947.056427473312,5196.0
2030-07-24 18:00:00,426.0,-7926.718692500718,5196.0
2030-07-25 00:00:00,426.0,-12000.0,5196.0
2030-07-25 06:00:00,426.0,13200.0,5196.0
2030-07-25 12:00:00,426.0,13200.0,5196.0
2030-07-25 18:00:00,426.0,-12000.0,5196.0
2030-07-26 00:00:00,426.0,13200.0,5196.0
2030-07-26 06:00:00,426.0,13200.0,5196.0
2030-07-26 12:00:00,426.0,13200.0,5196.0
2030-07-26 18:00:00,426.0,13200.0,5196.0
2030-07-27 00:00:00,426.0,13200.0,5196.0
2030-07-27 06:00:00,426.0,13200.0,5196.0
2030-07-27 12:00:00,426.0,13200.0,5196.0
2030-07-27 18:00:00,426.0,10336.178663722885,5196.0
2030-07-28 00:00:00,426.0,13200.0,5196.0
2030-07-28 06:00:00,426.0,6349.729689181942,5196.0
2030-07-28 12:00:00,426.0,13200.0,5196.0
2030-07-28 18:00:00,426.0,260.6813758815115,5196.0
2030-07-29 00:00:00,426.0,81.04909075745672,5196.0
2030-07-29 06:00:00,426.0,13200.0,5196.0
2030-07-29 12:00:00,426.0,13200.0,5196.0
2030-07-29 18:00:00,426.0,11901.153774603146,5196.0
2030-07-30 00:00:00,426.0,13200.0,5196.0
2030-07-30 06:00:00,426.0,13200.0,5196.0
2030-07-30 12:00:00,426.0,13200.0,5196.0
2030-07-30 18:00:00,426.0,13200.0,5196.0
2030-07-31 00:00:00,426.0,13200.0,5196.0
2030-07-31 06:00:00,426.0,13200.0,5196.0
2030-07-31 12:00:00,426.0,13200.0,5196.0
2030-07-31 18:00:00,426.0,13200.0,5196.0
2030-08-01 00:00:00,426.0,13200.0,5196.0
2030-08-01 06:00:00,426.0,13200.0,5196.0
2030-08-01 12:00:00,426.0,13200.0,5196.0
2030-08-01 18:00:00,426.0,13200.0,5196.0
2030-08-02 00:00:00,426.0,13200.0,5196.0
2030-08-02 06:00:00,426.0,13200.0,5196.0
2030-08-02 12:00:00,426.0,13200.0,5196.0
2030-08-02 18:00:00,426.0,13200.0,5196.0
2030-08-03 00:00:00,426.0,13200.0,5196.0
2030-08-03 06:00:00,426.0,13200.0,5196.0
2030-08-03 12:00:00,426.0,13200.0,5196.0
2030-08-03 18:00:00,426.0,13200.0,5196.0
2030-08-04 00:00:00,426.0,13200.0,5196.0
2030-08-04 06:00:00,426.0,13200.0,5196.0
2030-08-04 12:00:00,426.0,13200.0,5196.0
2030-08-04 18:00:00,426.0,13200.0,5196.0
2030-08-05 00:00:00,426.0,13200.0,5196.0
2030-08-05 06:00:00,426.0,13200.0,5196.0
2030-08-05 12:00:00,426.0,13200.0,5196.0
2030-08-05 18:00:00,426.0,13200.0,5196.0
2030-08-06 00:00:00,426.0,13200.0,5196.0
2030-08-06 06:00:00,426.0,13200.0,5196.0
2030-08-06 12:00:00,426.0,13200.0,5196.0
2030-08-06 18:00:00,426.0,13200.0,5196.0
2030-08-07 00:00:00,426.0,13200.0,5196.0
2030-08-07 06:00:00,426.0,13200.0,5196.0
2030-08-07 12:00:00,426.0,13200.0,5196.0
2030-08-07 18:00:00,426.0,13200.0,5196.0
2030-08-08 00:00:00,426.0,13200.0,5196.0
2030-08-08 06:00:00,426.0,13200.0,5196.0
2030-08-08 12:00:00,426.0,13200.0,5196.0
2030-08-08 18:00:00,426.0,13200.0,5196.0
2030-08-09 00:00:00,426.0,13200.0,5196.0
2030-08-09 06:00:00,426.0,13200.0,5196.0
2030-08-09 12:00:00,426.0,13200.0,5196.0
2030-08-09 18:00:00,426.0,1363.7826307069627,5196.0
2030-08-10 00:00:00,426.0,-484.481966870786,5196.0
2030-08-10 06:00:00,426.0,13200.0,5196.0
2030-08-10 12:00:00,426.0,13200.0,5196.0
2030-08-10 18:00:00,426.0,13200.0,5196.0
2030-08-11 00:00:00,426.0,13200.0,5196.0
2030-08-11 06:00:00,426.0,13200.0,5196.0
2030-08-11 12:00:00,426.0,13200.0,5196.0
