,RoGonDor-0,RoGonDor-1,RoGonDor-2,RoGonDor-3,DolAmroth-0,DolAmroth-1,DolAmroth-2,DolAmroth-3,Harad-0,Harad-1,Harad-2,Harad-3
Hydro|Reservoir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass|w/o CCS,0.0,0.0,0.0,0.0,10803018.114812437,10862684.955097519,10976296.328512017,11697622.901149627,15639575.082977375,15639575.082977375,15639575.082977375,15639575.082977375
Coal|Hard coal|w/o CCS,327008111.0910095,337753069.7039856,347858843.7293735,363139837.998521,280547.2637324837,282655.93063893996,285231.38330990984,305405.76256584027,46738612.06208576,46738612.06208576,46738612.06208576,46738612.06208576
Coal|Lignite|w/o CCS,101911630.20604008,104010363.55546038,107435620.78878176,111720605.96637532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas|CCGT|w/o CCS,9920838062.892305,10314526908.202538,14193270925.123667,14611622886.609497,700441259.557075,702379969.6576577,715547119.7703894,717311026.4218993,6563688004.447655,6914544818.896484,6842190057.819761,7247335571.0348
Gas|OCGT|w/o CCS,674359862.4746599,693027241.4268491,1122643903.785273,1150269667.553357,0.0,0.0,0.0,0.0,10067052610.129852,10331951177.820335,11009014991.225368,11300039886.583094
Nuclear,1914604473.517249,1938445084.135474,2037474752.645876,2069341117.1023636,206570738.30384117,204080821.3871074,212325525.69723082,217769417.61119407,2759994569.8839483,2775442286.8999357,2771044382.809332,2781030477.4252996
Oil|w/o CCS,2398829.8263731445,2417342.58441793,2488705.937062143,2610595.7481831987,0.0,0.0,0.0,0.0,1242.1343590709325,1242.1343590709325,1242.1343590709325,1242.1343590709325
Solar|PV|Rooftop|Commercial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solar|PV|Utility|Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solar|PV|Utility|Inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solar|PV|Utility|Opt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind|Onshore|Avg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind|Onshore|Opt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind|Offshore|Deep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind|Offshore|Shallow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind|Offshore|Transitional,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydro|Run of River,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydro|Pumped Storage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydro|Pumped Storage_PUMP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery|Lithium-Ion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery|Lithium-Ion_PUMP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SlackUnit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
