,Energy (MWh)
Hydro|Run of River,5823253.600000001
Nuclear,344999321.2
Coal|Hard coal|w/o CCS,15579491.2
Wind|Onshore|Avg,10847754.6
Solar|PV|Utility|Average,35805821.9
Solar|PV|Utility|Inf,29487147.5
Solar|PV|Utility|Opt,16503632.0
Solar|PV|Rooftop|Commercial,41821160.1
Biomass|w/o CCS,4098348.8
Gas|CCGT|w/o CCS,80518349.1
Gas|OCGT|w/o CCS,88927375.1
Oil|w/o CCS,34507.2
Hydro|Reservoir,29636193.8
Hydro|Pumped Storage,941765.4000000001
Battery|Lithium-Ion,15479898.7
SlackUnit,5425283.699999999
Hydro|Pumped Storage_PUMP,-1255761.1
Battery|Lithium-Ion_PUMP,-17152242.1
