,DolAmroth-0,DolAmroth-1,DolAmroth-2,DolAmroth-3
2030-07-02 00:00:00,6618849.591968497,6616973.881737491,6614396.409055938,6619427.0799927255
2030-07-02 06:00:00,6621191.212967938,6614622.414831854,6608231.775293689,6610471.594801846
2030-07-02 12:00:00,6638381.098707351,6627460.246255496,6618966.077380017,6623760.223740197
2030-07-02 18:00:00,6659250.001340041,6646400.603918046,6634558.484793523,6644330.4673513565
2030-07-03 00:00:00,6682157.697018865,6667432.589365862,6653012.997559787,6667815.651054408
2030-07-03 06:00:00,6705065.392697688,6688464.574813679,6671467.510326049,6691300.834757459
2030-07-03 12:00:00,6727973.088376512,6709496.560261496,6689922.023092314,6714786.01846051
2030-07-03 18:00:00,6750880.784055336,6730528.545709312,6708376.535858577,6735957.729520877
2030-07-04 00:00:00,6771205.9988541305,6744596.029010277,6717777.896735108,6748290.8677924955
2030-07-04 06:00:00,6777662.965066779,6746843.435361946,6717434.291544504,6750644.083908705
2030-07-04 12:00:00,6789747.002600526,6754806.465983042,6723062.745425168,6759057.912044511
2030-07-04 18:00:00,6812654.69827935,6775838.451430857,6741517.258191432,6782543.095747561
2030-07-05 00:00:00,6835562.393958174,6796870.436878675,6759971.770957695,6806028.279450613
2030-07-05 06:00:00,6858470.089636996,6817902.422326491,6778426.283723959,6829513.463153664
2030-07-05 12:00:00,6881377.785315821,6838934.407774308,6796880.796490222,6852998.646856714
2030-07-05 18:00:00,6904285.480994645,6859966.393222124,6815335.309256486,6876483.830559766
2030-07-06 00:00:00,6927193.176673468,6880998.378669941,6833789.822022749,6899969.014262817
2030-07-06 06:00:00,6950100.872352292,6902030.3641177565,6852244.334789013,6923454.197965868
2030-07-06 12:00:00,6973008.568031115,6923062.349565574,6870698.847555276,6946939.381668919
2030-07-06 18:00:00,6995916.263709939,6944094.335013391,6889153.360321539,6970424.56537197
2030-07-07 00:00:00,7018823.959388763,6965126.320461207,6907607.873087802,6993909.749075021
2030-07-07 06:00:00,7041731.655067585,6986158.305909024,6926062.385854065,7017394.932778072
2030-07-07 12:00:00,7064639.35074641,7007190.29135684,6944516.89862033,7040880.116481123
2030-07-07 18:00:00,7087547.046425234,7028222.276804657,6962971.411386593,7064365.3001841735
2030-07-08 00:00:00,7110454.742104057,7049254.262252472,6981425.924152857,7087850.483887224
2030-07-08 06:00:00,7133362.437782881,7070286.24770029,6999880.43691912,7111335.667590275
2030-07-08 12:00:00,7156270.133461704,7091318.233148105,7018334.949685384,7134820.851293326
2030-07-08 18:00:00,7179177.829140528,7112350.218595922,7036789.462451647,7158306.034996376
2030-07-09 00:00:00,7182030.992348543,7117216.153896469,7032622.354785188,7151038.242746001
2030-07-09 06:00:00,7199531.377121225,7134158.337544394,7041660.033633915,7154404.263793523
