,Harad-0,Harad-1,Harad-2,Harad-3
2030-07-02 00:00:00,6003719.326888201,6000467.059665104,5995998.016535697,6004720.625138793
2030-07-02 06:00:00,6007438.653776402,6000934.119330209,5991996.033071393,6009441.250277585
2030-07-02 12:00:00,6032962.105991778,6001401.178995313,5999077.358794361,6014161.875416379
2030-07-02 18:00:00,6036681.432879979,6001868.2386604175,5995075.375330059,6018882.500555173
2030-07-03 00:00:00,6040400.75976818,6002335.298325522,5991073.391865755,6023603.125693966
2030-07-03 06:00:00,6070860.77606609,6005081.930252041,6005015.177264432,6028323.750832759
2030-07-03 12:00:00,6074580.102954291,6005548.989917145,6001013.193800128,6033044.375971552
2030-07-03 18:00:00,6078299.429842492,6006016.0495822495,5997011.210335825,6037765.001110345
2030-07-04 00:00:00,6082018.756730692,6006483.109247354,5993009.226871521,6042485.626249137
2030-07-04 06:00:00,6086666.823154532,6006950.168912457,5989007.243407218,6047206.251387931
2030-07-04 12:00:00,6090386.150042733,6007417.228577563,5985005.259942913,6051926.876526725
2030-07-04 18:00:00,6094105.476930934,6007884.288242666,5981003.27647861,6056647.501665518
2030-07-05 00:00:00,6099043.0705718445,6009230.9076972855,5977001.293014308,6061368.126804311
2030-07-05 06:00:00,6132961.24653164,6016042.376187504,5994401.238074868,6066088.751943104
2030-07-05 12:00:00,6158166.451119381,6016509.435852609,6001164.316170202,6070809.377081897
2030-07-05 18:00:00,6161885.778007582,6016976.495517713,5997162.332705897,6075530.002220689
2030-07-06 00:00:00,6172213.717778838,6023732.815786289,5997322.430180313,6084093.356018617
2030-07-06 06:00:00,6211933.044667039,6060199.875451393,6029320.44671601,6124813.98115741
2030-07-06 12:00:00,6251652.37155524,6096666.935116498,6061318.463251705,6165534.606296204
2030-07-06 18:00:00,6291371.698443441,6097133.994781601,6058988.468679992,6170255.231434997
2030-07-07 00:00:00,6331091.025331642,6132310.823861059,6090986.485215689,6201208.660617442
2030-07-07 06:00:00,6370810.352219841,6168777.883526163,6122984.501751386,6241929.285756236
2030-07-07 12:00:00,6410529.679108043,6205244.943191268,6154982.518287081,6282649.910895029
2030-07-07 18:00:00,6414249.005996244,6205712.002856372,6150980.534822779,6287370.536033822
2030-07-08 00:00:00,6443743.82130522,6242179.062521476,6170307.507834912,6315169.025022865
2030-07-08 06:00:00,6447463.148193421,6242646.122186581,6166305.524370609,6319889.650161659
