,RoGonDor-0,RoGonDor-1,RoGonDor-2,RoGonDor-3
2030-07-02 00:00:00,34525778.005748175,34517013.056621976,34504968.86314554,34528476.53192224
2030-07-02 06:00:00,34632822.67816302,34615292.779910624,34591204.39295775,34638219.73051116
2030-07-02 12:00:00,34739867.35057787,34713572.50319927,34677439.92276996,34747962.929100074
2030-07-02 18:00:00,34846912.022992715,34811852.22648792,34763675.452582166,34857706.12768899
2030-07-03 00:00:00,34953956.69540756,34910131.94977657,34849910.982394375,34967449.326277904
2030-07-03 06:00:00,35061001.36782241,35008411.673065215,34936146.512206584,35077192.52486682
2030-07-03 12:00:00,35168046.040237255,35106691.39635386,35022382.04201879,35186935.723455735
2030-07-03 18:00:00,35275090.7126521,35204971.11964251,35108617.571831,35296678.92204465
2030-07-04 00:00:00,35382135.38506695,35303250.84293116,35194853.101643205,35406422.120633565
2030-07-04 06:00:00,35489180.057481796,35401530.56621981,35281088.63145542,35516165.31922248
2030-07-04 12:00:00,35596224.72989664,35499810.289508455,35367324.16126763,35625908.517811395
2030-07-04 18:00:00,35703269.40231149,35598090.0127971,35453559.69107984,35735651.71640031
2030-07-05 00:00:00,35810314.074726336,35696369.73608575,35539795.22089205,35845394.914989226
2030-07-05 06:00:00,35917358.74714118,35794649.4593744,35626030.75070426,35955138.11357814
2030-07-05 12:00:00,36024403.41955603,35892929.182663046,35712266.28051647,36064881.312167056
2030-07-05 18:00:00,36131448.09197088,35991208.90595169,35798501.81032868,36174624.51075597
2030-07-06 00:00:00,36238492.76438572,36089488.629240334,35884737.34014089,36284367.709344886
2030-07-06 06:00:00,36345537.43680057,36187768.35252898,35970972.86995309,36394110.9079338
2030-07-06 12:00:00,36452582.109215416,36286048.07581764,36057208.399765305,36503854.10652272
2030-07-06 18:00:00,36559626.781630255,36384327.799106285,36143443.92957752,36613597.30511163
2030-07-07 00:00:00,36666671.45404511,36482607.522394925,36229679.45938972,36723340.503700554
2030-07-07 06:00:00,36773716.12645996,36580887.24568358,36315914.989201926,36833083.702289455
2030-07-07 12:00:00,36880760.7988748,36679166.96897223,36402150.51901414,36942826.90087838
2030-07-07 18:00:00,36987805.47128965,36777446.69226088,36488386.04882635,37052570.099467285
2030-07-08 00:00:00,37094850.1437045,36875726.41554952,36574621.57863856,37162313.29805621
2030-07-08 06:00:00,37201894.81611934,36974006.138838165,36660857.10845077,37272056.49664512
2030-07-08 12:00:00,37308939.48853418,37072285.86212681,36747092.63826298,37381799.69523404
2030-07-08 18:00:00,37415984.16094904,37170565.58541547,36833328.16807519,37491542.89382295
2030-07-09 00:00:00,37544391.82977062,37308761.735938966,36933159.75659021,37577268.44830544
2030-07-09 06:00:00,37672799.4985922,37446957.88646248,37032991.34510523,37662994.00278792
2030-07-09 12:00:00,37801207.16741378,37585154.03698599,37132822.93362025,37748719.5572704
