Timestep,Hydro|Reservoir_RoGonDor_0,Hydro|Reservoir_DolAmroth_0,Hydro|Reservoir_Harad_0,Hydro|Pumped Storage_RoGonDor_0,Hydro|Pumped Storage_DolAmroth_0,Hydro|Pumped Storage_Harad_0,Battery|Lithium-Ion_RoGonDor_0,Battery|Lithium-Ion_DolAmroth_0,Battery|Lithium-Ion_Harad_0
0,34528476.531922243536,6619427.0799927255139,6004720.6251387931406,0,0,0,0,0,11664.658637107773757
1,34638219.730511158705,6610471.5948018459603,6009441.2502775862813,0,0,0,0,0,11664.658637107773757
2,34747962.929100073874,6623760.2237401967868,6014161.8754163794219,0,0,0,53183.634062978468137,0,11664.658637107773757
3,34857706.127688989043,6644330.4673513574526,6018882.5005551725626,0,0,0,40973.270974030441721,0,10436.239987055294478
4,34967449.326277904212,6667815.6510544084013,6023603.1256939657032,0,0,0,156377.72953853436047,477.4830471936410845,10436.239987055294478
5,35077192.524866819382,6691300.8347574593499,6028323.7508327588439,0,0,0,208225.15114839471062,149.87260117213372723,10436.239987055294478
6,35186935.723455734551,6714786.0184605102986,6033044.3759715519845,0,0,0,208225.15114839471062,2297.1578004975644944,10436.239987055294478
7,35296678.92204464972,6735957.7295208768919,6037765.0011103451252,0,0,0,177770.06228477580589,0,5724.1567130723642549
8,35406422.120633564889,6748290.8677924945951,6042485.6262491382658,0,0,0,146392.9740795394755,0,5724.1567130723642549
9,35516165.319222480059,6750644.0839087050408,6047206.2513879314065,0,0,0,146392.9740795394755,0,5724.1567130723642549
10,35625908.517811395228,6759057.9120445111766,6051926.8765267245471,0,0,0,146392.9740795394755,0,5724.1567130723642549
11,35735651.716400310397,6782543.0957475621253,6056647.5016655176878,0,0,0,83644.318266266054707,0,4048.612212818306034
12,35845394.914989225566,6806028.279450613074,6061368.1268043108284,0,0,0,51501.801765637057542,0,4048.612212818306034
13,35955138.113578140736,6829513.4631536640227,6066088.7519431039691,0,0,0,51501.801765637057542,0,4048.612212818306034
