Region,Sector,Technology,Fuel,Type,Unit,PathwayScenario,Year,Value
DolAmroth,Power,P_Coal_Hardcoal,Power,Production,PJ,Gondor_globalLimit_364,2018,9.662242365486225
DolAmroth,Power,P_Gas_CCGT,Power,Production,PJ,Gondor_globalLimit_364,2035,48.57185968764158
DolAmroth,Power,P_Gas_CCGT,Power,Production,PJ,Gondor_globalLimit_364,2040,44.76277643681227
DolAmroth,Power,P_Gas_CCGT,Power,Production,PJ,Gondor_globalLimit_364,2045,19.004825789054596
DolAmroth,Power,P_Gas_CCGT,Power,Production,PJ,Gondor_globalLimit_364,2050,15.884812250385725
DolAmroth,Power,RES_Hydro_Large,Power,Production,PJ,Gondor_globalLimit_364,2018,84.9184756992
DolAmroth,Power,RES_Hydro_Large,Power,Production,PJ,Gondor_globalLimit_364,2025,157.81235670300677
DolAmroth,Power,RES_Hydro_Large,Power,Production,PJ,Gondor_globalLimit_364,2030,145.88239954049087
DolAmroth,Power,RES_Hydro_Large,Power,Production,PJ,Gondor_globalLimit_364,2035,100.06490591338105
DolAmroth,Power,RES_Hydro_Large,Power,Production,PJ,Gondor_globalLimit_364,2040,98.25748570684047
DolAmroth,Power,RES_Hydro_Large,Power,Production,PJ,Gondor_globalLimit_364,2045,57.756978317052514
DolAmroth,Power,RES_Hydro_Large,Power,Production,PJ,Gondor_globalLimit_364,2050,57.75697831705255
DolAmroth,Power,RES_Hydro_Small,Power,Production,PJ,Gondor_globalLimit_364,2018,67.00590772312084
DolAmroth,Power,RES_Hydro_Small,Power,Production,PJ,Gondor_globalLimit_364,2025,81.36724514911094
DolAmroth,Power,RES_Hydro_Small,Power,Production,PJ,Gondor_globalLimit_364,2030,72.02878514322246
DolAmroth,Power,RES_Hydro_Small,Power,Production,PJ,Gondor_globalLimit_364,2035,72.02878514322246
DolAmroth,Power,RES_Hydro_Small,Power,Production,PJ,Gondor_globalLimit_364,2040,72.02878514322246
DolAmroth,Power,RES_Hydro_Small,Power,Production,PJ,Gondor_globalLimit_364,2045,72.02878514322246
DolAmroth,Power,RES_Hydro_Small,Power,Production,PJ,Gondor_globalLimit_364,2050,72.02878514322246
DolAmroth,Power,RES_PV_Rooftop_Commercial,Power,Production,PJ,Gondor_globalLimit_364,2050,14.827425900858179
DolAmroth,Power,RES_PV_Utility_Avg,Power,Production,PJ,Gondor_globalLimit_364,2018,5.973027015265273
DolAmroth,Power,RES_PV_Utility_Avg,Power,Production,PJ,Gondor_globalLimit_364,2025,5.664978780269335
DolAmroth,Power,RES_PV_Utility_Avg,Power,Production,PJ,Gondor_globalLimit_364,2030,17.94671539995068
DolAmroth,Power,RES_PV_Utility_Avg,Power,Production,PJ,Gondor_globalLimit_364,2035,54.81532115885541
DolAmroth,Power,RES_PV_Utility_Avg,Power,Production,PJ,Gondor_globalLimit_364,2040,57.30477026019034
DolAmroth,Power,RES_PV_Utility_Avg,Power,Production,PJ,Gondor_globalLimit_364,2045,76.4177963883934
DolAmroth,Power,RES_PV_Utility_Avg,Power,Production,PJ,Gondor_globalLimit_364,2050,76.4177963883934
DolAmroth,Power,RES_PV_Utility_Inf,Power,Production,PJ,Gondor_globalLimit_364,2035,10.305855704433833
DolAmroth,Power,RES_PV_Utility_Inf,Power,Production,PJ,Gondor_globalLimit_364,2040,50.52358424296264
DolAmroth,Power,RES_PV_Utility_Inf,Power,Production,PJ,Gondor_globalLimit_364,2045,50.52358424296264
DolAmroth,Power,RES_PV_Utility_Inf,Power,Production,PJ,Gondor_globalLimit_364,2050,62.932271802458374
DolAmroth,Power,RES_PV_Utility_Opt,Power,Production,PJ,Gondor_globalLimit_364,2025,38.69481248984835
DolAmroth,Power,RES_PV_Utility_Opt,Power,Production,PJ,Gondor_globalLimit_364,2030,83.64647297701255
DolAmroth,Power,RES_PV_Utility_Opt,Power,Production,PJ,Gondor_globalLimit_364,2035,78.39368786987578
DolAmroth,Power,RES_PV_Utility_Opt,Power,Production,PJ,Gondor_globalLimit_364,2040,89.9033209743284
DolAmroth,Power,RES_PV_Utility_Opt,Power,Production,PJ,Gondor_globalLimit_364,2045,89.9033209743284
DolAmroth,Power,RES_PV_Utility_Opt,Power,Production,PJ,Gondor_globalLimit_364,2050,89.9033209743284
DolAmroth,Power,RES_Wind_Onshore_Avg,Power,Production,PJ,Gondor_globalLimit_364,2018,17.170634351683418
DolAmroth,Power,RES_Wind_Onshore_Avg,Power,Production,PJ,Gondor_globalLimit_364,2025,13.793314870274338
DolAmroth,Power,RES_Wind_Onshore_Avg,Power,Production,PJ,Gondor_globalLimit_364,2030,9.462214001008164
DolAmroth,Power,RES_Wind_Onshore_Avg,Power,Production,PJ,Gondor_globalLimit_364,2035,6.745131511594861
DolAmroth,Power,RES_Wind_Onshore_Avg,Power,Production,PJ,Gondor_globalLimit_364,2040,4.626186692818369
DolAmroth,Power,RES_Wind_Onshore_Avg,Power,Production,PJ,Gondor_globalLimit_364,2045,4.626186692818369
DolAmroth,Power,RES_Wind_Onshore_Avg,Power,Production,PJ,Gondor_globalLimit_364,2050,4.626186692818369
DolAmroth,Power,RES_Wind_Onshore_Opt,Power,Production,PJ,Gondor_globalLimit_364,2040,39.26251234918381
DolAmroth,Power,RES_Wind_Onshore_Opt,Power,Production,PJ,Gondor_globalLimit_364,2045,118.80904372214701
DolAmroth,Power,RES_Wind_Onshore_Opt,Power,Production,PJ,Gondor_globalLimit_364,2050,127.41720341861452
Gondor,Power,P_Coal_Hardcoal,Power,Production,PJ,Gondor_globalLimit_364,2018,192.72071782861195
Gondor,Power,P_Coal_Hardcoal,Power,Production,PJ,Gondor_globalLimit_364,2025,128.8985849033143
Gondor,Power,P_Coal_Hardcoal,Power,Production,PJ,Gondor_globalLimit_364,2030,89.85843332022858
Gondor,Power,P_Coal_Hardcoal,Power,Production,PJ,Gondor_globalLimit_364,2035,63.591864652800005
Gondor,Power,P_Coal_Hardcoal,Power,Production,PJ,Gondor_globalLimit_364,2040,53.77325571289144
Gondor,Power,P_Coal_Lignite,Power,Production,PJ,Gondor_globalLimit_364,2018,235.52693453358904
Gondor,Power,P_Coal_Lignite,Power,Production,PJ,Gondor_globalLimit_364,2025,127.81093386806126
Gondor,Power,P_Coal_Lignite,Power,Production,PJ,Gondor_globalLimit_364,2030,67.52348480365713
Gondor,Power,P_Gas_CCGT,Power,Production,PJ,Gondor_globalLimit_364,2025,281.5286003382512
Gondor,Power,P_Gas_CCGT,Power,Production,PJ,Gondor_globalLimit_364,2030,548.9940609404262
Gondor,Power,P_Gas_CCGT,Power,Production,PJ,Gondor_globalLimit_364,2035,739.4868459990205
Gondor,Power,P_Gas_CCGT,Power,Production,PJ,Gondor_globalLimit_364,2040,689.4012898102201
Gondor,Power,P_Gas_CCGT,Power,Production,PJ,Gondor_globalLimit_364,2045,269.4938228352793
Gondor,Power,P_Gas_CCGT,Power,Production,PJ,Gondor_globalLimit_364,2050,158.91582656726342
Gondor,Power,P_Nuclear,Power,Production,PJ,Gondor_globalLimit_364,2018,239.35824000000002
Gondor,Power,RES_Hydro_Large,Power,Production,PJ,Gondor_globalLimit_364,2018,155.88061572945153
Gondor,Power,RES_Hydro_Large,Power,Production,PJ,Gondor_globalLimit_364,2025,317.88834601125893
Gondor,Power,RES_Hydro_Large,Power,Production,PJ,Gondor_globalLimit_364,2030,302.86467993600013
Gondor,Power,RES_Hydro_Large,Power,Production,PJ,Gondor_globalLimit_364,2035,207.74353724467204
Gondor,Power,RES_Hydro_Large,Power,Production,PJ,Gondor_globalLimit_364,2040,173.2441335915782
Gondor,Power,RES_Hydro_Large,Power,Production,PJ,Gondor_globalLimit_364,2045,101.83506727680002
Gondor,Power,RES_Hydro_Large,Power,Production,PJ,Gondor_globalLimit_364,2050,101.83506727680002
Gondor,Power,RES_Hydro_Small,Power,Production,PJ,Gondor_globalLimit_364,2018,82.538523010343
Gondor,Power,RES_Hydro_Small,Power,Production,PJ,Gondor_globalLimit_364,2025,115.89289230628546
Gondor,Power,RES_Hydro_Small,Power,Production,PJ,Gondor_globalLimit_364,2030,98.32296127783854
Gondor,Power,RES_Hydro_Small,Power,Production,PJ,Gondor_globalLimit_364,2035,98.32296127783854
Gondor,Power,RES_Hydro_Small,Power,Production,PJ,Gondor_globalLimit_364,2040,98.32296127783854
Gondor,Power,RES_Hydro_Small,Power,Production,PJ,Gondor_globalLimit_364,2045,115.89289230628546
Gondor,Power,RES_Hydro_Small,Power,Production,PJ,Gondor_globalLimit_364,2050,115.89289230628546
Gondor,Power,RES_PV_Utility_Avg,Power,Production,PJ,Gondor_globalLimit_364,2018,228.70587116610514
Gondor,Power,RES_PV_Utility_Avg,Power,Production,PJ,Gondor_globalLimit_364,2025,221.1011366238501
Gondor,Power,RES_PV_Utility_Avg,Power,Production,PJ,Gondor_globalLimit_364,2030,214.07936060734343
Gondor,Power,RES_PV_Utility_Avg,Power,Production,PJ,Gondor_globalLimit_364,2035,356.3895045067408
Gondor,Power,RES_PV_Utility_Avg,Power,Production,PJ,Gondor_globalLimit_364,2040,454.0544906781258
Gondor,Power,RES_PV_Utility_Avg,Power,Production,PJ,Gondor_globalLimit_364,2045,454.0544906781258
Gondor,Power,RES_PV_Utility_Avg,Power,Production,PJ,Gondor_globalLimit_364,2050,454.0544906781258
Gondor,Power,RES_PV_Utility_Inf,Power,Production,PJ,Gondor_globalLimit_364,2035,43.21819674492007
Gondor,Power,RES_PV_Utility_Inf,Power,Production,PJ,Gondor_globalLimit_364,2040,221.8466830255424
Gondor,Power,RES_PV_Utility_Inf,Power,Production,PJ,Gondor_globalLimit_364,2045,373.92702280345907
Gondor,Power,RES_PV_Utility_Inf,Power,Production,PJ,Gondor_globalLimit_364,2050,373.92702280345907
Gondor,Power,RES_PV_Utility_Opt,Power,Production,PJ,Gondor_globalLimit_364,2025,261.25370821763585
Gondor,Power,RES_PV_Utility_Opt,Power,Production,PJ,Gondor_globalLimit_364,2030,521.9283791121661
Gondor,Power,RES_PV_Utility_Opt,Power,Production,PJ,Gondor_globalLimit_364,2035,515.0169553107673
Gondor,Power,RES_PV_Utility_Opt,Power,Production,PJ,Gondor_globalLimit_364,2040,534.1819585527926
Gondor,Power,RES_PV_Utility_Opt,Power,Production,PJ,Gondor_globalLimit_364,2045,534.1819585527926
Gondor,Power,RES_PV_Utility_Opt,Power,Production,PJ,Gondor_globalLimit_364,2050,534.1819585527926
Gondor,Power,RES_Wind_Offshore_Deep,Power,Production,PJ,Gondor_globalLimit_364,2045,267.9449004296064
Gondor,Power,RES_Wind_Offshore_Deep,Power,Production,PJ,Gondor_globalLimit_364,2050,510.23324356864345
Gondor,Power,RES_Wind_Offshore_Shallow,Power,Production,PJ,Gondor_globalLimit_364,2040,184.035073045824
Gondor,Power,RES_Wind_Offshore_Shallow,Power,Production,PJ,Gondor_globalLimit_364,2045,401.1922527604992
Gondor,Power,RES_Wind_Offshore_Shallow,Power,Production,PJ,Gondor_globalLimit_364,2050,401.1922527604992
Gondor,Power,RES_Wind_Offshore_Transitional,Power,Production,PJ,Gondor_globalLimit_364,2018,61.56777202498138
Gondor,Power,RES_Wind_Offshore_Transitional,Power,Production,PJ,Gondor_globalLimit_364,2025,61.56777202498138
Gondor,Power,RES_Wind_Offshore_Transitional,Power,Production,PJ,Gondor_globalLimit_364,2030,57.88402981665226
Gondor,Power,RES_Wind_Offshore_Transitional,Power,Production,PJ,Gondor_globalLimit_364,2035,278.02689799419943
Gondor,Power,RES_Wind_Offshore_Transitional,Power,Production,PJ,Gondor_globalLimit_364,2040,452.466837478656
Gondor,Power,RES_Wind_Offshore_Transitional,Power,Production,PJ,Gondor_globalLimit_364,2045,487.52872293565434
Gondor,Power,RES_Wind_Offshore_Transitional,Power,Production,PJ,Gondor_globalLimit_364,2050,487.52872293565434
Gondor,Power,RES_Wind_Onshore_Avg,Power,Production,PJ,Gondor_globalLimit_364,2018,303.0544537620802
Gondor,Power,RES_Wind_Onshore_Avg,Power,Production,PJ,Gondor_globalLimit_364,2025,235.24274674471548
Gondor,Power,RES_Wind_Onshore_Avg,Power,Production,PJ,Gondor_globalLimit_364,2030,161.3765242668737
Gondor,Power,RES_Wind_Onshore_Avg,Power,Production,PJ,Gondor_globalLimit_364,2035,110.69276875248481
Gondor,Power,RES_Wind_Onshore_Avg,Power,Production,PJ,Gondor_globalLimit_364,2040,75.91926308830223
Gondor,Power,RES_Wind_Onshore_Avg,Power,Production,PJ,Gondor_globalLimit_364,2045,75.91926308830219
Gondor,Power,RES_Wind_Onshore_Avg,Power,Production,PJ,Gondor_globalLimit_364,2050,75.91926308830223
Rohan,Power,P_Coal_Hardcoal,Power,Production,PJ,Gondor_globalLimit_364,2018,45.59386579199999
Rohan,Power,P_Coal_Hardcoal,Power,Production,PJ,Gondor_globalLimit_364,2025,5.812053754500679
Rohan,Power,P_Coal_Hardcoal,Power,Production,PJ,Gondor_globalLimit_364,2030,17.087438038232
Rohan,Power,P_Coal_Hardcoal,Power,Production,PJ,Gondor_globalLimit_364,2035,1.4460268892776549
Rohan,Power,P_Coal_Hardcoal,Power,Production,PJ,Gondor_globalLimit_364,2040,0.07352806944241069
Rohan,Power,P_Gas_CCGT,Power,Production,PJ,Gondor_globalLimit_364,2025,177.27705615840287
Rohan,Power,P_Gas_CCGT,Power,Production,PJ,Gondor_globalLimit_364,2030,274.8954876414954
Rohan,Power,P_Gas_CCGT,Power,Production,PJ,Gondor_globalLimit_364,2035,702.0555841346322
Rohan,Power,P_Gas_CCGT,Power,Production,PJ,Gondor_globalLimit_364,2040,617.1307213668202
Rohan,Power,P_Gas_CCGT,Power,Production,PJ,Gondor_globalLimit_364,2045,47.74184836044259
Rohan,Power,P_Gas_CCGT,Power,Production,PJ,Gondor_globalLimit_364,2050,34.148573877307726
Rohan,Power,P_Nuclear,Power,Production,PJ,Gondor_globalLimit_364,2018,1367.7059528044513
Rohan,Power,P_Nuclear,Power,Production,PJ,Gondor_globalLimit_364,2025,1505.1482170443437
Rohan,Power,P_Nuclear,Power,Production,PJ,Gondor_globalLimit_364,2030,1061.2376539153793
Rohan,Power,P_Nuclear,Power,Production,PJ,Gondor_globalLimit_364,2035,552.8047442364372
Rohan,Power,P_Nuclear,Power,Production,PJ,Gondor_globalLimit_364,2040,225.70066110636387
Rohan,Power,P_Nuclear,Power,Production,PJ,Gondor_globalLimit_364,2045,140.3370430097544
Rohan,Power,RES_Hydro_Large,Power,Production,PJ,Gondor_globalLimit_364,2018,123.07051405440002
Rohan,Power,RES_Hydro_Large,Power,Production,PJ,Gondor_globalLimit_364,2025,221.91947726566457
Rohan,Power,RES_Hydro_Large,Power,Production,PJ,Gondor_globalLimit_364,2030,221.91947726566457
Rohan,Power,RES_Hydro_Large,Power,Production,PJ,Gondor_globalLimit_364,2035,153.245050314048
Rohan,Power,RES_Hydro_Large,Power,Production,PJ,Gondor_globalLimit_364,2040,153.245050314048
Rohan,Power,RES_Hydro_Large,Power,Production,PJ,Gondor_globalLimit_364,2045,139.6863468
Rohan,Power,RES_Hydro_Large,Power,Production,PJ,Gondor_globalLimit_364,2050,139.6863468
Rohan,Power,RES_Hydro_Small,Power,Production,PJ,Gondor_globalLimit_364,2018,141.84499917664183
Rohan,Power,RES_Hydro_Small,Power,Production,PJ,Gondor_globalLimit_364,2025,117.39370754327037
Rohan,Power,RES_Hydro_Small,Power,Production,PJ,Gondor_globalLimit_364,2030,117.39370754327037
Rohan,Power,RES_Hydro_Small,Power,Production,PJ,Gondor_globalLimit_364,2035,94.88610132527877
Rohan,Power,RES_Hydro_Small,Power,Production,PJ,Gondor_globalLimit_364,2040,94.88610132527877
Rohan,Power,RES_Hydro_Small,Power,Production,PJ,Gondor_globalLimit_364,2045,94.88610132527877
Rohan,Power,RES_Hydro_Small,Power,Production,PJ,Gondor_globalLimit_364,2050,94.88610132527877
Rohan,Power,RES_PV_Utility_Avg,Power,Production,PJ,Gondor_globalLimit_364,2018,44.81069089272685
Rohan,Power,RES_PV_Utility_Avg,Power,Production,PJ,Gondor_globalLimit_364,2025,34.78381485001769
Rohan,Power,RES_PV_Utility_Avg,Power,Production,PJ,Gondor_globalLimit_364,2030,205.87048995500302
