Region,Technology,Fuel,Mode_of_operation,Year,Value,Variable
DolAmroth,A_Rooftop_Commercial,Area_Rooftop_Commercial,1,2018,0.0020720385298448685,Capex
Gondor,A_Rooftop_Commercial,Area_Rooftop_Commercial,1,2018,0.0020720385298448685,Capex
Rohan,A_Rooftop_Commercial,Area_Rooftop_Commercial,1,2018,0.0020720385298448685,Capex
Harad,A_Rooftop_Commercial,Area_Rooftop_Commercial,1,2018,0.0020720385298448685,Capex
Mordor,A_Rooftop_Commercial,Area_Rooftop_Commercial,1,2018,0.0020720385298448685,Capex
DolAmroth,A_Rooftop_Residential,Area_Rooftop_Residential,1,2018,0.0020720385298448685,Capex
Gondor,A_Rooftop_Residential,Area_Rooftop_Residential,1,2018,0.0020720385298448685,Capex
Rohan,A_Rooftop_Residential,Area_Rooftop_Residential,1,2018,0.0020720385298448685,Capex
Harad,A_Rooftop_Residential,Area_Rooftop_Residential,1,2018,0.0020720385298448685,Capex
Mordor,A_Rooftop_Residential,Area_Rooftop_Residential,1,2018,0.0020720385298448685,Capex
DolAmroth,RES_Grass,Biomass,1,2018,0.0017261921185486749,Capex
Gondor,RES_Grass,Biomass,1,2018,0.0017261921185486749,Capex
Rohan,RES_Grass,Biomass,1,2018,0.0017261921185486749,Capex
Harad,RES_Grass,Biomass,1,2018,0.0017261921185486749,Capex
Mordor,RES_Grass,Biomass,1,2018,0.0017261921185486749,Capex
DolAmroth,RES_Paper_Cardboard,Biomass,1,2018,0.0017261921185486749,Capex
Gondor,RES_Paper_Cardboard,Biomass,1,2018,0.0017261921185486749,Capex
Rohan,RES_Paper_Cardboard,Biomass,1,2018,0.0017261921185486749,Capex
Harad,RES_Paper_Cardboard,Biomass,1,2018,0.0017261921185486749,Capex
Mordor,RES_Paper_Cardboard,Biomass,1,2018,0.0017261921185486749,Capex
DolAmroth,RES_Residues,Biomass,1,2018,0.0017261921185486749,Capex
Gondor,RES_Residues,Biomass,1,2018,0.0017261921185486749,Capex
Rohan,RES_Residues,Biomass,1,2018,0.0017261921185486749,Capex
Harad,RES_Residues,Biomass,1,2018,0.0017261921185486749,Capex
Mordor,RES_Residues,Biomass,1,2018,0.0017261921185486749,Capex
DolAmroth,RES_Roundwood,Biomass,1,2018,0.0017261921185486749,Capex
Gondor,RES_Roundwood,Biomass,1,2018,0.0017261921185486749,Capex
Rohan,RES_Roundwood,Biomass,1,2018,0.0017261921185486749,Capex
Harad,RES_Roundwood,Biomass,1,2018,0.0017261921185486749,Capex
Mordor,RES_Roundwood,Biomass,1,2018,0.0017261921185486749,Capex
DolAmroth,RES_Wood,Biomass,1,2018,0.0017261921185486749,Capex
Gondor,RES_Wood,Biomass,1,2018,0.0017261921185486749,Capex
Rohan,RES_Wood,Biomass,1,2018,0.0017261921185486749,Capex
Harad,RES_Wood,Biomass,1,2018,0.0017261921185486749,Capex
Mordor,RES_Wood,Biomass,1,2018,0.0017261921185486749,Capex
