Region,Sector,Emission,Technology,Type,PathwayScenario,Year,Value
DolAmroth,Power,CO2,P_Coal_Hardcoal,Emissions,Gondor_globalLimit_364,2018,2.01618790672984
DolAmroth,Power,CO2,P_Gas_CCGT,Emissions,Gondor_globalLimit_364,2035,4.371467372412319
DolAmroth,Power,CO2,P_Gas_CCGT,Emissions,Gondor_globalLimit_364,2040,4.028649879796543
DolAmroth,Power,CO2,P_Gas_CCGT,Emissions,Gondor_globalLimit_364,2045,1.6896795994058271
DolAmroth,Power,CO2,P_Gas_CCGT,Emissions,Gondor_globalLimit_364,2050,1.406940513338274
Gondor,Power,CO2,P_Coal_Hardcoal,Emissions,Gondor_globalLimit_364,2018,40.21438978288226
Gondor,Power,CO2,P_Coal_Hardcoal,Emissions,Gondor_globalLimit_364,2025,25.622303985749248
Gondor,Power,CO2,P_Coal_Hardcoal,Emissions,Gondor_globalLimit_364,2030,17.429317669325176
Gondor,Power,CO2,P_Coal_Hardcoal,Emissions,Gondor_globalLimit_364,2035,12.290538112770811
Gondor,Power,CO2,P_Coal_Hardcoal,Emissions,Gondor_globalLimit_364,2040,10.147407080257832
Gondor,Power,CO2,P_Coal_Lignite,Emissions,Gondor_globalLimit_364,2018,62.1342484448657
Gondor,Power,CO2,P_Coal_Lignite,Emissions,Gondor_globalLimit_364,2025,30.62743728057236
Gondor,Power,CO2,P_Coal_Lignite,Emissions,Gondor_globalLimit_364,2030,15.780560330657282
Gondor,Power,CO2,P_Gas_CCGT,Emissions,Gondor_globalLimit_364,2025,25.752944091879908
Gondor,Power,CO2,P_Gas_CCGT,Emissions,Gondor_globalLimit_364,2030,49.4094654905675
Gondor,Power,CO2,P_Gas_CCGT,Emissions,Gondor_globalLimit_364,2035,66.5538161478983
Gondor,Power,CO2,P_Gas_CCGT,Emissions,Gondor_globalLimit_364,2040,62.046116090365345
Gondor,Power,CO2,P_Gas_CCGT,Emissions,Gondor_globalLimit_364,2045,24.060408502733736
Rohan,Power,CO2,P_Coal_Hardcoal,Emissions,Gondor_globalLimit_364,2018,9.513919994312605
Rohan,Power,CO2,P_Coal_Hardcoal,Emissions,Gondor_globalLimit_364,2025,1.1553129787346688
Rohan,Power,CO2,P_Coal_Hardcoal,Emissions,Gondor_globalLimit_364,2030,3.3143509709534573
Rohan,Power,CO2,P_Coal_Hardcoal,Emissions,Gondor_globalLimit_364,2035,0.2794767647055605
Rohan,Power,CO2,P_Coal_Hardcoal,Emissions,Gondor_globalLimit_364,2040,0.01387528507556472
Rohan,Power,CO2,P_Gas_CCGT,Emissions,Gondor_globalLimit_364,2025,16.216491363702147
Rohan,Power,CO2,P_Gas_CCGT,Emissions,Gondor_globalLimit_364,2030,24.740593890703455
Rohan,Power,CO2,P_Gas_CCGT,Emissions,Gondor_globalLimit_364,2035,63.18500257969911
Rohan,Power,CO2,P_Gas_CCGT,Emissions,Gondor_globalLimit_364,2040,55.54176492967884
Rohan,Power,CO2,P_Gas_CCGT,Emissions,Gondor_globalLimit_364,2045,4.262392221620315
Harad,Power,CO2,P_Coal_Hardcoal,Emissions,Gondor_globalLimit_364,2018,39.58962599351334
Harad,Power,CO2,P_Coal_Hardcoal,Emissions,Gondor_globalLimit_364,2025,19.035492258544103
