Type,Sector,Region,Fuel,Year,Value
Final Energy Demand [TWh],Power,DolAmroth,Hardcoal,2018,5.964347138592594
Final Energy Demand [TWh],Power,DolAmroth,Gas_Natural,2035,21.76158588417124
Final Energy Demand [TWh],Power,DolAmroth,Gas_Natural,2040,20.055007366569804
Final Energy Demand [TWh],Power,DolAmroth,Gas_Natural,2045,8.411387890311763
Final Energy Demand [TWh],Power,DolAmroth,Gas_Natural,2050,7.003885470620639
Final Energy Demand [TWh],Power,DolAmroth,Gas_Synth,2045,0.03520134926805816
Final Energy Demand [TWh],Power,Gondor,Hardcoal,2018,118.9634060551481
Final Energy Demand [TWh],Power,Gondor,Hardcoal,2025,75.79666307463394
Final Energy Demand [TWh],Power,Gondor,Hardcoal,2030,51.55992684098087
Final Energy Demand [TWh],Power,Gondor,Hardcoal,2035,36.35823604535206
Final Energy Demand [TWh],Power,Gondor,Hardcoal,2040,30.018361969760484
Final Energy Demand [TWh],Power,Gondor,Gas_Natural,2025,128.20063765372316
Final Energy Demand [TWh],Power,Gondor,Gas_Natural,2030,245.96508109601498
Final Energy Demand [TWh],Power,Gondor,Gas_Natural,2035,331.31131097121823
Final Energy Demand [TWh],Power,Gondor,Gas_Natural,2040,308.8715456509625
Final Energy Demand [TWh],Power,Gondor,Gas_Natural,2045,119.77503237123523
Final Energy Demand [TWh],Power,Gondor,Nuclear,2018,179.69837839814522
Final Energy Demand [TWh],Power,Gondor,Lignite,2018,155.77178210204997
Final Energy Demand [TWh],Power,Gondor,Lignite,2025,76.78358724571892
Final Energy Demand [TWh],Power,Gondor,Lignite,2030,39.56217491640915
Final Energy Demand [TWh],Power,Gondor,Gas_Synth,2050,70.06870658600944
Final Energy Demand [TWh],Power,Rohan,Hardcoal,2018,28.14436159718557
Final Energy Demand [TWh],Power,Rohan,Hardcoal,2025,3.417681276578715
Final Energy Demand [TWh],Power,Rohan,Hardcoal,2030,9.80461179432451
Final Energy Demand [TWh],Power,Rohan,Hardcoal,2035,0.826756492443381
Final Energy Demand [TWh],Power,Rohan,Hardcoal,2040,0.04104628172868512
Final Energy Demand [TWh],Power,Rohan,Gas_Natural,2025,80.72725688820263
Final Energy Demand [TWh],Power,Rohan,Gas_Natural,2030,123.16106078605864
Final Energy Demand [TWh],Power,Rohan,Gas_Natural,2035,314.5410323561286
Final Energy Demand [TWh],Power,Rohan,Gas_Natural,2040,276.49225871006985
Final Energy Demand [TWh],Power,Rohan,Gas_Natural,2045,21.218599271307816
Final Energy Demand [TWh],Power,Rohan,Nuclear,2018,1026.806270987161
Final Energy Demand [TWh],Power,Rohan,Nuclear,2025,1108.2881493208656
Final Energy Demand [TWh],Power,Rohan,Nuclear,2030,767.9059429927555
Final Energy Demand [TWh],Power,Rohan,Nuclear,2035,378.56470006575904
Final Energy Demand [TWh],Power,Rohan,Nuclear,2040,146.68146482294023
Final Energy Demand [TWh],Power,Rohan,Nuclear,2045,90.83796612997422
Final Energy Demand [TWh],Power,Rohan,Gas_Synth,2050,15.056690419232584
Final Energy Demand [TWh],Power,Harad,Hardcoal,2018,117.11521119841835
Final Energy Demand [TWh],Power,Harad,Hardcoal,2025,56.3113603672468
Final Energy Demand [TWh],Power,Harad,Hardcoal,2030,50.36112874797633
Final Energy Demand [TWh],Power,Harad,Hardcoal,2035,50.13172008770625
Final Energy Demand [TWh],Power,Harad,Hardcoal,2040,38.03068960866685
Final Energy Demand [TWh],Power,Harad,Gas_Natural,2025,90.83506728324876
Final Energy Demand [TWh],Power,Harad,Gas_Natural,2030,124.1680564467996
Final Energy Demand [TWh],Power,Harad,Gas_Natural,2035,155.33303914392903
Final Energy Demand [TWh],Power,Harad,Gas_Natural,2040,183.261123714218
Final Energy Demand [TWh],Power,Harad,Gas_Natural,2045,146.03117212994937
Final Energy Demand [TWh],Power,Harad,Gas_Synth,2040,6.513765558162884
Final Energy Demand [TWh],Power,Harad,Gas_Synth,2045,7.37007443325206
Final Energy Demand [TWh],Power,Harad,Gas_Synth,2050,143.87042402190355
Final Energy Demand [TWh],Power,Mordor,Hardcoal,2018,275.8019325195243
Final Energy Demand [TWh],Power,Mordor,Hardcoal,2025,104.02247810375592
Final Energy Demand [TWh],Power,Mordor,Hardcoal,2030,49.685477184695856
Final Energy Demand [TWh],Power,Mordor,Hardcoal,2035,31.402460408444604
Final Energy Demand [TWh],Power,Mordor,Hardcoal,2040,28.527600257343124
Final Energy Demand [TWh],Power,Mordor,Gas_Natural,2025,47.16267000614733
Final Energy Demand [TWh],Power,Mordor,Gas_Natural,2030,123.28813605616975
Final Energy Demand [TWh],Power,Mordor,Gas_Natural,2035,174.3386477600847
Final Energy Demand [TWh],Power,Mordor,Gas_Natural,2040,177.70052637886997
Final Energy Demand [TWh],Power,Mordor,Gas_Natural,2045,62.498073131827326
Final Energy Demand [TWh],Power,Mordor,Gas_Natural,2050,29.797365299793533
Final Energy Demand [TWh],Power,Mordor,Nuclear,2018,40.23955719361554
Final Energy Demand [TWh],Power,Mordor,Nuclear,2025,24.356593360785816
Final Energy Demand [TWh],Power,Mordor,Nuclear,2030,15.956852970129
Final Energy Demand [TWh],Power,Mordor,Nuclear,2035,12.081203670356377
Final Energy Demand [TWh],Power,Mordor,Nuclear,2040,7.337772346035547
Final Energy Demand [TWh],Power,Mordor,Nuclear,2045,12.789540912283444
Final Energy Demand [TWh],Power,Mordor,Nuclear,2050,8.734615007317494
Final Energy Demand [TWh],Power,Mordor,Lignite,2018,34.91865578086371
Final Energy Demand [TWh],Power,Mordor,Lignite,2025,46.68620601822318
Final Energy Demand [TWh],Power,Mordor,Lignite,2030,18.128921241102397
Final Energy Demand [TWh],Power,Mordor,Gas_Synth,2045,7.066852962887533
Final Energy Demand [TWh],Power,Mordor,Gas_Synth,2050,33.03136323928621
Final Energy Demand [TWh],Industry,DolAmroth,Biomass,2018,4.679769480601377
Final Energy Demand [TWh],Industry,DolAmroth,Biomass,2025,18.097200573736263
Final Energy Demand [TWh],Industry,DolAmroth,Biomass,2030,23.07004502929163
Final Energy Demand [TWh],Industry,DolAmroth,Biomass,2035,23.938505436277183
Final Energy Demand [TWh],Industry,DolAmroth,Biomass,2040,22.340349467748357
Final Energy Demand [TWh],Industry,DolAmroth,Biomass,2045,25.878851735775786
Final Energy Demand [TWh],Industry,DolAmroth,Biomass,2050,24.226557868762466
