Type,Region,Dim1,Dim2,Year,Value
SelfSufficiencyRate,DolAmroth,X,X,2018,0.9502084413359491
SelfSufficiencyRate,Gondor,X,X,2018,1.0063538588425687
SelfSufficiencyRate,Rohan,X,X,2018,1.000000131949666
SelfSufficiencyRate,Harad,X,X,2018,0.9999999999999998
SelfSufficiencyRate,Mordor,X,X,2018,1.0000000000000002
SelfSufficiencyRate,DolAmroth,X,X,2025,1.0
SelfSufficiencyRate,Gondor,X,X,2025,0.9999999999999999
SelfSufficiencyRate,Rohan,X,X,2025,1.0000001123733486
SelfSufficiencyRate,Harad,X,X,2025,0.9999999999999999
SelfSufficiencyRate,Mordor,X,X,2025,1.0000000000000002
SelfSufficiencyRate,DolAmroth,X,X,2030,1.0000000000000002
SelfSufficiencyRate,Gondor,X,X,2030,0.9999999999999998
SelfSufficiencyRate,Rohan,X,X,2030,1.0000001060365404
SelfSufficiencyRate,Harad,X,X,2030,0.9999999999999999
SelfSufficiencyRate,Mordor,X,X,2030,1.0000000000000002
SelfSufficiencyRate,DolAmroth,X,X,2035,1.0008775403281513
SelfSufficiencyRate,Gondor,X,X,2035,0.9999999999999998
SelfSufficiencyRate,Rohan,X,X,2035,1.000000101972656
SelfSufficiencyRate,Harad,X,X,2035,0.9997462501964941
SelfSufficiencyRate,Mordor,X,X,2035,1.0
SelfSufficiencyRate,DolAmroth,X,X,2040,1.0211635606637242
SelfSufficiencyRate,Gondor,X,X,2040,0.9969417847584007
SelfSufficiencyRate,Rohan,X,X,2040,1.0000000896694876
SelfSufficiencyRate,Harad,X,X,2040,0.999804415601944
SelfSufficiencyRate,Mordor,X,X,2040,1.0
SelfSufficiencyRate,DolAmroth,X,X,2045,1.0012184515192564
SelfSufficiencyRate,Gondor,X,X,2045,0.9999999999999999
SelfSufficiencyRate,Rohan,X,X,2045,1.0000000704953222
SelfSufficiencyRate,Harad,X,X,2045,0.9996605274838326
SelfSufficiencyRate,Mordor,X,X,2045,1.0
SelfSufficiencyRate,DolAmroth,X,X,2050,1.0
SelfSufficiencyRate,Gondor,X,X,2050,1.0000000000000002
SelfSufficiencyRate,Rohan,X,X,2050,1.0000000667123872
SelfSufficiencyRate,Harad,X,X,2050,1.0
SelfSufficiencyRate,Mordor,X,X,2050,1.0
ElectrificationRate,Total,Industry,X,2018,0.007004100440393735
ElectrificationRate,Total,Buildings,X,2018,0.017542518117983106
ElectrificationRate,Total,Industry,X,2025,0.11403844651233888
ElectrificationRate,Total,Buildings,X,2025,0.10730090552485233
ElectrificationRate,Total,Transportation,X,2025,0.017473413027034538
ElectrificationRate,Total,Industry,X,2030,0.1382349907703197
ElectrificationRate,Total,Buildings,X,2030,0.13526780050411727
ElectrificationRate,Total,Transportation,X,2030,0.304484021593693
ElectrificationRate,Total,Industry,X,2035,0.17984680211259316
ElectrificationRate,Total,Buildings,X,2035,0.1593134698492415
ElectrificationRate,Total,Transportation,X,2035,0.5065594791569589
ElectrificationRate,Total,Industry,X,2040,0.24381921120981448
ElectrificationRate,Total,Buildings,X,2040,0.2857944447094452
ElectrificationRate,Total,Transportation,X,2040,0.6415954512918289
ElectrificationRate,Total,Industry,X,2045,0.3366138990478267
ElectrificationRate,Total,Buildings,X,2045,0.5563424246249866
ElectrificationRate,Total,Transportation,X,2045,0.5764727573616939
ElectrificationRate,Total,Industry,X,2050,0.339053608165866
ElectrificationRate,Total,Buildings,X,2050,0.5902003060410486
ElectrificationRate,Total,Transportation,X,2050,0.47034798345313195
FinalEnergyConsumption,DolAmroth,RES_PV_Rooftop_Commercial,Area_Rooftop_Commercial,2050,0.6829938946740987
FinalEnergyConsumption,DolAmroth,HLI_Biomass,Biomass,2018,4.679769480601377
