Region,Sector,Technology,Mode_of_operation,Fuel,Timeslice,Type,Unit,PathwayScenario,Year,Value
DolAmroth,Power,P_Coal_Hardcoal,1,Power,8,Production,PJ,Gondor_globalLimit_364,2018,3.2207474551620754
DolAmroth,Power,P_Coal_Hardcoal,1,Power,1452,Production,PJ,Gondor_globalLimit_364,2018,3.2207474551620754
DolAmroth,Power,P_Coal_Hardcoal,1,Power,2896,Production,PJ,Gondor_globalLimit_364,2018,3.2207474551620754
DolAmroth,Power,P_Gas_CCGT,1,Power,4340,Production,PJ,Gondor_globalLimit_364,2035,5.980223856926189
DolAmroth,Power,P_Gas_CCGT,1,Power,4340,Production,PJ,Gondor_globalLimit_364,2040,9.512528493065606
DolAmroth,Power,P_Gas_CCGT,1,Power,5784,Production,PJ,Gondor_globalLimit_364,2035,24.304026939355964
DolAmroth,Power,P_Gas_CCGT,1,Power,5784,Production,PJ,Gondor_globalLimit_364,2040,25.61438818378151
DolAmroth,Power,P_Gas_CCGT,1,Power,5784,Production,PJ,Gondor_globalLimit_364,2045,18.925622753201466
DolAmroth,Power,P_Gas_CCGT,1,Power,5784,Production,PJ,Gondor_globalLimit_364,2050,15.884812250385725
DolAmroth,Power,P_Gas_CCGT,1,Power,7228,Production,PJ,Gondor_globalLimit_364,2035,11.209617148928679
DolAmroth,Power,P_Gas_CCGT,1,Power,7228,Production,PJ,Gondor_globalLimit_364,2040,9.52201651576658
DolAmroth,Power,P_Gas_CCGT,1,Power,8672,Production,PJ,Gondor_globalLimit_364,2035,7.077991742430747
DolAmroth,Power,P_Gas_CCGT,1,Power,8672,Production,PJ,Gondor_globalLimit_364,2040,0.11384324419857096
DolAmroth,Power,RES_Hydro_Large,1,Power,8,Production,PJ,Gondor_globalLimit_364,2018,12.13121081417143
DolAmroth,Power,RES_Hydro_Large,1,Power,8,Production,PJ,Gondor_globalLimit_364,2025,22.544622386143825
DolAmroth,Power,RES_Hydro_Large,1,Power,8,Production,PJ,Gondor_globalLimit_364,2030,10.614665223627899
DolAmroth,Power,RES_Hydro_Large,1,Power,8,Production,PJ,Gondor_globalLimit_364,2035,11.665950888265602
DolAmroth,Power,RES_Hydro_Large,1,Power,8,Production,PJ,Gondor_globalLimit_364,2040,9.858530681725016
DolAmroth,Power,RES_Hydro_Large,1,Power,8,Production,PJ,Gondor_globalLimit_364,2045,8.250996902436075
DolAmroth,Power,RES_Hydro_Large,1,Power,8,Production,PJ,Gondor_globalLimit_364,2050,8.250996902436077
DolAmroth,Power,RES_Hydro_Large,1,Power,1452,Production,PJ,Gondor_globalLimit_364,2018,12.13121081417143
DolAmroth,Power,RES_Hydro_Large,1,Power,1452,Production,PJ,Gondor_globalLimit_364,2025,22.544622386143825
DolAmroth,Power,RES_Hydro_Large,1,Power,1452,Production,PJ,Gondor_globalLimit_364,2030,22.544622386143825
DolAmroth,Power,RES_Hydro_Large,1,Power,1452,Production,PJ,Gondor_globalLimit_364,2035,14.733159170852575
DolAmroth,Power,RES_Hydro_Large,1,Power,1452,Production,PJ,Gondor_globalLimit_364,2040,14.733159170852575
DolAmroth,Power,RES_Hydro_Large,1,Power,1452,Production,PJ,Gondor_globalLimit_364,2045,8.250996902436071
DolAmroth,Power,RES_Hydro_Large,1,Power,1452,Production,PJ,Gondor_globalLimit_364,2050,8.250996902436079
DolAmroth,Power,RES_Hydro_Large,1,Power,2896,Production,PJ,Gondor_globalLimit_364,2018,12.13121081417143
DolAmroth,Power,RES_Hydro_Large,1,Power,2896,Production,PJ,Gondor_globalLimit_364,2025,22.544622386143825
DolAmroth,Power,RES_Hydro_Large,1,Power,2896,Production,PJ,Gondor_globalLimit_364,2030,22.544622386143825
DolAmroth,Power,RES_Hydro_Large,1,Power,2896,Production,PJ,Gondor_globalLimit_364,2035,14.733159170852575
DolAmroth,Power,RES_Hydro_Large,1,Power,2896,Production,PJ,Gondor_globalLimit_364,2040,14.733159170852575
DolAmroth,Power,RES_Hydro_Large,1,Power,2896,Production,PJ,Gondor_globalLimit_364,2045,8.250996902436075
DolAmroth,Power,RES_Hydro_Large,1,Power,2896,Production,PJ,Gondor_globalLimit_364,2050,8.250996902436077
DolAmroth,Power,RES_Hydro_Large,1,Power,4340,Production,PJ,Gondor_globalLimit_364,2018,12.13121081417143
DolAmroth,Power,RES_Hydro_Large,1,Power,4340,Production,PJ,Gondor_globalLimit_364,2025,22.544622386143825
DolAmroth,Power,RES_Hydro_Large,1,Power,4340,Production,PJ,Gondor_globalLimit_364,2030,22.544622386143825
DolAmroth,Power,RES_Hydro_Large,1,Power,4340,Production,PJ,Gondor_globalLimit_364,2035,14.733159170852575
DolAmroth,Power,RES_Hydro_Large,1,Power,4340,Production,PJ,Gondor_globalLimit_364,2040,14.733159170852575
DolAmroth,Power,RES_Hydro_Large,1,Power,4340,Production,PJ,Gondor_globalLimit_364,2045,8.250996902436075
DolAmroth,Power,RES_Hydro_Large,1,Power,4340,Production,PJ,Gondor_globalLimit_364,2050,8.250996902436077
DolAmroth,Power,RES_Hydro_Large,1,Power,5784,Production,PJ,Gondor_globalLimit_364,2018,12.13121081417143
DolAmroth,Power,RES_Hydro_Large,1,Power,5784,Production,PJ,Gondor_globalLimit_364,2025,22.544622386143825
DolAmroth,Power,RES_Hydro_Large,1,Power,5784,Production,PJ,Gondor_globalLimit_364,2030,22.544622386143825
DolAmroth,Power,RES_Hydro_Large,1,Power,5784,Production,PJ,Gondor_globalLimit_364,2035,14.733159170852575
DolAmroth,Power,RES_Hydro_Large,1,Power,5784,Production,PJ,Gondor_globalLimit_364,2040,14.733159170852575
DolAmroth,Power,RES_Hydro_Large,1,Power,5784,Production,PJ,Gondor_globalLimit_364,2045,8.250996902436075
DolAmroth,Power,RES_Hydro_Large,1,Power,5784,Production,PJ,Gondor_globalLimit_364,2050,8.250996902436077
DolAmroth,Power,RES_Hydro_Large,1,Power,7228,Production,PJ,Gondor_globalLimit_364,2018,12.13121081417143
DolAmroth,Power,RES_Hydro_Large,1,Power,7228,Production,PJ,Gondor_globalLimit_364,2025,22.544622386143825
DolAmroth,Power,RES_Hydro_Large,1,Power,7228,Production,PJ,Gondor_globalLimit_364,2030,22.544622386143825
DolAmroth,Power,RES_Hydro_Large,1,Power,7228,Production,PJ,Gondor_globalLimit_364,2035,14.733159170852575
DolAmroth,Power,RES_Hydro_Large,1,Power,7228,Production,PJ,Gondor_globalLimit_364,2040,14.733159170852575
DolAmroth,Power,RES_Hydro_Large,1,Power,7228,Production,PJ,Gondor_globalLimit_364,2045,8.250996902436075
DolAmroth,Power,RES_Hydro_Large,1,Power,7228,Production,PJ,Gondor_globalLimit_364,2050,8.250996902436077
DolAmroth,Power,RES_Hydro_Large,1,Power,8672,Production,PJ,Gondor_globalLimit_364,2018,12.13121081417143
DolAmroth,Power,RES_Hydro_Large,1,Power,8672,Production,PJ,Gondor_globalLimit_364,2025,22.544622386143825
DolAmroth,Power,RES_Hydro_Large,1,Power,8672,Production,PJ,Gondor_globalLimit_364,2030,22.544622386143825
DolAmroth,Power,RES_Hydro_Large,1,Power,8672,Production,PJ,Gondor_globalLimit_364,2035,14.733159170852575
DolAmroth,Power,RES_Hydro_Large,1,Power,8672,Production,PJ,Gondor_globalLimit_364,2040,14.733159170852575
DolAmroth,Power,RES_Hydro_Large,1,Power,8672,Production,PJ,Gondor_globalLimit_364,2045,8.250996902436075
DolAmroth,Power,RES_Hydro_Large,1,Power,8672,Production,PJ,Gondor_globalLimit_364,2050,8.250996902436077
DolAmroth,Power,RES_Hydro_Small,1,Power,8,Production,PJ,Gondor_globalLimit_364,2018,9.338460005888477
DolAmroth,Power,RES_Hydro_Small,1,Power,8,Production,PJ,Gondor_globalLimit_364,2025,9.338460005888477
DolAmroth,Power,RES_Hydro_Small,1,Power,1452,Production,PJ,Gondor_globalLimit_364,2018,12.292180337647215
DolAmroth,Power,RES_Hydro_Small,1,Power,1452,Production,PJ,Gondor_globalLimit_364,2025,12.292180337647215
DolAmroth,Power,RES_Hydro_Small,1,Power,1452,Production,PJ,Gondor_globalLimit_364,2030,12.292180337647215
DolAmroth,Power,RES_Hydro_Small,1,Power,1452,Production,PJ,Gondor_globalLimit_364,2035,12.292180337647215
DolAmroth,Power,RES_Hydro_Small,1,Power,1452,Production,PJ,Gondor_globalLimit_364,2040,12.292180337647215
DolAmroth,Power,RES_Hydro_Small,1,Power,1452,Production,PJ,Gondor_globalLimit_364,2045,12.292180337647215
DolAmroth,Power,RES_Hydro_Small,1,Power,1452,Production,PJ,Gondor_globalLimit_364,2050,12.292180337647215
DolAmroth,Power,RES_Hydro_Small,1,Power,2896,Production,PJ,Gondor_globalLimit_364,2018,15.63659556114882
DolAmroth,Power,RES_Hydro_Small,1,Power,2896,Production,PJ,Gondor_globalLimit_364,2025,15.63659556114882
DolAmroth,Power,RES_Hydro_Small,1,Power,2896,Production,PJ,Gondor_globalLimit_364,2030,15.63659556114882
DolAmroth,Power,RES_Hydro_Small,1,Power,2896,Production,PJ,Gondor_globalLimit_364,2035,15.63659556114882
DolAmroth,Power,RES_Hydro_Small,1,Power,2896,Production,PJ,Gondor_globalLimit_364,2040,15.63659556114882
DolAmroth,Power,RES_Hydro_Small,1,Power,2896,Production,PJ,Gondor_globalLimit_364,2045,15.63659556114882
DolAmroth,Power,RES_Hydro_Small,1,Power,2896,Production,PJ,Gondor_globalLimit_364,2050,15.63659556114882
DolAmroth,Power,RES_Hydro_Small,1,Power,4340,Production,PJ,Gondor_globalLimit_364,2018,7.837019734246122
DolAmroth,Power,RES_Hydro_Small,1,Power,4340,Production,PJ,Gondor_globalLimit_364,2025,15.72558351227992
DolAmroth,Power,RES_Hydro_Small,1,Power,4340,Production,PJ,Gondor_globalLimit_364,2030,15.72558351227992
DolAmroth,Power,RES_Hydro_Small,1,Power,4340,Production,PJ,Gondor_globalLimit_364,2035,15.72558351227992
