Timestamp [UTC],1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
01/01/2050 00:00,5.02e-05,4.73e-05,8.8e-05,3.22e-05,4.31e-05,5.68e-05,3.25e-05,4.59e-05,4.23e-05,3.38e-05,5.97e-05,4.15e-05,3.36e-05,3.16e-05,2.46e-05,4.88e-05,4.14e-05,4.46e-05,3.65e-05,4.32e-05,5.03e-05,3.52e-05,5.8e-05,5.77e-05,3.45e-05,3.91e-05,5.53e-05,4e-05,3.84e-05,6.17e-05,4.9e-05,3.69e-05,8.07e-05,4.56e-05,3.37e-05,3.56e-05,3.96e-05,4.93e-05,7.73e-05
08/01/2050 00:00,5.4e-05,4.13e-05,3.61e-05,4.86e-05,4.68e-05,4.1e-05,4.74e-05,4.09e-05,3.75e-05,5.34e-05,6.25e-05,4.93e-05,6.4e-05,3.1e-05,3.63e-05,4.9e-05,4.4e-05,4.32e-05,3.95e-05,4.19e-05,5.86e-05,4.24e-05,6.05e-05,5.23e-05,8.52e-05,3.79e-05,5.95e-05,3.87e-05,4.96e-05,3.85e-05,3.4e-05,4.41e-05,3.9e-05,5.02e-05,3.44e-05,2.81e-05,2.73e-05,4.44e-05,4.33e-05
15/01/2050 00:00,3.1e-05,5.48e-05,4.54e-05,4.79e-05,4.09e-05,3.18e-05,5.49e-05,5.62e-05,3.43e-05,4.9e-05,5.13e-05,6.27e-05,5.08e-05,6.45e-05,4.26e-05,4.46e-05,5.87e-05,3.61e-05,4.22e-05,6.08e-05,3.89e-05,5.15e-05,3.63e-05,3.46e-05,4.19e-05,4.63e-05,3.19e-05,4.38e-05,4.92e-05,3e-05,5.31e-05,4.36e-05,3.26e-05,4.58e-05,3.93e-05,3.43e-05,4.19e-05,5.92e-05,9.52e-05
22/01/2050 00:00,4.53e-05,6.63e-05,3.04e-05,3.66e-05,4.31e-05,4.57e-05,5.51e-05,4.18e-05,2.55e-05,6.24e-05,3.9e-05,6.21e-05,5.62e-05,4.88e-05,3.68e-05,6.25e-05,2.95e-05,5.86e-05,5.85e-05,5.81e-05,4.89e-05,3.33e-05,6.5e-05,4.44e-05,5.77e-05,4.65e-05,4.08e-05,5.92e-05,5.26e-05,6.01e-05,4.79e-05,6.24e-05,4.42e-05,3.61e-05,3.27e-05,3.37e-05,2.77e-05,5.6e-05,3.32e-05
29/01/2050 00:00,3.45e-05,2.93e-05,5.94e-05,4.66e-05,4.08e-05,5.15e-05,4.55e-05,3.3e-05,3.61e-05,5.67e-05,4.14e-05,4.78e-05,2.88e-05,6.09e-05,3.89e-05,5.23e-05,3.43e-05,3.21e-05,5.84e-05,4.29e-05,3.23e-05,3.91e-05,4.27e-05,4.46e-05,3.37e-05,4.26e-05,5.85e-05,3.49e-05,3.94e-05,2.7e-05,4.09e-05,5.49e-05,4.04e-05,4.24e-05,3.18e-05,5.46e-05,2.23e-05,2.79e-05,3.39e-05
05/02/2050 00:00,4.82e-05,4.32e-05,4.46e-05,4.27e-05,8.8e-05,4.21e-05,6.16e-05,3.84e-05,3.47e-05,5.75e-05,4.53e-05,5.15e-05,4.08e-05,6.09e-05,3.97e-05,5.1e-05,4.42e-05,3.3e-05,5.58e-05,4.72e-05,3.69e-05,4.15e-05,2.98e-05,5.92e-05,3.98e-05,3.47e-05,4.65e-05,3.72e-05,5.2e-05,4.7e-05,4.14e-05,5.84e-05,6.23e-05,5.56e-05,2.98e-05,3.34e-05,2.65e-05,4.88e-05,3.28e-05
12/02/2050 00:00,4.13e-05,5.75e-05,3.63e-05,6.4e-05,5.77e-05,6.11e-05,4.06e-05,4.86e-05,3.89e-05,3.89e-05,0.000101122,5.55e-05,4.22e-05,3e-05,4.62e-05,2.46e-05,2.99e-05,4.06e-05,4.46e-05,8.01e-05,4.46e-05,5.46e-05,2.72e-05,6.1e-05,4.52e-05,4.96e-05,2.87e-05,4.14e-05,5.16e-05,5.07e-05,3.53e-05,4.37e-05,4.02e-05,4.56e-05,4.02e-05,4e-05,3.98e-05,4.07e-05,3.26e-05
19/02/2050 00:00,5.87e-05,3.75e-05,4.78e-05,3.69e-05,3.49e-05,3.36e-05,4.71e-05,2.72e-05,4.59e-05,3.36e-05,6.11e-05,3.49e-05,5.69e-05,4.62e-05,3.21e-05,3.81e-05,4.76e-05,3.45e-05,4.49e-05,4.56e-05,4.22e-05,4.34e-05,2.6e-05,2.62e-05,4.78e-05,4.64e-05,4.81e-05,6.03e-05,3.92e-05,3.56e-05,4.04e-05,5.09e-05,3.37e-05,5.71e-05,3.74e-05,4.5e-05,3.63e-05,4.42e-05,4.91e-05
26/02/2050 00:00,4.24e-05,3.34e-05,3.55e-05,3.86e-05,4.24e-05,4.73e-05,2.77e-05,4.58e-05,3.44e-05,2.69e-05,9.24e-05,4.17e-05,3.87e-05,3.82e-05,3.28e-05,3.77e-05,4.18e-05,4.35e-05,3.18e-05,3.86e-05,3.47e-05,3.21e-05,4.61e-05,3.84e-05,3.61e-05,4.44e-05,5.5e-05,3.6e-05,3.88e-05,3.4e-05,4.41e-05,5.99e-05,5.6e-05,3.08e-05,3.32e-05,4.51e-05,3.36e-05,2.07e-05,4.04e-05
05/03/2050 00:00,3.21e-05,3.02e-05,4.06e-05,6.01e-05,5.37e-05,4.5e-05,5.15e-05,4.96e-05,3.39e-05,2.84e-05,5.74e-05,4.53e-05,3.6e-05,5.92e-05,3.09e-05,3.51e-05,6.13e-05,3.64e-05,3.75e-05,3.92e-05,2.93e-05,2.82e-05,6.02e-05,4.42e-05,3.83e-05,2.77e-05,4.08e-05,3.58e-05,2.54e-05,4.62e-05,4.58e-05,4.15e-05,4.9e-05,4.45e-05,6.32e-05,6.27e-05,2.95e-05,2.35e-05,3.68e-05
