Timestamp [UTC],1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
01/01/2050 00:00,3.55e-06,3.34e-06,2.85e-06,6.34e-06,4.49e-06,3.43e-06,2.99e-06,3.2e-06,4.23e-06,4.98e-06,4.65e-06,4.63e-06,5.99e-06,5.37e-06,4.43e-06,4.22e-06,2.98e-06,3.41e-06,5.25e-06,4.22e-06,5.74e-06,4.99e-06,4.64e-06,2.7e-06,3.87e-06,6.22e-06,3.8e-06,6.27e-06,6.19e-06,4.27e-06,3.38e-06,3.67e-06,5.79e-06,3.96e-06,6.22e-06,5.54e-06,3.83e-06,5.11e-06,5.33e-06
08/01/2050 00:00,3.58e-06,3.67e-06,2.58e-06,5.73e-06,4.34e-06,2.84e-06,3.28e-06,1.2e-06,4.24e-06,5.35e-06,4.58e-06,3.9e-06,5.55e-06,5.72e-06,4.35e-06,5.02e-06,3.26e-06,3.41e-06,4.78e-06,4.19e-06,5.61e-06,4.97e-06,5e-06,2.73e-06,4.08e-06,6.06e-06,4.1e-06,6.22e-06,6.53e-06,3.87e-06,2.48e-06,3.16e-06,5.37e-06,3.43e-06,3.66e-06,5.04e-06,3.92e-06,5.04e-06,3.7e-06
15/01/2050 00:00,3.36e-06,3.05e-06,2.94e-06,4.88e-06,3.18e-06,3.74e-06,3.59e-06,2.74e-06,4.97e-06,5.12e-06,4.27e-06,4.69e-06,5.33e-06,5.44e-06,3.66e-06,5.53e-06,3.51e-06,3.7e-06,4.15e-06,2.48e-06,3.81e-06,4.38e-06,4.55e-06,3.71e-06,3.55e-06,4.96e-06,4.63e-06,6.15e-06,6.2e-06,4.95e-06,3.46e-06,3.08e-06,5.3e-06,3.11e-06,3.3e-06,3.67e-06,3.21e-06,5.24e-06,4.52e-06
22/01/2050 00:00,2.97e-06,3.38e-06,3.36e-06,3.55e-06,3.28e-06,3.1e-06,2.92e-06,2.87e-06,4.98e-06,4.84e-06,4.63e-06,4.46e-06,5.75e-06,3.68e-06,3.59e-06,4.46e-06,2.95e-06,3.55e-06,3.68e-06,3.53e-06,4.7e-06,5.85e-06,4.18e-06,2.86e-06,4.2e-06,4.27e-06,2.73e-06,3.94e-06,5.81e-06,3.95e-06,3.7e-06,3.04e-06,4.13e-06,2.94e-06,4.43e-06,4.74e-06,4.22e-06,5.82e-06,4.69e-06
29/01/2050 00:00,2.98e-06,3.64e-06,3.26e-06,3.62e-06,3.65e-06,2.87e-06,2.92e-06,2.91e-06,4.62e-06,5.1e-06,4.93e-06,3.57e-06,6.02e-06,4.6e-06,2.9e-06,4.26e-06,3.03e-06,3.86e-06,3.91e-06,3.46e-06,4.12e-06,3.47e-06,3.2e-06,2.84e-06,3.89e-06,4.99e-06,3.95e-06,4.61e-06,5.64e-06,4.44e-06,3.22e-06,3.5e-06,3.38e-06,3.24e-06,5e-06,4.22e-06,4.37e-06,4.86e-06,4.38e-06
05/02/2050 00:00,2.58e-06,3.27e-06,3.03e-06,3.56e-06,3.21e-06,2.84e-06,2.74e-06,3.52e-06,5.32e-06,5e-06,5.07e-06,3.35e-06,5.55e-06,5.12e-06,2.88e-06,4.08e-06,2.92e-06,3.79e-06,3.64e-06,3.06e-06,5.06e-06,4.24e-06,4.92e-06,1.31e-06,3.52e-06,4.99e-06,4.22e-06,3.41e-06,5.21e-06,3.27e-06,2.96e-06,3.45e-06,4.11e-06,3.11e-06,5.09e-06,5.6e-06,4.66e-06,3.72e-06,3.36e-06
12/02/2050 00:00,3.1e-06,2.92e-06,3.08e-06,3.63e-06,3.34e-06,3e-06,2.99e-06,2.95e-06,4.29e-06,5.34e-06,5.78e-06,3.4e-06,5.06e-06,4.96e-06,2.82e-06,5.35e-06,3.09e-06,3.73e-06,5.17e-06,3.35e-06,4.63e-06,2.91e-06,4.26e-06,3.22e-06,3.73e-06,4.32e-06,3.52e-06,3.5e-06,6.18e-06,3.54e-06,3.36e-06,2.81e-06,3.94e-06,3.06e-06,4.95e-06,5.16e-06,4.01e-06,3.95e-06,3.45e-06
19/02/2050 00:00,3.08e-06,3.09e-06,3.17e-06,4.28e-06,3.44e-06,2.07e-06,2.6e-06,2.82e-06,4.41e-06,5.28e-06,5.09e-06,3.59e-06,5.06e-06,3.85e-06,3.04e-06,5.07e-06,2.94e-06,3.85e-06,5.39e-06,3.35e-06,4.39e-06,3.45e-06,3.75e-06,3.21e-06,3.61e-06,3.65e-06,3.55e-06,3.68e-06,6.06e-06,3.17e-06,3.2e-06,2.67e-06,4e-06,3.72e-06,4.75e-06,4.95e-06,3.48e-06,4.68e-06,3.14e-06
26/02/2050 00:00,3.01e-06,3.55e-06,3.24e-06,3.81e-06,3.6e-06,3.27e-06,3.14e-06,2.91e-06,3.76e-06,6.01e-06,5.13e-06,4e-06,5.5e-06,3.87e-06,3.29e-06,4.79e-06,3.63e-06,5.56e-06,4.21e-06,3.76e-06,4.8e-06,2.87e-06,4.59e-06,3.36e-06,3.42e-06,3.6e-06,3.27e-06,4.36e-06,5.59e-06,3.59e-06,2.91e-06,2.85e-06,4.14e-06,3.45e-06,5.55e-06,4.7e-06,3.68e-06,4.71e-06,2.97e-06
05/03/2050 00:00,2.94e-06,3.24e-06,3.73e-06,3.95e-06,3.43e-06,3.2e-06,3.67e-06,1.76e-06,3.6e-06,6.17e-06,5.97e-06,3.68e-06,5.89e-06,4.83e-06,2.56e-06,5.61e-06,3.33e-06,4.85e-06,3.79e-06,3.28e-06,4.29e-06,3.6e-06,4.6e-06,4.39e-06,3.41e-06,4.02e-06,2.95e-06,5.02e-06,6.88e-06,3.78e-06,3e-06,3.61e-06,4.54e-06,3.18e-06,7.51e-06,5.14e-06,4.65e-06,4.03e-06,3.13e-06
