Timestamp [UTC],1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
01/01/2050 00:00,3.77e-05,3.55e-05,3.03e-05,6.74e-05,4.77e-05,3.65e-05,3.17e-05,3.4e-05,4.5e-05,5.28e-05,4.94e-05,4.92e-05,6.36e-05,5.7e-05,4.7e-05,4.48e-05,3.16e-05,3.62e-05,5.57e-05,4.49e-05,6.1e-05,5.3e-05,4.93e-05,2.87e-05,4.11e-05,6.61e-05,4.04e-05,6.66e-05,6.58e-05,4.54e-05,3.59e-05,3.9e-05,6.15e-05,4.2e-05,6.6e-05,5.88e-05,4.07e-05,5.42e-05,5.66e-05
08/01/2050 00:00,3.81e-05,3.9e-05,2.74e-05,6.09e-05,4.61e-05,3.01e-05,3.48e-05,1.28e-05,4.5e-05,5.68e-05,4.86e-05,4.14e-05,5.89e-05,6.07e-05,4.62e-05,5.33e-05,3.46e-05,3.62e-05,5.08e-05,4.45e-05,5.96e-05,5.28e-05,5.31e-05,2.9e-05,4.33e-05,6.43e-05,4.36e-05,6.61e-05,6.94e-05,4.11e-05,2.63e-05,3.36e-05,5.7e-05,3.65e-05,3.89e-05,5.35e-05,4.17e-05,5.35e-05,3.93e-05
15/01/2050 00:00,3.57e-05,3.24e-05,3.12e-05,5.19e-05,3.38e-05,3.98e-05,3.81e-05,2.91e-05,5.28e-05,5.44e-05,4.53e-05,4.98e-05,5.66e-05,5.78e-05,3.89e-05,5.87e-05,3.72e-05,3.93e-05,4.41e-05,2.63e-05,4.05e-05,4.65e-05,4.83e-05,3.94e-05,3.77e-05,5.26e-05,4.91e-05,6.54e-05,6.58e-05,5.26e-05,3.68e-05,3.27e-05,5.63e-05,3.31e-05,3.51e-05,3.89e-05,3.41e-05,5.57e-05,4.8e-05
22/01/2050 00:00,3.15e-05,3.59e-05,3.57e-05,3.77e-05,3.48e-05,3.3e-05,3.11e-05,3.05e-05,5.29e-05,5.14e-05,4.92e-05,4.73e-05,6.11e-05,3.91e-05,3.82e-05,4.74e-05,3.13e-05,3.77e-05,3.9e-05,3.75e-05,4.99e-05,6.22e-05,4.44e-05,3.04e-05,4.46e-05,4.54e-05,2.9e-05,4.19e-05,6.18e-05,4.2e-05,3.93e-05,3.23e-05,4.39e-05,3.12e-05,4.71e-05,5.03e-05,4.48e-05,6.18e-05,4.98e-05
29/01/2050 00:00,3.17e-05,3.87e-05,3.46e-05,3.84e-05,3.88e-05,3.05e-05,3.1e-05,3.09e-05,4.9e-05,5.42e-05,5.24e-05,3.79e-05,6.4e-05,4.88e-05,3.08e-05,4.53e-05,3.22e-05,4.1e-05,4.15e-05,3.68e-05,4.37e-05,3.68e-05,3.4e-05,3.02e-05,4.13e-05,5.3e-05,4.19e-05,4.89e-05,5.99e-05,4.71e-05,3.42e-05,3.72e-05,3.59e-05,3.44e-05,5.31e-05,4.48e-05,4.64e-05,5.16e-05,4.65e-05
05/02/2050 00:00,2.74e-05,3.48e-05,3.22e-05,3.78e-05,3.41e-05,3.02e-05,2.91e-05,3.74e-05,5.66e-05,5.31e-05,5.39e-05,3.56e-05,5.9e-05,5.43e-05,3.06e-05,4.33e-05,3.1e-05,4.02e-05,3.86e-05,3.25e-05,5.37e-05,4.51e-05,5.23e-05,1.39e-05,3.74e-05,5.3e-05,4.49e-05,3.62e-05,5.54e-05,3.47e-05,3.15e-05,3.66e-05,4.37e-05,3.3e-05,5.41e-05,5.95e-05,4.95e-05,3.95e-05,3.57e-05
12/02/2050 00:00,3.3e-05,3.1e-05,3.27e-05,3.86e-05,3.54e-05,3.19e-05,3.17e-05,3.14e-05,4.56e-05,5.67e-05,6.14e-05,3.61e-05,5.37e-05,5.26e-05,2.99e-05,5.69e-05,3.28e-05,3.96e-05,5.49e-05,3.56e-05,4.92e-05,3.09e-05,4.52e-05,3.42e-05,3.96e-05,4.59e-05,3.73e-05,3.72e-05,6.57e-05,3.76e-05,3.57e-05,2.99e-05,4.19e-05,3.25e-05,5.26e-05,5.48e-05,4.26e-05,4.19e-05,3.66e-05
19/02/2050 00:00,3.27e-05,3.28e-05,3.37e-05,4.55e-05,3.65e-05,2.2e-05,2.76e-05,3e-05,4.68e-05,5.61e-05,5.4e-05,3.81e-05,5.37e-05,4.09e-05,3.23e-05,5.39e-05,3.13e-05,4.09e-05,5.72e-05,3.56e-05,4.67e-05,3.66e-05,3.98e-05,3.41e-05,3.84e-05,3.88e-05,3.77e-05,3.91e-05,6.43e-05,3.37e-05,3.39e-05,2.83e-05,4.25e-05,3.96e-05,5.05e-05,5.25e-05,3.69e-05,4.97e-05,3.33e-05
26/02/2050 00:00,3.2e-05,3.77e-05,3.44e-05,4.05e-05,3.83e-05,3.47e-05,3.34e-05,3.09e-05,3.99e-05,6.38e-05,5.45e-05,4.25e-05,5.85e-05,4.11e-05,3.49e-05,5.08e-05,3.86e-05,5.91e-05,4.48e-05,3.99e-05,5.1e-05,3.05e-05,4.88e-05,3.57e-05,3.63e-05,3.82e-05,3.47e-05,4.63e-05,5.94e-05,3.81e-05,3.1e-05,3.03e-05,4.39e-05,3.66e-05,5.89e-05,4.99e-05,3.91e-05,5e-05,3.16e-05
05/03/2050 00:00,3.13e-05,3.44e-05,3.97e-05,4.2e-05,3.64e-05,3.39e-05,3.9e-05,1.87e-05,3.82e-05,6.55e-05,6.34e-05,3.91e-05,6.26e-05,5.13e-05,2.72e-05,5.95e-05,3.54e-05,5.15e-05,4.03e-05,3.49e-05,4.56e-05,3.83e-05,4.89e-05,4.67e-05,3.62e-05,4.27e-05,3.14e-05,5.33e-05,7.3e-05,4.02e-05,3.18e-05,3.84e-05,4.83e-05,3.38e-05,7.97e-05,5.46e-05,4.94e-05,4.29e-05,3.33e-05
