Timestamp [UTC],1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1/1/2050 0:00:00,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
1/1/2050 1:00:00,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
1/1/2050 2:00:00,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
1/1/2050 3:00:00,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
1/1/2050 4:00:00,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
1/1/2050 5:00:00,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
1/1/2050 6:00:00,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
1/1/2050 7:00:00,0.002,0,0.003,0,0.006,0,0.001,0,0.004,0,0.004,0,0.005,0,0.004,0,0.0,0,0.003,0,0.003,0,0.007,0,0.002,0,0.001,0,0.003,0,0.002,0,0.005,0,0.002,0.007,0.007,0.007,0.003
1/1/2050 8:00:00,0.053,0,0.046,0,0.127,0,0.019,0,0.068,0,0.066,0,0.118,0,0.064,0,0.012,0,0.062,0,0.059,0,0.134,0,0.025,0,0.026,0,0.046,0,0.031,0,0.107,0,0.028,0.138,0.142,0.14,0.046
1/1/2050 9:00:00,0.125,0,0.1,0,0.283,0,0.051,0,0.202,0,0.166,0,0.281,0,0.118,0,0.026,0,0.157,0,0.189,0,0.315,0,0.068,0,0.059,0,0.101,0,0.085,0,0.273,0,0.078,0.316,0.272,0.318,0.088
1/1/2050 10:00:00,0.222,0,0.124,0,0.405,0,0.078,0,0.333,0,0.256,0,0.42,0,0.157,0,0.053,0,0.24,0,0.283,0,0.461,0,0.089,0,0.09,0,0.175,0,0.157,0,0.4,0,0.134,0.456,0.347,0.447,0.118
1/1/2050 11:00:00,0.297,0,0.142,0,0.455,0,0.101,0,0.383,0,0.32,0,0.503,0,0.151,0,0.07,0,0.285,0,0.348,0,0.528,0,0.125,0,0.109,0,0.236,0,0.238,0,0.454,0,0.156,0.506,0.411,0.5,0.136
1/1/2050 12:00:00,0.365,0,0.124,0,0.446,0,0.105,0,0.379,0,0.347,0,0.505,0,0.121,0,0.065,0,0.267,0,0.394,0,0.53,0,0.138,0,0.127,0,0.249,0,0.253,0,0.462,0,0.159,0.492,0.346,0.492,0.137
1/1/2050 13:00:00,0.334,0,0.093,0,0.368,0,0.128,0,0.343,0,0.294,0,0.432,0,0.088,0,0.055,0,0.225,0,0.304,0,0.46,0,0.11,0,0.109,0,0.224,0,0.195,0,0.403,0,0.111,0.424,0.268,0.422,0.122
