Timestamp [UTC],1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1/1/2050 0:00:00,0.736,1.0,0.127,0.721,1.0,0.978,0.766,0.604,0.982,0.012,0.0,0.553,0.624,0.0,0.341,1.0,0.021,1.0,0.331,0.977,0.225,1.0,0.136,0.026,0.561,0.067,0.726,1.0,0.0,0.0,0.963,0.071,1.0,1.001,0.926,0.796,0.638,0.458,1.0
1/1/2050 1:00:00,0.576,1.0,0.109,0.729,1.0,0.991,0.782,0.308,0.982,0.008,0.0,0.507,0.762,0.002,0.285,1.0,0.01,1.0,0.319,0.973,0.299,1.0,0.082,0.062,0.824,0.091,0.77,1.0,0.0,0.0,0.983,0.11,1.0,0.998,0.957,0.792,0.478,0.483,1.0
1/1/2050 2:00:00,0.524,1.0,0.117,0.721,1.0,1.0,0.824,0.055,0.984,0.004,0.0,0.526,0.833,0.007,0.279,1.0,0.002,1.0,0.258,0.97,0.322,1.0,0.029,0.07,0.727,0.078,0.714,1.0,0.0,0.0,0.991,0.155,1.0,0.983,0.975,0.853,0.337,0.533,1.0
1/1/2050 3:00:00,0.477,1.0,0.105,0.747,1.0,1.0,0.818,0.001,0.993,0.002,0.0,0.515,0.893,0.011,0.294,1.0,0.001,1.0,0.304,0.974,0.359,1.0,0.017,0.144,0.749,0.089,0.768,1.0,0.0,0.0,0.989,0.199,1.0,0.922,0.982,0.82,0.158,0.583,1.0
1/1/2050 4:00:00,0.504,1.0,0.156,0.783,1.0,1.0,0.819,0.0,0.997,0.001,0.0,0.545,0.949,0.016,0.301,1.0,0.004,0.997,0.432,0.951,0.327,1.0,0.018,0.164,0.708,0.129,0.856,1.0,0.0,0.0,0.99,0.239,1.0,0.777,0.994,0.653,0.05,0.635,1.0
1/1/2050 5:00:00,0.551,1.0,0.163,0.826,1.0,1.0,0.813,0.008,0.998,0.002,0.003,0.73,0.976,0.017,0.296,1.0,0.008,0.998,0.515,0.937,0.262,1.0,0.016,0.412,0.667,0.179,0.751,1.0,0.003,0.0,0.992,0.258,1.0,0.669,0.997,0.707,0.01,0.699,1.001
1/1/2050 6:00:00,0.558,1.0,0.191,0.855,1.0,1.0,0.732,0.032,0.999,0.001,0.007,0.793,0.989,0.018,0.377,1.0,0.014,1.0,0.579,0.89,0.241,1.0,0.017,0.794,0.754,0.213,0.636,1.0,0.012,0.0,0.991,0.261,1.0,0.69,0.997,0.951,0.0,0.725,1.0
1/1/2050 7:00:00,0.609,1.0,0.239,0.911,1.0,1.0,0.636,0.095,1.0,0.0,0.01,0.665,0.999,0.02,0.587,1.0,0.018,1.0,0.678,0.843,0.23,1.0,0.032,0.96,0.877,0.226,0.694,1.0,0.013,0.0,0.958,0.27,0.999,0.815,0.997,0.952,0.0,0.749,1.0
1/1/2050 8:00:00,0.671,1.0,0.222,0.945,1.0,1.0,0.598,0.131,1.0,0.0,0.014,0.803,1.0,0.028,0.646,1.0,0.012,0.999,0.79,0.816,0.216,1.0,0.041,0.987,0.986,0.253,0.518,1.0,0.008,0.0,0.863,0.273,0.992,0.939,0.997,0.943,0.0,0.773,0.998
1/1/2050 9:00:00,0.666,1.0,0.209,0.964,1.0,1.0,0.608,0.35,1.0,0.0,0.022,0.716,1.0,0.035,0.532,1.0,0.01,0.994,0.832,0.794,0.204,1.0,0.067,1.0,0.999,0.303,0.304,1.0,0.005,0.0,0.726,0.235,0.979,0.871,1.0,0.928,0.005,0.83,0.996
