Timestamp [UTC],1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1/1/2050 0:00:00,0.647,0.658,0.064,0.524,0.658,0.64,0.561,0.591,0.658,0.065,0.001,0.632,0.62,0.0,0.396,0.656,0.317,0.628,0.101,0.609,0.302,0.658,0.298,0.053,0.35,0.063,0.329,0.658,0.003,0.023,0.638,0.482,0.638,0.657,0.631,0.644,0.64,0.609,0.658
1/1/2050 1:00:00,0.63,0.658,0.068,0.539,0.658,0.657,0.555,0.508,0.658,0.057,0.001,0.624,0.638,0.002,0.438,0.658,0.294,0.619,0.106,0.594,0.359,0.658,0.197,0.039,0.464,0.082,0.319,0.658,0.002,0.018,0.64,0.512,0.654,0.645,0.62,0.641,0.587,0.615,0.658
1/1/2050 2:00:00,0.615,0.658,0.072,0.567,0.658,0.658,0.573,0.391,0.658,0.056,0.001,0.621,0.647,0.004,0.409,0.658,0.285,0.62,0.124,0.573,0.387,0.658,0.153,0.034,0.471,0.101,0.313,0.658,0.003,0.014,0.635,0.53,0.656,0.619,0.605,0.645,0.484,0.617,0.658
1/1/2050 3:00:00,0.592,0.595,0.062,0.602,0.658,0.658,0.583,0.283,0.658,0.057,0.002,0.616,0.654,0.004,0.413,0.658,0.287,0.618,0.158,0.565,0.372,0.658,0.153,0.034,0.49,0.15,0.307,0.658,0.006,0.013,0.619,0.539,0.658,0.528,0.61,0.643,0.327,0.619,0.658
1/1/2050 4:00:00,0.578,0.658,0.053,0.625,0.658,0.656,0.585,0.191,0.658,0.058,0.004,0.618,0.658,0.004,0.433,0.658,0.303,0.612,0.226,0.546,0.389,0.658,0.179,0.04,0.514,0.215,0.297,0.658,0.008,0.015,0.597,0.535,0.658,0.32,0.624,0.619,0.247,0.622,0.658
1/1/2050 5:00:00,0.554,0.658,0.054,0.634,0.658,0.614,0.573,0.116,0.659,0.063,0.005,0.633,0.658,0.004,0.462,0.658,0.317,0.602,0.307,0.541,0.375,0.658,0.216,0.062,0.524,0.253,0.308,0.658,0.013,0.018,0.553,0.525,0.658,0.185,0.633,0.644,0.177,0.624,0.658
1/1/2050 6:00:00,0.514,0.658,0.055,0.638,0.658,0.578,0.561,0.069,0.659,0.063,0.006,0.643,0.658,0.005,0.464,0.658,0.344,0.584,0.398,0.551,0.342,0.658,0.286,0.122,0.567,0.288,0.315,0.658,0.026,0.018,0.485,0.526,0.658,0.149,0.638,0.656,0.088,0.626,0.658
1/1/2050 7:00:00,0.499,0.658,0.048,0.644,0.658,0.577,0.552,0.049,0.658,0.056,0.006,0.629,0.658,0.008,0.453,0.658,0.355,0.563,0.483,0.577,0.328,0.658,0.338,0.218,0.602,0.332,0.319,0.658,0.037,0.013,0.412,0.523,0.658,0.224,0.644,0.653,0.034,0.628,0.658
1/1/2050 8:00:00,0.507,0.658,0.038,0.65,0.658,0.598,0.539,0.041,0.658,0.045,0.006,0.626,0.658,0.01,0.459,0.658,0.35,0.553,0.548,0.558,0.321,0.658,0.408,0.278,0.634,0.358,0.307,0.658,0.041,0.005,0.338,0.504,0.657,0.349,0.647,0.64,0.009,0.621,0.658
1/1/2050 9:00:00,0.503,0.658,0.032,0.654,0.658,0.633,0.539,0.053,0.658,0.037,0.008,0.638,0.658,0.009,0.466,0.658,0.345,0.526,0.597,0.537,0.366,0.658,0.451,0.349,0.644,0.4,0.254,0.658,0.044,0.003,0.29,0.466,0.656,0.328,0.652,0.645,0.002,0.609,0.658
1/1/2050 10:00:00,0.513,0.658,0.037,0.655,0.658,0.655,0.487,0.078,0.658,0.067,0.004,0.633,0.658,0.006,0.325,0.658,0.279,0.506,0.602,0.441,0.361,0.658,0.477,0.434,0.629,0.433,0.127,0.658,0.043,0.002,0.237,0.371,0.637,0.332,0.644,0.647,0.001,0.493,0.658
1/1/2050 11:00:00,0.496,0.658,0.025,0.655,0.658,0.658,0.45,0.141,0.658,0.049,0.006,0.617,0.658,0.001,0.281,0.658,0.216,0.448,0.621,0.454,0.313,0.658,0.483,0.473,0.635,0.505,0.095,0.658,0.035,0.003,0.235,0.346,0.643,0.366,0.649,0.649,0.004,0.516,0.651
1/1/2050 12:00:00,0.49,0.658,0.02,0.655,0.658,0.658,0.422,0.201,0.658,0.034,0.009,0.597,0.658,0.0,0.268,0.658,0.192,0.378,0.649,0.397,0.209,0.658,0.472,0.54,0.634,0.588,0.063,0.658,0.033,0.008,0.193,0.386,0.644,0.462,0.653,0.653,0.008,0.537,0.631
1/1/2050 13:00:00,0.516,0.658,0.021,0.656,0.658,0.658,0.427,0.249,0.658,0.027,0.006,0.574,0.658,0.0,0.245,0.658,0.212,0.312,0.654,0.395,0.136,0.658,0.463,0.572,0.634,0.633,0.035,0.658,0.032,0.019,0.135,0.434,0.645,0.458,0.656,0.654,0.022,0.515,0.605
1/1/2050 14:00:00,0.537,0.658,0.03,0.657,0.658,0.658,0.461,0.315,0.658,0.022,0.005,0.612,0.658,0.006,0.186,0.658,0.264,0.27,0.656,0.404,0.088,0.659,0.458,0.599,0.619,0.646,0.016,0.658,0.04,0.023,0.101,0.479,0.644,0.495,0.657,0.658,0.05,0.458,0.542
1/1/2050 15:00:00,0.571,0.658,0.036,0.658,0.658,0.658,0.498,0.387,0.658,0.016,0.004,0.631,0.658,0.02,0.149,0.658,0.311,0.256,0.653,0.434,0.054,0.658,0.456,0.606,0.62,0.654,0.01,0.658,0.063,0.021,0.105,0.508,0.641,0.529,0.658,0.659,0.113,0.349,0.438
1/1/2050 16:00:00,0.595,0.658,0.044,0.658,0.658,0.658,0.523,0.51,0.658,0.009,0.01,0.634,0.658,0.039,0.146,0.658,0.319,0.254,0.655,0.445,0.036,0.658,0.454,0.578,0.592,0.657,0.007,0.658,0.098,0.021,0.116,0.49,0.631,0.579,0.658,0.658,0.189,0.269,0.32
1/1/2050 17:00:00,0.59,0.658,0.048,0.658,0.658,0.651,0.539,0.569,0.658,0.004,0.019,0.644,0.658,0.056,0.168,0.577,0.337,0.226,0.657,0.47,0.028,0.658,0.47,0.579,0.556,0.658,0.009,0.657,0.141,0.022,0.106,0.463,0.584,0.608,0.658,0.658,0.287,0.223,0.241
