Timestamp [UTC],1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1/1/2050 0:00:00,0.169,0.0,0.061,0.008,0.016,0.091,0.162,0.019,0.0,0.009,0.073,0.0,0.078,0.099,0.002,0.058,0.263,0.006,0.002,0.073,0.004,0.108,0.088,0.037,0.069,0.032,0.057,0.001,0.016,0.009,0.22,0.002,0.03,0.011,0.02,0.302,0.048,0.029,0.008
1/1/2050 1:00:00,0.159,0.0,0.063,0.008,0.015,0.083,0.149,0.016,0.0,0.011,0.08,0.001,0.068,0.105,0.002,0.06,0.251,0.008,0.002,0.072,0.003,0.106,0.085,0.033,0.069,0.025,0.059,0.001,0.023,0.008,0.226,0.002,0.029,0.007,0.014,0.295,0.037,0.025,0.009
1/1/2050 2:00:00,0.144,0.0,0.059,0.007,0.01,0.077,0.111,0.011,0.0,0.014,0.082,0.001,0.054,0.11,0.004,0.07,0.225,0.016,0.003,0.076,0.003,0.11,0.097,0.031,0.065,0.018,0.063,0.002,0.035,0.009,0.22,0.001,0.028,0.003,0.013,0.288,0.03,0.019,0.011
1/1/2050 3:00:00,0.095,0.0,0.053,0.008,0.008,0.071,0.084,0.007,0.001,0.021,0.086,0.002,0.041,0.116,0.006,0.077,0.186,0.029,0.004,0.08,0.004,0.103,0.121,0.028,0.063,0.012,0.071,0.004,0.047,0.012,0.216,0.001,0.027,0.002,0.012,0.284,0.023,0.012,0.014
1/1/2050 4:00:00,0.081,0.0,0.051,0.008,0.008,0.067,0.07,0.003,0.001,0.029,0.091,0.002,0.035,0.119,0.01,0.101,0.135,0.035,0.006,0.094,0.005,0.092,0.154,0.027,0.063,0.009,0.077,0.008,0.058,0.018,0.227,0.002,0.028,0.001,0.011,0.289,0.017,0.007,0.015
1/1/2050 5:00:00,0.066,0.0,0.056,0.008,0.009,0.064,0.067,0.004,0.002,0.037,0.094,0.002,0.034,0.124,0.02,0.121,0.097,0.047,0.006,0.111,0.007,0.086,0.177,0.026,0.06,0.008,0.08,0.01,0.062,0.025,0.256,0.002,0.029,0.002,0.013,0.292,0.014,0.003,0.02
1/1/2050 6:00:00,0.059,0.0,0.063,0.007,0.006,0.06,0.062,0.005,0.004,0.043,0.096,0.002,0.032,0.122,0.029,0.155,0.067,0.06,0.007,0.122,0.01,0.083,0.188,0.026,0.055,0.008,0.084,0.012,0.064,0.027,0.285,0.002,0.028,0.002,0.014,0.305,0.011,0.001,0.031
1/1/2050 7:00:00,0.087,0.001,0.07,0.007,0.004,0.051,0.056,0.005,0.007,0.049,0.093,0.002,0.027,0.119,0.03,0.176,0.048,0.065,0.008,0.12,0.011,0.08,0.183,0.026,0.051,0.011,0.086,0.013,0.059,0.025,0.271,0.002,0.026,0.003,0.016,0.315,0.009,0.001,0.04
1/1/2050 8:00:00,0.122,0.003,0.071,0.006,0.003,0.024,0.046,0.005,0.01,0.055,0.082,0.003,0.02,0.108,0.025,0.204,0.039,0.06,0.009,0.101,0.011,0.059,0.166,0.026,0.046,0.011,0.082,0.014,0.062,0.029,0.272,0.002,0.024,0.002,0.014,0.288,0.005,0.0,0.033
1/1/2050 9:00:00,0.122,0.004,0.063,0.002,0.001,0.008,0.03,0.005,0.011,0.048,0.049,0.004,0.011,0.099,0.017,0.267,0.03,0.044,0.005,0.069,0.007,0.039,0.165,0.016,0.032,0.003,0.08,0.014,0.065,0.03,0.285,0.001,0.011,0.001,0.005,0.247,0.0,0.0,0.026
1/1/2050 10:00:00,0.125,0.003,0.049,0.001,0.001,0.003,0.016,0.002,0.008,0.037,0.034,0.002,0.015,0.102,0.01,0.244,0.014,0.02,0.001,0.063,0.006,0.054,0.162,0.023,0.014,0.002,0.099,0.01,0.035,0.021,0.283,0.001,0.006,0.0,0.002,0.221,0.0,0.0,0.024
1/1/2050 11:00:00,0.146,0.005,0.054,0.001,0.003,0.0,0.018,0.006,0.004,0.033,0.029,0.002,0.019,0.107,0.016,0.303,0.006,0.019,0.0,0.042,0.005,0.063,0.19,0.037,0.015,0.001,0.095,0.012,0.026,0.016,0.356,0.0,0.002,0.0,0.0,0.174,0.0,0.0,0.024
1/1/2050 12:00:00,0.155,0.006,0.063,0.001,0.003,0.001,0.019,0.007,0.006,0.028,0.024,0.003,0.018,0.134,0.029,0.395,0.001,0.023,0.0,0.033,0.007,0.061,0.195,0.053,0.021,0.001,0.101,0.015,0.023,0.02,0.386,0.0,0.001,0.0,0.0,0.158,0.001,0.0,0.029
1/1/2050 13:00:00,0.163,0.009,0.068,0.0,0.004,0.002,0.018,0.005,0.007,0.022,0.024,0.005,0.017,0.139,0.044,0.391,0.001,0.035,0.0,0.037,0.008,0.053,0.187,0.064,0.015,0.0,0.101,0.019,0.025,0.032,0.386,0.0,0.001,0.0,0.0,0.148,0.001,0.0,0.028
1/1/2050 14:00:00,0.132,0.01,0.07,0.0,0.006,0.002,0.013,0.005,0.011,0.021,0.024,0.006,0.02,0.131,0.051,0.427,0.002,0.041,0.0,0.054,0.007,0.043,0.183,0.072,0.007,0.0,0.105,0.024,0.026,0.044,0.369,0.0,0.002,0.001,0.0,0.141,0.001,0.0,0.031
1/1/2050 15:00:00,0.081,0.011,0.074,0.0,0.009,0.001,0.012,0.005,0.017,0.027,0.034,0.008,0.015,0.128,0.058,0.42,0.002,0.044,0.0,0.065,0.007,0.039,0.173,0.069,0.006,0.001,0.111,0.028,0.024,0.054,0.418,0.0,0.003,0.001,0.0,0.16,0.001,0.0,0.05
1/1/2050 16:00:00,0.041,0.009,0.075,0.0,0.009,0.001,0.009,0.004,0.03,0.035,0.04,0.009,0.011,0.137,0.076,0.417,0.002,0.05,0.0,0.069,0.006,0.041,0.15,0.049,0.005,0.002,0.11,0.033,0.026,0.064,0.419,0.0,0.003,0.001,0.0,0.166,0.001,0.0,0.065
1/1/2050 17:00:00,0.02,0.006,0.082,0.0,0.005,0.0,0.008,0.004,0.041,0.042,0.044,0.012,0.008,0.155,0.091,0.426,0.002,0.055,0.0,0.074,0.006,0.039,0.135,0.045,0.003,0.001,0.113,0.039,0.021,0.072,0.441,0.0,0.002,0.001,0.001,0.165,0.002,0.0,0.063
1/1/2050 18:00:00,0.011,0.003,0.088,0.0,0.002,0.0,0.006,0.006,0.049,0.047,0.048,0.015,0.005,0.164,0.102,0.445,0.002,0.06,0.001,0.088,0.007,0.037,0.122,0.046,0.003,0.002,0.112,0.042,0.018,0.088,0.461,0.001,0.001,0.001,0.001,0.163,0.002,0.0,0.077
1/1/2050 19:00:00,0.007,0.001,0.096,0.0,0.001,0.0,0.004,0.011,0.048,0.051,0.052,0.021,0.003,0.17,0.103,0.447,0.002,0.064,0.001,0.099,0.009,0.029,0.115,0.042,0.003,0.002,0.113,0.046,0.015,0.11,0.427,0.001,0.0,0.001,0.0,0.158,0.003,0.0,0.092
1/1/2050 20:00:00,0.006,0.0,0.098,0.0,0.0,0.0,0.005,0.019,0.047,0.054,0.053,0.029,0.001,0.172,0.089,0.451,0.001,0.062,0.001,0.092,0.009,0.026,0.111,0.04,0.004,0.003,0.125,0.052,0.014,0.126,0.362,0.001,0.0,0.002,0.0,0.152,0.004,0.0,0.113
