Timestamp [UTC],1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1/1/2050 0:00:00,0.548,0.005,0.273,0.031,0.028,0.038,0.026,0.089,0.014,0.1,0.002,0.029,0.094,0.058,0.136,0.119,0.144,0.028,0.049,0.013,0.08,0.083,0.335,0.143,0.061,0.01,0.201,0.092,0.046,0.035,0.305,0.0,0.018,0.019,0.003,0.126,0.0,0.009,0.111
1/1/2050 1:00:00,0.566,0.007,0.263,0.026,0.031,0.033,0.028,0.077,0.019,0.097,0.002,0.034,0.065,0.066,0.152,0.128,0.1,0.035,0.051,0.013,0.08,0.088,0.319,0.099,0.06,0.01,0.216,0.117,0.056,0.04,0.36,0.0,0.02,0.019,0.002,0.12,0.0,0.005,0.124
1/1/2050 2:00:00,0.543,0.009,0.246,0.024,0.022,0.028,0.028,0.077,0.017,0.097,0.002,0.04,0.052,0.075,0.166,0.125,0.078,0.05,0.054,0.016,0.074,0.089,0.326,0.08,0.053,0.01,0.227,0.142,0.061,0.044,0.45,0.0,0.021,0.02,0.002,0.109,0.0,0.002,0.133
1/1/2050 3:00:00,0.527,0.012,0.229,0.024,0.019,0.023,0.023,0.084,0.014,0.1,0.001,0.047,0.043,0.081,0.18,0.12,0.069,0.081,0.055,0.017,0.075,0.079,0.339,0.085,0.047,0.01,0.248,0.166,0.073,0.044,0.434,0.0,0.026,0.017,0.001,0.107,0.0,0.001,0.133
1/1/2050 4:00:00,0.492,0.024,0.201,0.024,0.02,0.02,0.019,0.082,0.011,0.101,0.001,0.057,0.043,0.092,0.202,0.138,0.06,0.119,0.052,0.019,0.073,0.074,0.382,0.09,0.04,0.011,0.259,0.184,0.081,0.044,0.377,0.0,0.026,0.017,0.001,0.107,0.0,0.001,0.133
1/1/2050 5:00:00,0.481,0.042,0.176,0.024,0.03,0.018,0.016,0.087,0.01,0.101,0.001,0.059,0.044,0.092,0.23,0.189,0.051,0.145,0.052,0.023,0.065,0.062,0.424,0.085,0.04,0.012,0.267,0.215,0.085,0.042,0.303,0.0,0.022,0.016,0.001,0.117,0.0,0.0,0.128
1/1/2050 6:00:00,0.455,0.049,0.163,0.025,0.032,0.015,0.015,0.089,0.009,0.097,0.001,0.062,0.044,0.1,0.254,0.267,0.04,0.159,0.053,0.026,0.054,0.054,0.436,0.082,0.038,0.012,0.263,0.256,0.101,0.044,0.25,0.001,0.022,0.016,0.001,0.124,0.0,0.0,0.124
1/1/2050 7:00:00,0.413,0.054,0.152,0.023,0.03,0.012,0.015,0.08,0.006,0.092,0.002,0.06,0.043,0.111,0.259,0.332,0.034,0.18,0.052,0.025,0.047,0.049,0.425,0.072,0.04,0.011,0.267,0.296,0.104,0.048,0.225,0.002,0.026,0.02,0.002,0.13,0.0,0.0,0.121
1/1/2050 8:00:00,0.364,0.059,0.137,0.019,0.038,0.008,0.013,0.058,0.001,0.074,0.002,0.059,0.034,0.121,0.26,0.35,0.03,0.192,0.046,0.021,0.043,0.039,0.386,0.059,0.039,0.009,0.264,0.328,0.1,0.045,0.226,0.001,0.03,0.025,0.003,0.119,0.0,0.001,0.105
1/1/2050 9:00:00,0.399,0.06,0.121,0.013,0.046,0.006,0.013,0.043,0.0,0.063,0.001,0.052,0.022,0.167,0.248,0.346,0.025,0.207,0.037,0.015,0.044,0.029,0.37,0.047,0.033,0.004,0.265,0.343,0.16,0.038,0.202,0.001,0.022,0.028,0.004,0.103,0.0,0.001,0.103
