Timestamp [UTC],1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1/1/2050 0:00:00,0.717,1.0,0.503,0.606,1.0,0.503,0.497,0.835,0.659,0.008,0.022,0.565,0.247,0.003,0.478,0.527,0.092,0.888,0.191,0.911,0.176,1.0,0.214,0.011,0.178,0.197,0.742,1.0,0.011,0.011,0.277,0.068,0.834,1.0,0.902,0.29,0.813,0.343,1.0
1/1/2050 1:00:00,0.595,1.0,0.548,0.635,1.0,0.585,0.517,0.692,0.676,0.007,0.016,0.501,0.306,0.006,0.425,0.645,0.082,0.887,0.196,0.918,0.194,1.0,0.188,0.026,0.229,0.181,0.717,1.0,0.007,0.018,0.341,0.087,0.846,1.0,0.842,0.314,0.67,0.337,1.0
1/1/2050 2:00:00,0.559,1.0,0.557,0.662,1.0,0.685,0.558,0.511,0.696,0.008,0.018,0.456,0.382,0.021,0.411,0.734,0.079,0.883,0.177,0.927,0.211,1.0,0.154,0.069,0.324,0.141,0.676,1.0,0.002,0.024,0.38,0.114,0.848,1.0,0.808,0.354,0.527,0.341,1.0
1/1/2050 3:00:00,0.493,1.0,0.555,0.69,1.0,0.799,0.574,0.362,0.725,0.008,0.023,0.418,0.439,0.037,0.4,0.773,0.086,0.876,0.178,0.908,0.228,1.0,0.141,0.113,0.388,0.093,0.695,1.0,0.0,0.017,0.361,0.147,0.917,0.993,0.808,0.416,0.38,0.342,1.0
1/1/2050 4:00:00,0.492,1.0,0.573,0.683,1.0,0.905,0.568,0.316,0.754,0.01,0.026,0.442,0.493,0.052,0.421,0.799,0.095,0.859,0.225,0.886,0.253,0.999,0.13,0.155,0.459,0.079,0.715,1.0,0.0,0.011,0.403,0.175,0.951,0.975,0.864,0.373,0.286,0.362,1.0
1/1/2050 5:00:00,0.487,1.0,0.552,0.684,1.0,0.956,0.56,0.284,0.806,0.012,0.034,0.485,0.535,0.061,0.425,0.817,0.102,0.839,0.3,0.887,0.278,1.0,0.12,0.265,0.497,0.099,0.711,1.0,0.001,0.01,0.476,0.177,0.971,0.948,0.9,0.276,0.194,0.404,1.0
1/1/2050 6:00:00,0.483,1.0,0.561,0.718,1.0,0.984,0.567,0.276,0.876,0.016,0.044,0.581,0.602,0.072,0.399,0.859,0.129,0.82,0.368,0.851,0.303,1.0,0.111,0.433,0.579,0.139,0.667,1.0,0.003,0.011,0.518,0.183,0.992,0.916,0.913,0.431,0.116,0.443,1.0
1/1/2050 7:00:00,0.494,1.0,0.606,0.778,1.0,0.998,0.529,0.218,0.943,0.018,0.051,0.651,0.67,0.084,0.419,0.841,0.157,0.81,0.436,0.794,0.32,1.0,0.12,0.676,0.659,0.202,0.646,1.0,0.009,0.013,0.485,0.212,0.998,0.87,0.926,0.633,0.06,0.469,1.0
1/1/2050 8:00:00,0.485,1.0,0.632,0.826,1.0,1.0,0.52,0.198,0.971,0.019,0.061,0.717,0.729,0.108,0.447,0.842,0.161,0.785,0.492,0.729,0.32,1.0,0.12,0.848,0.658,0.261,0.605,1.0,0.02,0.007,0.484,0.252,0.996,0.836,0.945,0.712,0.027,0.514,1.0
1/1/2050 9:00:00,0.447,1.0,0.611,0.85,0.999,1.0,0.498,0.248,0.992,0.014,0.054,0.819,0.799,0.112,0.455,0.861,0.154,0.704,0.556,0.699,0.306,1.0,0.118,0.951,0.612,0.299,0.529,1.0,0.025,0.004,0.479,0.259,0.982,0.831,0.986,0.629,0.031,0.561,1.0
1/1/2050 10:00:00,0.379,1.0,0.58,0.896,0.997,1.0,0.413,0.249,0.959,0.005,0.031,0.844,0.835,0.052,0.341,0.909,0.079,0.751,0.665,0.601,0.224,0.993,0.084,0.998,0.566,0.323,0.35,1.0,0.01,0.008,0.423,0.223,0.785,0.738,0.983,0.595,0.058,0.5,0.993
