Timestamp [UTC],1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1/1/2050 0:00:00,0.029,0.438,0.871,0.548,0.343,0.761,0.598,0.061,0.817,0.804,0.751,0.171,0.602,0.348,0.334,0.17,0.165,0.11,0.26,0.174,0.694,0.94,0.487,0.121,0.937,0.945,0.026,0.154,0.931,0.141,0.023,0.082,0.299,0.714,0.911,0.205,0.671,0.261,0.202
1/1/2050 1:00:00,0.039,0.42,0.862,0.477,0.313,0.779,0.623,0.062,0.793,0.743,0.76,0.166,0.676,0.327,0.327,0.16,0.184,0.109,0.198,0.168,0.647,0.948,0.458,0.122,0.923,0.9,0.035,0.151,0.897,0.148,0.023,0.06,0.25,0.667,0.919,0.221,0.663,0.271,0.18
1/1/2050 2:00:00,0.054,0.398,0.87,0.482,0.289,0.795,0.636,0.065,0.757,0.698,0.772,0.161,0.713,0.328,0.321,0.131,0.217,0.112,0.161,0.153,0.602,0.953,0.41,0.127,0.903,0.833,0.039,0.144,0.863,0.154,0.024,0.053,0.203,0.624,0.926,0.2,0.633,0.293,0.175
1/1/2050 3:00:00,0.071,0.376,0.872,0.557,0.259,0.799,0.653,0.066,0.735,0.691,0.778,0.149,0.711,0.336,0.325,0.121,0.247,0.127,0.126,0.155,0.587,0.937,0.353,0.121,0.859,0.797,0.043,0.14,0.841,0.148,0.022,0.056,0.174,0.574,0.931,0.197,0.621,0.3,0.168
1/1/2050 4:00:00,0.082,0.358,0.878,0.602,0.224,0.795,0.66,0.072,0.724,0.716,0.793,0.14,0.687,0.333,0.325,0.107,0.282,0.142,0.092,0.151,0.568,0.928,0.327,0.113,0.792,0.726,0.045,0.136,0.836,0.138,0.025,0.06,0.155,0.48,0.93,0.165,0.608,0.342,0.168
1/1/2050 5:00:00,0.095,0.333,0.871,0.641,0.19,0.795,0.656,0.076,0.702,0.723,0.806,0.153,0.647,0.37,0.333,0.092,0.315,0.149,0.071,0.152,0.553,0.923,0.338,0.115,0.713,0.648,0.042,0.129,0.86,0.123,0.026,0.068,0.134,0.392,0.934,0.147,0.594,0.406,0.171
1/1/2050 6:00:00,0.102,0.299,0.865,0.69,0.151,0.794,0.669,0.071,0.698,0.718,0.804,0.191,0.64,0.404,0.34,0.083,0.349,0.15,0.058,0.154,0.516,0.915,0.348,0.113,0.654,0.604,0.036,0.121,0.85,0.124,0.024,0.072,0.128,0.328,0.939,0.147,0.556,0.445,0.177
1/1/2050 7:00:00,0.109,0.263,0.851,0.699,0.127,0.797,0.665,0.062,0.717,0.756,0.762,0.238,0.652,0.4,0.352,0.067,0.371,0.139,0.047,0.156,0.498,0.908,0.376,0.113,0.617,0.559,0.036,0.114,0.864,0.128,0.023,0.076,0.123,0.255,0.947,0.138,0.535,0.465,0.183
1/1/2050 8:00:00,0.113,0.211,0.824,0.742,0.111,0.801,0.655,0.055,0.753,0.786,0.694,0.279,0.67,0.363,0.369,0.049,0.379,0.126,0.042,0.156,0.484,0.905,0.422,0.112,0.572,0.53,0.046,0.105,0.882,0.14,0.026,0.082,0.113,0.207,0.953,0.118,0.519,0.474,0.178
1/1/2050 9:00:00,0.121,0.163,0.809,0.773,0.098,0.795,0.639,0.052,0.787,0.781,0.582,0.33,0.686,0.289,0.397,0.042,0.386,0.119,0.043,0.157,0.427,0.904,0.497,0.108,0.517,0.525,0.07,0.095,0.889,0.154,0.028,0.086,0.109,0.167,0.948,0.127,0.52,0.483,0.161
1/1/2050 10:00:00,0.139,0.129,0.736,0.759,0.171,0.784,0.657,0.041,0.828,0.743,0.499,0.325,0.688,0.23,0.424,0.059,0.369,0.123,0.049,0.147,0.459,0.909,0.627,0.122,0.485,0.588,0.111,0.115,0.91,0.156,0.046,0.092,0.127,0.123,0.956,0.12,0.578,0.506,0.143
1/1/2050 11:00:00,0.137,0.1,0.738,0.755,0.165,0.769,0.646,0.04,0.831,0.639,0.395,0.404,0.724,0.155,0.463,0.081,0.384,0.119,0.058,0.177,0.448,0.913,0.691,0.11,0.441,0.584,0.17,0.109,0.901,0.175,0.051,0.096,0.129,0.091,0.961,0.083,0.583,0.528,0.142
1/1/2050 12:00:00,0.144,0.075,0.729,0.763,0.165,0.761,0.613,0.037,0.828,0.571,0.305,0.494,0.734,0.103,0.492,0.112,0.406,0.122,0.062,0.202,0.439,0.921,0.738,0.099,0.404,0.561,0.229,0.1,0.9,0.207,0.053,0.099,0.118,0.088,0.955,0.07,0.592,0.563,0.139
1/1/2050 13:00:00,0.151,0.066,0.708,0.755,0.167,0.754,0.593,0.031,0.831,0.537,0.244,0.577,0.742,0.055,0.535,0.156,0.417,0.122,0.074,0.223,0.47,0.919,0.782,0.08,0.353,0.545,0.268,0.094,0.896,0.234,0.045,0.11,0.108,0.106,0.945,0.063,0.599,0.607,0.142
1/1/2050 14:00:00,0.145,0.065,0.663,0.746,0.166,0.744,0.562,0.027,0.845,0.505,0.199,0.662,0.746,0.029,0.582,0.22,0.411,0.124,0.085,0.25,0.521,0.914,0.821,0.066,0.314,0.566,0.266,0.095,0.895,0.253,0.037,0.114,0.089,0.107,0.94,0.064,0.585,0.665,0.148
1/1/2050 15:00:00,0.125,0.078,0.633,0.737,0.141,0.738,0.523,0.024,0.865,0.5,0.164,0.731,0.736,0.023,0.631,0.28,0.413,0.122,0.109,0.285,0.53,0.904,0.837,0.054,0.264,0.6,0.267,0.105,0.891,0.275,0.034,0.117,0.068,0.115,0.933,0.069,0.572,0.718,0.147
1/1/2050 16:00:00,0.101,0.09,0.609,0.717,0.12,0.738,0.494,0.021,0.886,0.522,0.15,0.803,0.704,0.023,0.679,0.331,0.408,0.132,0.153,0.323,0.509,0.887,0.84,0.044,0.226,0.65,0.268,0.122,0.889,0.295,0.034,0.131,0.056,0.121,0.931,0.077,0.565,0.748,0.146
