Timestamp [UTC],1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1/1/2050 0:00:00,0.725,1.0,0.354,0.147,0.964,0.299,0.024,0.999,0.208,0.005,0.004,0.794,0.049,0.002,0.416,0.822,0.065,0.953,0.039,0.311,0.028,0.871,0.088,0.001,0.063,0.448,0.426,1.0,0.01,0.023,0.206,0.0,0.681,0.972,0.625,0.001,0.272,0.085,1.0
1/1/2050 1:00:00,0.611,1.0,0.35,0.132,0.99,0.373,0.022,0.969,0.222,0.008,0.003,0.609,0.065,0.003,0.406,0.548,0.072,0.975,0.039,0.283,0.047,0.959,0.079,0.002,0.072,0.387,0.427,1.0,0.006,0.145,0.187,0.001,0.717,0.965,0.586,0.001,0.235,0.102,1.0
1/1/2050 2:00:00,0.492,1.0,0.319,0.128,0.997,0.389,0.023,0.959,0.255,0.018,0.007,0.547,0.084,0.01,0.448,0.508,0.071,0.987,0.033,0.235,0.054,0.953,0.07,0.01,0.092,0.332,0.438,1.0,0.002,0.15,0.162,0.002,0.649,0.982,0.565,0.0,0.188,0.131,1.0
1/1/2050 3:00:00,0.411,1.0,0.313,0.133,0.996,0.453,0.023,0.867,0.298,0.032,0.014,0.496,0.124,0.023,0.497,0.729,0.061,0.982,0.006,0.205,0.053,0.952,0.063,0.042,0.063,0.286,0.488,1.0,0.001,0.12,0.136,0.004,0.656,1.001,0.533,0.0,0.13,0.149,1.0
1/1/2050 4:00:00,0.401,1.0,0.288,0.15,0.996,0.527,0.019,0.726,0.304,0.048,0.025,0.495,0.179,0.043,0.534,0.631,0.066,0.954,0.0,0.131,0.06,0.708,0.052,0.091,0.103,0.193,0.522,1.0,0.001,0.095,0.168,0.008,0.759,1.001,0.498,0.0,0.111,0.168,1.0
1/1/2050 5:00:00,0.357,1.0,0.228,0.176,0.999,0.62,0.02,0.614,0.326,0.056,0.029,0.424,0.176,0.069,0.581,0.556,0.071,0.931,0.001,0.067,0.081,0.78,0.042,0.16,0.195,0.129,0.575,1.0,0.003,0.074,0.22,0.01,0.77,1.0,0.426,0.002,0.101,0.163,1.0
1/1/2050 6:00:00,0.335,1.0,0.236,0.174,1.0,0.725,0.032,0.562,0.413,0.054,0.029,0.37,0.17,0.119,0.458,0.566,0.061,0.897,0.003,0.056,0.098,0.883,0.032,0.189,0.137,0.116,0.583,1.0,0.005,0.058,0.212,0.014,0.863,1.0,0.402,0.011,0.062,0.179,1.0
1/1/2050 7:00:00,0.316,1.0,0.28,0.156,1.0,0.878,0.041,0.412,0.546,0.045,0.034,0.333,0.206,0.177,0.327,0.604,0.065,0.859,0.017,0.087,0.115,0.885,0.019,0.328,0.128,0.135,0.539,1.0,0.01,0.066,0.231,0.028,0.97,0.999,0.436,0.002,0.022,0.22,1.0
1/1/2050 8:00:00,0.304,1.0,0.303,0.136,0.992,0.982,0.036,0.263,0.684,0.043,0.05,0.423,0.259,0.241,0.341,0.654,0.092,0.79,0.035,0.108,0.144,0.877,0.009,0.429,0.258,0.197,0.566,1.0,0.025,0.037,0.188,0.071,0.989,0.998,0.483,0.015,0.006,0.263,1.0
1/1/2050 9:00:00,0.242,1.0,0.282,0.107,0.938,0.999,0.04,0.183,0.873,0.039,0.038,0.691,0.291,0.223,0.365,0.703,0.134,0.676,0.092,0.094,0.196,0.879,0.006,0.672,0.288,0.267,0.595,1.0,0.025,0.007,0.199,0.089,0.965,0.978,0.59,0.043,0.003,0.274,1.0
