Timestamp [UTC],1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1/1/2050 0:00:00,0.234,0.0,0.108,0.026,0.069,0.059,0.101,0.009,0.001,0.066,0.001,0.002,0.13,0.093,0.029,0.078,0.271,0.013,0.004,0.009,0.081,0.141,0.394,0.015,0.005,0.028,0.083,0.02,0.01,0.014,0.331,0.0,0.047,0.002,0.001,0.331,0.004,0.018,0.048
1/1/2050 1:00:00,0.268,0.0,0.102,0.023,0.049,0.05,0.081,0.006,0.003,0.072,0.001,0.004,0.105,0.099,0.03,0.081,0.196,0.021,0.004,0.01,0.074,0.14,0.32,0.011,0.005,0.025,0.09,0.031,0.016,0.015,0.489,0.0,0.042,0.002,0.001,0.299,0.003,0.013,0.049
1/1/2050 2:00:00,0.303,0.0,0.091,0.024,0.032,0.043,0.071,0.004,0.002,0.076,0.002,0.005,0.07,0.107,0.034,0.08,0.16,0.032,0.005,0.01,0.065,0.145,0.316,0.011,0.006,0.022,0.093,0.037,0.022,0.017,0.588,0.0,0.037,0.003,0.001,0.268,0.002,0.007,0.054
1/1/2050 3:00:00,0.346,0.0,0.086,0.031,0.028,0.036,0.062,0.005,0.002,0.09,0.001,0.004,0.055,0.115,0.046,0.115,0.116,0.037,0.007,0.009,0.07,0.151,0.318,0.015,0.008,0.021,0.096,0.042,0.032,0.018,0.612,0.0,0.036,0.003,0.0,0.268,0.001,0.003,0.059
1/1/2050 4:00:00,0.318,0.0,0.086,0.033,0.027,0.032,0.064,0.006,0.001,0.111,0.0,0.005,0.047,0.135,0.06,0.178,0.084,0.048,0.006,0.01,0.059,0.151,0.361,0.025,0.012,0.019,0.104,0.044,0.041,0.017,0.637,0.0,0.034,0.004,0.0,0.276,0.001,0.001,0.062
1/1/2050 5:00:00,0.262,0.001,0.085,0.032,0.032,0.026,0.063,0.008,0.001,0.125,0.0,0.006,0.045,0.137,0.068,0.28,0.07,0.067,0.005,0.014,0.048,0.14,0.392,0.039,0.015,0.018,0.11,0.05,0.049,0.016,0.558,0.0,0.03,0.005,0.0,0.278,0.001,0.0,0.066
1/1/2050 6:00:00,0.243,0.002,0.085,0.033,0.022,0.022,0.065,0.011,0.002,0.129,0.0,0.008,0.037,0.142,0.084,0.388,0.062,0.085,0.004,0.015,0.048,0.123,0.393,0.055,0.016,0.018,0.118,0.056,0.057,0.017,0.469,0.0,0.026,0.007,0.0,0.285,0.0,0.0,0.066
1/1/2050 7:00:00,0.219,0.005,0.089,0.026,0.016,0.016,0.065,0.011,0.001,0.129,0.0,0.01,0.038,0.146,0.101,0.479,0.052,0.1,0.004,0.013,0.046,0.11,0.356,0.072,0.017,0.02,0.13,0.064,0.067,0.017,0.455,0.0,0.025,0.009,0.0,0.29,0.0,0.0,0.061
1/1/2050 8:00:00,0.169,0.009,0.091,0.019,0.01,0.007,0.069,0.008,0.0,0.115,0.001,0.014,0.036,0.145,0.114,0.599,0.035,0.106,0.004,0.008,0.04,0.092,0.36,0.076,0.015,0.018,0.135,0.071,0.07,0.02,0.322,0.0,0.023,0.011,0.0,0.27,0.0,0.0,0.059
1/1/2050 9:00:00,0.241,0.017,0.089,0.008,0.005,0.001,0.085,0.003,0.0,0.088,0.0,0.018,0.032,0.149,0.118,0.703,0.023,0.094,0.003,0.005,0.035,0.074,0.389,0.063,0.009,0.006,0.133,0.07,0.079,0.018,0.282,0.0,0.016,0.011,0.0,0.222,0.0,0.0,0.054
1/1/2050 10:00:00,0.432,0.024,0.059,0.004,0.001,0.0,0.069,0.003,0.0,0.063,0.0,0.005,0.034,0.14,0.102,0.633,0.015,0.087,0.001,0.009,0.04,0.07,0.457,0.072,0.003,0.005,0.149,0.05,0.079,0.021,0.217,0.0,0.01,0.004,0.0,0.181,0.0,0.0,0.032
