Timestamp [UTC],1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1/1/2050 0:00:00,0.08,0.0,0.005,0.09,0.089,0.019,0.103,0.009,0.002,0.066,0.001,0.001,0.177,0.016,0.001,0.008,0.079,0.006,0.0,0.005,0.136,0.094,0.237,0.008,0.003,0.002,0.007,0.007,0.001,0.0,0.072,0.0,0.081,0.001,0.006,0.159,0.0,0.023,0.001
1/1/2050 1:00:00,0.043,0.001,0.005,0.078,0.084,0.017,0.103,0.008,0.004,0.078,0.001,0.0,0.172,0.017,0.001,0.011,0.071,0.005,0.0,0.004,0.14,0.099,0.238,0.008,0.003,0.003,0.008,0.006,0.001,0.001,0.079,0.0,0.083,0.0,0.005,0.156,0.0,0.016,0.002
1/1/2050 2:00:00,0.025,0.001,0.004,0.06,0.058,0.015,0.099,0.007,0.005,0.096,0.001,0.0,0.161,0.015,0.001,0.013,0.062,0.005,0.0,0.003,0.137,0.102,0.251,0.006,0.002,0.004,0.012,0.004,0.0,0.001,0.082,0.0,0.078,0.0,0.004,0.159,0.0,0.011,0.003
1/1/2050 3:00:00,0.028,0.001,0.003,0.051,0.044,0.011,0.083,0.01,0.01,0.11,0.001,0.0,0.157,0.016,0.002,0.016,0.051,0.008,0.0,0.002,0.13,0.099,0.286,0.003,0.001,0.005,0.016,0.002,0.0,0.002,0.095,0.001,0.069,0.0,0.003,0.158,0.0,0.01,0.004
1/1/2050 4:00:00,0.043,0.0,0.003,0.032,0.036,0.009,0.07,0.01,0.013,0.121,0.001,0.0,0.174,0.02,0.002,0.025,0.039,0.008,0.001,0.002,0.121,0.097,0.338,0.003,0.001,0.004,0.018,0.002,0.0,0.002,0.116,0.001,0.06,0.0,0.003,0.147,0.0,0.009,0.006
1/1/2050 5:00:00,0.106,0.0,0.004,0.019,0.029,0.006,0.065,0.008,0.013,0.119,0.001,0.0,0.195,0.023,0.003,0.039,0.031,0.006,0.0,0.003,0.11,0.103,0.384,0.004,0.001,0.005,0.017,0.004,0.0,0.003,0.152,0.001,0.052,0.0,0.003,0.156,0.0,0.008,0.008
1/1/2050 6:00:00,0.153,0.0,0.005,0.012,0.02,0.004,0.057,0.009,0.011,0.12,0.002,0.0,0.199,0.026,0.003,0.051,0.023,0.005,0.0,0.004,0.095,0.112,0.398,0.006,0.001,0.006,0.018,0.005,0.001,0.004,0.182,0.0,0.042,0.0,0.003,0.157,0.0,0.006,0.008
1/1/2050 7:00:00,0.18,0.0,0.006,0.006,0.015,0.002,0.044,0.009,0.014,0.11,0.002,0.0,0.22,0.028,0.003,0.066,0.021,0.005,0.0,0.004,0.074,0.102,0.371,0.014,0.001,0.006,0.02,0.007,0.001,0.004,0.167,0.0,0.033,0.0,0.004,0.145,0.0,0.005,0.008
1/1/2050 8:00:00,0.188,0.001,0.006,0.005,0.008,0.001,0.032,0.009,0.017,0.098,0.001,0.0,0.255,0.033,0.002,0.075,0.016,0.005,0.0,0.003,0.058,0.081,0.334,0.019,0.0,0.003,0.018,0.01,0.001,0.003,0.14,0.0,0.023,0.0,0.002,0.134,0.0,0.001,0.007
1/1/2050 9:00:00,0.27,0.001,0.006,0.014,0.005,0.0,0.018,0.006,0.007,0.096,0.001,0.0,0.229,0.036,0.002,0.096,0.01,0.003,0.0,0.002,0.043,0.083,0.408,0.02,0.0,0.004,0.006,0.009,0.005,0.001,0.103,0.0,0.016,0.0,0.002,0.121,0.0,0.001,0.004
1/1/2050 10:00:00,0.263,0.001,0.002,0.038,0.01,0.0,0.011,0.003,0.008,0.089,0.0,0.001,0.227,0.04,0.002,0.107,0.004,0.001,0.0,0.001,0.061,0.113,0.453,0.027,0.001,0.007,0.01,0.005,0.008,0.001,0.098,0.0,0.016,0.0,0.0,0.092,0.0,0.002,0.002
1/1/2050 11:00:00,0.293,0.001,0.001,0.051,0.013,0.0,0.008,0.004,0.016,0.088,0.001,0.0,0.242,0.042,0.002,0.103,0.002,0.002,0.0,0.002,0.075,0.159,0.547,0.046,0.002,0.012,0.016,0.006,0.014,0.001,0.186,0.0,0.017,0.0,0.0,0.098,0.0,0.003,0.003
1/1/2050 12:00:00,0.332,0.001,0.002,0.057,0.014,0.0,0.004,0.009,0.017,0.073,0.002,0.0,0.251,0.042,0.002,0.129,0.001,0.003,0.0,0.002,0.069,0.178,0.559,0.072,0.001,0.016,0.027,0.009,0.015,0.001,0.189,0.0,0.015,0.0,0.0,0.095,0.0,0.003,0.002
1/1/2050 13:00:00,0.327,0.002,0.004,0.061,0.014,0.0,0.001,0.011,0.011,0.067,0.002,0.0,0.214,0.04,0.002,0.211,0.0,0.004,0.0,0.003,0.051,0.143,0.478,0.09,0.001,0.016,0.031,0.018,0.013,0.001,0.209,0.0,0.011,0.0,0.0,0.082,0.0,0.003,0.002
1/1/2050 14:00:00,0.214,0.005,0.008,0.059,0.012,0.0,0.001,0.007,0.01,0.049,0.001,0.001,0.156,0.036,0.003,0.27,0.0,0.006,0.0,0.003,0.039,0.114,0.426,0.096,0.0,0.011,0.036,0.026,0.01,0.002,0.21,0.0,0.006,0.0,0.0,0.074,0.0,0.002,0.002
1/1/2050 15:00:00,0.146,0.006,0.015,0.031,0.013,0.0,0.002,0.007,0.008,0.053,0.001,0.001,0.09,0.038,0.004,0.292,0.0,0.005,0.0,0.003,0.042,0.088,0.344,0.089,0.0,0.012,0.039,0.026,0.017,0.002,0.206,0.0,0.007,0.001,0.0,0.086,0.0,0.002,0.002
1/1/2050 16:00:00,0.101,0.005,0.018,0.018,0.013,0.0,0.001,0.006,0.006,0.06,0.0,0.001,0.059,0.047,0.005,0.282,0.001,0.008,0.0,0.002,0.04,0.074,0.301,0.082,0.0,0.017,0.036,0.025,0.031,0.001,0.212,0.0,0.004,0.001,0.0,0.089,0.0,0.001,0.001
1/1/2050 17:00:00,0.067,0.004,0.022,0.012,0.011,0.0,0.0,0.005,0.005,0.063,0.0,0.002,0.043,0.049,0.009,0.268,0.002,0.009,0.0,0.003,0.032,0.071,0.291,0.069,0.0,0.02,0.04,0.026,0.041,0.001,0.216,0.0,0.003,0.001,0.0,0.084,0.0,0.001,0.001
1/1/2050 18:00:00,0.053,0.002,0.025,0.009,0.009,0.0,0.0,0.006,0.004,0.064,0.0,0.002,0.028,0.047,0.016,0.259,0.003,0.009,0.0,0.005,0.025,0.068,0.271,0.052,0.0,0.02,0.045,0.026,0.045,0.001,0.228,0.0,0.001,0.001,0.0,0.072,0.0,0.001,0.002
1/1/2050 19:00:00,0.044,0.002,0.029,0.006,0.008,0.0,0.0,0.008,0.004,0.058,0.0,0.003,0.017,0.038,0.018,0.24,0.003,0.008,0.0,0.006,0.021,0.061,0.238,0.036,0.001,0.02,0.047,0.028,0.046,0.002,0.279,0.0,0.001,0.001,0.001,0.066,0.0,0.0,0.003
1/1/2050 20:00:00,0.029,0.006,0.032,0.004,0.008,0.0,0.0,0.01,0.004,0.052,0.0,0.004,0.017,0.033,0.016,0.224,0.004,0.009,0.0,0.004,0.019,0.056,0.209,0.024,0.001,0.019,0.045,0.028,0.045,0.002,0.319,0.0,0.0,0.001,0.001,0.062,0.001,0.0,0.004
1/1/2050 21:00:00,0.017,0.015,0.034,0.003,0.008,0.0,0.0,0.011,0.005,0.049,0.0,0.004,0.014,0.027,0.012,0.208,0.006,0.009,0.0,0.002,0.018,0.051,0.189,0.019,0.001,0.019,0.042,0.027,0.045,0.001,0.291,0.0,0.0,0.001,0.001,0.054,0.0,0.0,0.007
1/1/2050 22:00:00,0.01,0.016,0.033,0.003,0.008,0.001,0.0,0.016,0.005,0.047,0.0,0.003,0.012,0.02,0.005,0.232,0.006,0.005,0.0,0.002,0.015,0.041,0.16,0.013,0.001,0.015,0.065,0.026,0.062,0.001,0.251,0.0,0.0,0.001,0.001,0.055,0.0,0.001,0.012
1/1/2050 23:00:00,0.008,0.027,0.046,0.002,0.008,0.001,0.0,0.026,0.002,0.048,0.0,0.003,0.014,0.019,0.002,0.199,0.003,0.009,0.0,0.002,0.015,0.027,0.133,0.006,0.001,0.013,0.065,0.025,0.058,0.0,0.214,0.0,0.0,0.001,0.001,0.046,0.0,0.001,0.028
2/1/2050 0:00:00,0.005,0.06,0.05,0.003,0.006,0.002,0.001,0.03,0.002,0.041,0.0,0.003,0.013,0.018,0.001,0.188,0.001,0.012,0.0,0.003,0.012,0.017,0.112,0.004,0.002,0.012,0.069,0.024,0.057,0.0,0.184,0.0,0.0,0.001,0.001,0.037,0.001,0.001,0.036
2/1/2050 1:00:00,0.004,0.122,0.046,0.003,0.006,0.003,0.001,0.026,0.001,0.043,0.0,0.002,0.013,0.022,0.0,0.187,0.001,0.012,0.0,0.002,0.01,0.017,0.086,0.003,0.003,0.012,0.075,0.026,0.06,0.001,0.163,0.0,0.0,0.001,0.0,0.033,0.001,0.001,0.03
2/1/2050 2:00:00,0.004,0.207,0.045,0.003,0.007,0.005,0.001,0.024,0.001,0.043,0.0,0.002,0.014,0.023,0.002,0.145,0.001,0.011,0.001,0.002,0.012,0.012,0.064,0.001,0.005,0.012,0.077,0.025,0.063,0.002,0.129,0.0,0.0,0.001,0.0,0.033,0.001,0.001,0.026
2/1/2050 3:00:00,0.005,0.246,0.037,0.002,0.007,0.006,0.001,0.023,0.0,0.044,0.0,0.002,0.017,0.025,0.009,0.113,0.001,0.009,0.001,0.001,0.012,0.007,0.047,0.001,0.008,0.011,0.08,0.024,0.067,0.002,0.079,0.0,0.0,0.0,0.0,0.034,0.001,0.002,0.018
2/1/2050 4:00:00,0.004,0.264,0.03,0.002,0.005,0.006,0.001,0.023,0.0,0.044,0.0,0.001,0.018,0.026,0.029,0.084,0.001,0.01,0.001,0.0,0.01,0.004,0.036,0.001,0.008,0.012,0.093,0.029,0.065,0.003,0.049,0.0,0.0,0.0,0.0,0.036,0.002,0.002,0.018
2/1/2050 5:00:00,0.005,0.226,0.023,0.002,0.003,0.009,0.001,0.022,0.0,0.044,0.0,0.007,0.021,0.026,0.049,0.068,0.0,0.008,0.002,0.001,0.009,0.003,0.027,0.001,0.008,0.012,0.11,0.032,0.068,0.004,0.037,0.0,0.0,0.0,0.0,0.032,0.002,0.002,0.028
2/1/2050 6:00:00,0.007,0.178,0.024,0.003,0.002,0.014,0.001,0.021,0.0,0.043,0.0,0.03,0.023,0.029,0.062,0.049,0.0,0.006,0.002,0.001,0.009,0.001,0.02,0.0,0.008,0.011,0.118,0.028,0.069,0.005,0.031,0.0,0.0,0.0,0.0,0.027,0.002,0.003,0.032
