Name,Zone,NumberUnits,MaxPower,Capacity,MaxVolume,MaxPrimaryPower,MaxSecondaryPower,MinPower,MinVolume,TurbineEfficiency,PumpingEfficiency,Inertia
PSP,Balkans,1,23973.19615,23973.19615,8137490.271,2397.319615,2397.319615,-23973.19615,0,1,0.75,4.5
PSP,Baltics,1,2147.680483,2147.680483,73106.0829,214.7680483,214.7680483,-2147.680483,0,1,0.75,4.5
PSP,Benelux,1,3683.569586,3683.569586,20989.41751,368.3569586,368.3569586,-3683.569586,0,1,0.75,4.5
PSP,Britain,1,12159.02004,12159.02004,2158608.066,1215.902004,1215.902004,-12159.02004,0,1,0.75,4.5
PSP,Eastern Europe,1,15456.17074,15456.17074,2074769.003,1545.617074,1545.617074,-15456.17074,0,1,0.75,4.5
PSP,France,1,11184,11184,581174.4979,1118.4,1118.4,-11184,0,1,0.75,4.5
PSP,Germany,1,10666,10666,78425.60802,1066.6,1066.6,-10666,0,1,0.75,4.5
PSP,Italy,1,4453.472413,4453.472413,27238,445.3472413,445.3472413,-4453.472413,0,1,0.75,4.5
PSP,Portugal,1,4786,4786,1608921.039,478.6,478.6,-4786,0,1,0.75,4.5
PSP,Scandinavia,1,14409,14409,103839.339,1440.9,1440.9,-14409,0,1,0.75,4.5
PSP,Switzerland,1,5443,5443,650000,544.3,544.3,-5443,0,1,0.75,4.5
PSP,01_ES,1,2737.184274,2737.184274,415421.3452,273.7184274,273.7184274,-2737.184274,0,1,0.75,4.5
PSP,02_ES,1,3030.044651,3030.044651,459868.6457,303.0044651,303.0044651,-3030.044651,0,1,0.75,4.5
PSP,03_ES,1,342.8943002,342.8943002,52040.92864,34.28943002,34.28943002,-342.8943002,0,1,0.75,4.5
PSP,04_ES,1,204.2215967,204.2215967,30994.62877,20.42215967,20.42215967,-204.2215967,0,1,0.75,4.5
PSP,05_ES,1,615.692705,615.692705,93443.43171,61.5692705,61.5692705,-615.692705,0,1,0.75,4.5
PSP,06_ES,1,1612.621428,1612.621428,244746.899,161.2621428,161.2621428,-1612.621428,0,1,0.75,4.5
PSP,07_ES,1,149.4680616,149.4680616,22684.70699,14.94680616,14.94680616,-149.4680616,0,1,0.75,4.5
PSP,08_ES,1,535.7393385,535.7393385,81308.94176,53.57393385,53.57393385,-535.7393385,0,1,0.75,4.5
PSP,09_ES,1,563.933287,563.933287,85587.92586,56.3933287,56.3933287,-563.933287,0,1,0.75,4.5
PSP,10_ES,1,424.9853734,424.9853734,64499.85746,42.49853734,42.49853734,-424.9853734,0,1,0.75,4.5
PSP,11_ES,1,1072.214985,1072.214985,162729.6326,107.2214985,107.2214985,-1072.214985,0,1,0.75,4.5
