Type,Zone,value,Profile_Timeserie
Total,Balkans,336526624.9,Profile-Balkans.csv
Total,Baltics,75325714.23,Profile-Baltics.csv
Total,Benelux,345280938.3,Profile-Benelux.csv
Total,Britain,590391161.3,Profile-Britain.csv
Total,Eastern Europe,497193352,Profile-EasternEurope.csv
Total,France,804287504.1,Profile-France.csv
Total,Germany,815155185.2,Profile-Germany.csv
Total,Italy,528235619.4,Profile-Italy.csv
Total,Portugal,86869899.94,Profile-Iberia.csv
Total,Scandinavia,424729617.6,Profile-Norway.csv
Total,Switzerland,81730778.38,Profile-Switzerland.csv
Total,Outside,0,Profile-Iberia.csv
Total,01_ES,16514765.8,Profile-Iberia.csv
Total,02_ES,48786246.39,Profile-Iberia.csv
Total,03_ES,26834264.75,Profile-Iberia.csv
Total,04_ES,40576459.41,Profile-Iberia.csv
Total,05_ES,17900612.6,Profile-Iberia.csv
Total,06_ES,103381008.5,Profile-Iberia.csv
Total,07_ES,88038795.32,Profile-Iberia.csv
Total,08_ES,31706160.93,Profile-Iberia.csv
Total,09_ES,73531068.21,Profile-Iberia.csv
Total,10_ES,42966136.97,Profile-Iberia.csv
Total,11_ES,119590064.8,Profile-Iberia.csv
