Model,Scenario,Region,Variable,Unit,2030
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Austria>Czech Republic,Network|Electricity|Maximum Flow,MW,1181.449263
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Austria>Germany,Network|Electricity|Maximum Flow,MW,2000.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Austria>Hungary,Network|Electricity|Maximum Flow,MW,800.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Austria>Italy,Network|Electricity|Maximum Flow,MW,443.75
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Austria>Slovenia,Network|Electricity|Maximum Flow,MW,1099.581382
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Austria>Switzerland,Network|Electricity|Maximum Flow,MW,434.25
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Belgium>France,Network|Electricity|Maximum Flow,MW,3745.19456
GENeSYS-MOD 3.1,Techno-Friendly 2.0,Belgium>The Netherlands,Network|Electricity|Maximum Flow,MW,2214.647372
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Capacity|Electricity|Biomass|w/o CCS,MW,22215.738816177636
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Capacity|Electricity|Coal|Hard coal|w/ CCS,MW,19.925501156099
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Capacity|Electricity|Coal|Hard coal|w/o CCS,MW,19615.642512259034
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Capacity|Electricity|Coal|Lignite|w/o CCS,MW,5288.981669934422
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Capacity|Electricity|Gas|CCGT|w/ CCS,MW,2377.75377232269
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Capacity|Electricity|Gas|CCGT|w/o CCS,MW,103279.7369609109
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Capacity|Electricity|Gas|OCGT|w/o CCS,MW,6097.008105935399
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Capacity|Electricity|Hydrogen|OCGT,MW,2140.371621838265
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Capacity|Electricity|Hydro|Pumped Storage,MW,21415.135491208086
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Capacity|Electricity|Hydro|Reservoir,MW,41917.020333
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Capacity|Electricity|Hydro|Run of River,MW,26508.246667
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Capacity|Electricity|Nuclear,MW,64730.40464645817
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Capacity|Electricity|Oil|w/o CCS,MW,19794.516585899957
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Capacity|Electricity|Solar|PV,MW,367510.1248336191
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Capacity|Electricity|Wind|Offshore,MW,62886.81891284822
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Capacity|Electricity|Wind|Onshore,MW,231281.85652637598
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Capital Cost|Electricity|Biomass|w/ CCS,EUR/MW,8613734.999999998
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Capital Cost|Electricity|Biomass|w/o CCS,EUR/MW,2511014.999999999
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Capital Cost|Electricity|Coal|Hard coal|w/ CCS,EUR/MW,4779101.7857142845
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Capital Cost|Electricity|Coal|Hard coal|w/o CCS,EUR/MW,1695199.9999999998
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Capital Cost|Electricity|Coal|Lignite|w/o CCS,EUR/MW,2013049.9999999998
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Capital Cost|Electricity|Gas|CCGT|w/ CCS,EUR/MW,2383875.0
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Capital Cost|Electricity|Gas|CCGT|w/o CCS,EUR/MW,663122.3529411763
GENeSYS-MOD 3.1,Techno-Friendly 2.0,BigFrance,Capital Cost|Electricity|Gas|OCGT|w/o CCS,EUR/MW,394232.55813953484
