Zone,Name,NumberUnits,MaxPower,VariableCost,Capacity,CO2Rate
Mordor,Biomass|w/o CCS,1,478.2473035424258,41.11886431156507,478.2473035424258,0.0
DolAmroth,Biomass|w/o CCS,1,557.44,41.118864311565105,557.44,0.0
Rohan,Biomass|w/o CCS,1,757.9500000000002,41.11886431156507,757.9500000000002,0.0
Harad,Biomass|w/o CCS,1,1924.0,41.11886431156507,1924.0,0.0
Gondor,Biomass|w/o CCS,1,7837.5,41.11886431156507,7837.5,0.0
Mordor,Coal|Hard coal|w/o CCS,1,5010.114001611301,17.016539209728467,5010.114001611301,0.7511999999248801
DolAmroth,Coal|Hard coal|w/o CCS,1,11.923392000000101,17.016539209728467,11.923392000000101,0.7511999999248801
Rohan,Coal|Hard coal|w/o CCS,1,1497.9754107798672,17.016539209728467,1497.9754107798672,0.7511999999248801
Harad,Coal|Hard coal|w/o CCS,1,4616.586608799132,17.016539209728467,4616.586608799132,0.7511999999248801
Gondor,Coal|Hard coal|w/o CCS,1,5908.100000000001,17.016539209728467,5908.100000000001,0.7511999999248801
Mordor,Coal|Lignite|w/o CCS,1,2034.3967163598847,13.68593608045737,2034.3967163598847,0.9497142857332801
Gondor,Coal|Lignite|w/o CCS,1,4439.6,13.685936080457367,4439.6,0.9497142857332801
Mordor,Gas|CCGT|w/o CCS,1,18166.1273925236,68.77895142263839,18166.1273925236,0.34634482757928003
DolAmroth,Gas|CCGT|w/o CCS,1,2479.364361384583,110.07677251629387,2479.364361384583,0.34634482757928003
Rohan,Gas|CCGT|w/o CCS,1,44030.433407339966,110.07677251629387,44030.433407339966,0.34634482757928003
Harad,Gas|CCGT|w/o CCS,1,16408.50731171968,110.07677251629387,16408.50731171968,0.34634482757928003
Gondor,Gas|CCGT|w/o CCS,1,46729.58420133819,110.07677251629387,46729.58420133819,0.34634482757928003
Mordor,Gas|OCGT|w/o CCS,1,14163.60798404909,96.90106791371774,14163.60798404909,0.5286315788733601
DolAmroth,Gas|OCGT|w/o CCS,1,7852.49877902039,155.09345218205047,7852.49877902039,0.5286315788733601
Rohan,Gas|OCGT|w/o CCS,1,5266.1113311009285,155.09345218205047,5266.1113311009285,0.5286315788733601
Harad,Gas|OCGT|w/o CCS,1,14594.55941475538,155.09345218205047,14594.55941475538,0.5286315788733601
Gondor,Gas|OCGT|w/o CCS,1,26058.84892054521,155.09345218205047,26058.84892054521,0.5286315788733601
Mordor,Nuclear,1,1223.72352,13.772846398716045,1223.72352,0.0
Rohan,Nuclear,1,47837.95001517865,13.772846398716045,47837.95001517865,0.0
DolAmroth,Oil|w/o CCS,1,109.68964917128241,78.91973909280647,109.68964917128241,0.7010526314808001
Rohan,Oil|w/o CCS,1,6271.117201226469,78.91973909280647,6271.117201226469,0.7010526314808001
Harad,Oil|w/o CCS,1,10409.64662381738,78.91973909280647,10409.64662381738,0.7010526314808001
Gondor,Oil|w/o CCS,1,356.6200000000001,78.91973909280647,356.6200000000001,0.7010526314808001
